sum_positive,sum_negative,net,cancellation_ratio,frac_genes_in_net_direction,n_genes_for_half_the_net,n_genes,arm,group,n_test,n_control,n_sig_sets,median_abs_auc_dev
7.261057279854358,-6.848486151492587,0.41257112836177146,34.1990567477972,0.5073036792970895,13,9105,cross_sectional,CICQ,19,91,25,0.16136495083863503
6.005133213665113,-5.838431102196699,0.16670211146841485,71.04627656804347,0.5015925315760571,6,9105,cross_sectional,SSCQ,22,91,21,0.11688311688311687
7.459971744449955,-6.277246583290257,1.1827251611596976,11.614886347958013,0.5093904448105436,54,9105,cross_sectional,RS,11,91,19,0.16733266733266733
5.022211719465313,-4.258923686385228,0.7632880330800844,12.159414275628714,0.5096101043382757,53,9105,cross_sectional,SIPS,39,91,38,0.195970695970696
6.98156693863236,-6.347126590822228,0.6344403478101327,21.008584298682454,0.499725425590335,22,9105,cross_sectional,OIS,48,91,36,0.2228708791208791
6.589460594978828,-6.108366977943067,0.48109361703576065,26.393672922037627,0.5075909144403907,14,8497,temporal,Fibroblast_4_days,6,6,28,0.4305555555555556
6.98766341727085,-6.369971692681588,0.6176917245892628,21.62508348130237,0.5074888836882753,26,8546,temporal,Fibroblast_10_days,6,6,30,0.5
7.380916885277982,-6.6710328931835345,0.7098839920944475,19.794712847380215,0.5050646175340552,28,8589,temporal,Fibroblast_20_days,6,6,41,0.5
4.261351710279217,-3.775687392031357,0.4856643182478602,16.548547629164815,0.5021584412553961,21,8571,temporal,Keratinocyte_4_days,6,6,17,0.2638888888888889
7.080600807149204,-6.754543209358204,0.3260575977910009,42.43159524648026,0.501981813942644,9,8578,temporal,Keratinocyte_10_days,6,6,22,0.3472222222222222
8.449898165303487,-8.258218722381317,0.19167944292217107,87.16697332258481,0.49796818762336004,4,8613,temporal,Keratinocyte_20_days,6,6,20,0.2916666666666667
8.6709340181677,-7.961881741171755,0.7090522769959459,23.45781305407832,0.5099009900990099,20,8686,temporal,Melanocyte_4_days,6,6,28,0.4444444444444444
7.166896984246837,-6.910643865097304,0.2562531191495329,54.9360760800316,0.5066835676423139,6,8678,temporal,Melanocyte_10_days,6,6,29,0.41666666666666663
6.0282678144784505,-5.615077816465517,0.4131899980129327,28.179156530743356,0.5059797608095676,11,8696,temporal,Melanocyte_20_days,6,6,21,0.33333333333333337
