"DEG","Freq"
"10_days_down_vs_none_up",1830
"10_days_up_vs_none_down",2384
"20_days_down_vs_none_up",2260
"20_days_up_vs_none_down",2798
"4_days_down_vs_none_up",796
"4_days_up_vs_none_down",969
