"analysis","group","pathway","n_pathway_genes","n_in_expression_data","n_overlap_EN_model_features","status","n_test","n_control","cohens_d_scaled","wilcox_p_scaled","cohens_d_yugene","wilcox_p_yugene","p_adj_scaled","p_adj_yugene","efficiency_score_scaled","efficiency_score_yugene"
"meta_analysis","CICQ","HALLMARK_ADIPOGENESIS",200,190,136,"OK",19,91,1.92774824839138,5.61877300242486e-09,1.3764494933656,1.20313593732213e-06,5.91449789728933e-08,9.82151785569086e-06,0.271188241682593,0.193633643906664
"meta_analysis","CICQ","HALLMARK_ALLOGRAFT_REJECTION",200,117,81,"OK",19,91,-0.104109219626644,0.88057536055908,-0.730286224577917,0.00637118839664093,0.905475949161007,0.0128064088374692,0.0163307569698667,0.114553993342692
"meta_analysis","CICQ","HALLMARK_ANDROGEN_RESPONSE",101,94,72,"OK",19,91,-2.03162567939132,2.4893868796377e-09,0.359057018513252,0.0609242420572387,3.01743864198509e-08,0.0967051461226011,0.327182693832107,0.0578242555940161
"meta_analysis","CICQ","HALLMARK_ANGIOGENESIS",36,30,27,"OK",19,91,-0.157338227485124,0.607266988529823,0.229461151502085,0.141353494512518,0.676620600033229,0.200447134722359,0.032387575752752,0.047233851209428
"meta_analysis","CICQ","HALLMARK_APICAL_JUNCTION",200,164,130,"OK",19,91,-0.216044215161852,0.367354793542239,1.17840475485354,5.89587173549511e-05,0.445278537626957,0.000198123767917818,0.0306689562652589,0.167282627133994
"meta_analysis","CICQ","HALLMARK_APICAL_SURFACE",44,32,24,"OK",19,91,1.07300655842756,4.02684054745528e-06,0.0676751602213678,0.607266988529823,2.59796164351953e-05,0.700019583319681,0.22827791074234,0.0143976232606876
"meta_analysis","CICQ","HALLMARK_APOPTOSIS",161,145,112,"OK",19,91,-0.596056090778978,0.00807383664626897,-0.625311242976123,0.0498760078636172,0.0156016167077661,0.0810991997782393,0.0872333799524563,0.0915148995051637
"meta_analysis","CICQ","HALLMARK_BILE_ACID_METABOLISM",112,79,63,"OK",19,91,-0.967678979678222,0.0302640497327089,0.638448688674426,0.0247238141622916,0.050230787938106,0.0443476487215993,0.160680816868209,0.106012901984041
"meta_analysis","CICQ","HALLMARK_CHOLESTEROL_HOMEOSTASIS",74,69,56,"OK",19,91,-0.214836844173022,0.121179201500013,-0.735767089878846,0.00380253585273794,0.17007607228072,0.00788090332173665,0.0366742132403152,0.12560079837931
"meta_analysis","CICQ","HALLMARK_COAGULATION",138,98,66,"OK",19,91,-0.196695001697338,0.596255269703027,-0.983187983796524,0.00221226750511874,0.668073131319919,0.00480927718504073,0.0323114911461107,0.16151030559631
"meta_analysis","CICQ","HALLMARK_COMPLEMENT",200,154,104,"OK",19,91,1.03880208003688,0.00012962849663456,1.04714917011013,0.000396355971626683,0.000381260284219293,0.00108590677157995,0.154401659034525,0.155642323238216
"meta_analysis","CICQ","HALLMARK_DNA_REPAIR",150,147,93,"OK",19,91,0.628286437124905,0.0169392627309215,0.263900766384143,0.429097930334848,0.0298489211117559,0.52975053127759,0.0956316964300102,0.040168427149221
"meta_analysis","CICQ","HALLMARK_E2F_TARGETS",200,200,136,"OK",19,91,0.202712546800277,0.704276965557889,0.695788151183694,0.00156181881298756,0.759328264752441,0.00352953404064985,0.0285168248393638,0.0978808127360722
"meta_analysis","CICQ","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",200,199,153,"OK",19,91,-1.20884356441827,2.25172372731244e-05,0.0113285693661114,0.830937939267705,7.76456457693945e-05,0.879299406632492,0.166138385916275,0.00155695102710169
"meta_analysis","CICQ","HALLMARK_ESTROGEN_RESPONSE_EARLY",200,172,137,"OK",19,91,1.51238742620038,6.56764700179835e-07,0.0373876047234289,0.911851809853785,4.86492370503581e-06,0.941365877386052,0.212445560477407,0.00525184916429228
"meta_analysis","CICQ","HALLMARK_ESTROGEN_RESPONSE_LATE",200,155,131,"OK",19,91,0.417235355857962,0.438386044504823,-0.439713971502528,0.0382907288365875,0.521888148220027,0.0663042923577273,0.0591380089560259,0.0623240778129518
"meta_analysis","CICQ","HALLMARK_FATTY_ACID_METABOLISM",158,133,94,"OK",19,91,0.752486934022249,0.0196653734516556,1.2620021375369,3.53668692554265e-07,0.0340525947214816,3.2151699323115e-06,0.114273533667024,0.191649100112368
"meta_analysis","CICQ","HALLMARK_G2M_CHECKPOINT",200,198,142,"OK",19,91,0.0492371562691312,0.438386044504823,0.0165445129432788,0.574509397621309,0.521888148220027,0.672282503036859,0.00686717870259823,0.00230748758738072
"meta_analysis","CICQ","HALLMARK_GLYCOLYSIS",200,177,127,"OK",19,91,0.481207826006942,0.0347494778909883,0.970855527565677,8.49603275758781e-05,0.0565032160829077,0.000276293748214238,0.0686338936788453,0.138471553152796
"meta_analysis","CICQ","HALLMARK_HEDGEHOG_SIGNALING",36,29,27,"OK",19,91,-1.44029647596156,3.73142759954201e-06,-0.19724816836926,0.401929391964152,2.44683777019148e-05,0.500846594347853,0.296480467380613,0.0406029106674347
"meta_analysis","CICQ","HALLMARK_HEME_METABOLISM",200,168,130,"OK",19,91,1.76087646502952,1.80165797836196e-08,1.17456799308635,2.02543539620237e-05,1.67596091010415e-07,8.18357735839341e-05,0.249968476379043,0.166737972518965
"meta_analysis","CICQ","HALLMARK_HYPOXIA",200,181,131,"OK",19,91,1.48795302414433,2.9916739552327e-07,-0.601698824661057,0.0413404195390042,2.34641094528055e-06,0.0700685076932275,0.210899143690854,0.0852834496934372
"meta_analysis","CICQ","HALLMARK_IL2_STAT5_SIGNALING",199,165,127,"OK",19,91,0.898922476456302,0.00752460967837187,0.785876772352335,0.00193725888322271,0.0146108925793629,0.00425771183125871,0.128211858453308,0.112088332573224
"meta_analysis","CICQ","HALLMARK_IL6_JAK_STAT3_SIGNALING",87,65,46,"OK",19,91,1.40075180978283,1.06076670163269e-05,0.680170218557766,0.00524969704792233,5.21378336625837e-05,0.0107136674447394,0.250807737670926,0.121785995603362
"meta_analysis","CICQ","HALLMARK_INFLAMMATORY_RESPONSE",200,148,115,"OK",19,91,0.0897567214680972,0.9936909034632,-0.600064869570884,0.0498760078636172,0.9936909034632,0.0810991997782393,0.0130643313901885,0.0873410501571262
"meta_analysis","CICQ","HALLMARK_INTERFERON_ALPHA_RESPONSE",97,94,65,"OK",19,91,0.329819652513888,0.156946019319858,-0.174270886159943,0.849484118819866,0.214260777228475,0.895678974086342,0.0543710522807197,0.0287287048851968
"meta_analysis","CICQ","HALLMARK_INTERFERON_GAMMA_RESPONSE",200,170,116,"OK",19,91,-0.523842222887626,0.0413404195390042,-0.663816619188378,0.018453335344287,0.0651030228960696,0.03401536468993,0.0761106190064871,0.0964479218851727
"meta_analysis","CICQ","HALLMARK_KRAS_SIGNALING_DN",200,97,69,"OK",19,91,-0.455866868983646,0.0361309194451333,0.455471895650774,0.0701739899440657,0.0582756765244086,0.108376818446433,0.0741277421859849,0.0740635162389342
"meta_analysis","CICQ","HALLMARK_KRAS_SIGNALING_UP",200,157,124,"OK",19,91,2.01468855158439,7.65467023100541e-10,1.76946600101991,1.80028642216001e-07,1.05581658358695e-08,1.72606784103786e-06,0.288749852904539,0.253603986140822
"meta_analysis","CICQ","HALLMARK_MITOTIC_SPINDLE",199,198,159,"OK",19,91,0.154927322909873,0.359009542764919,0.369381400779012,0.0752141054844035,0.437816515566975,0.115270659746212,0.021133416936207,0.0503867943015077
"meta_analysis","CICQ","HALLMARK_MTORC1_SIGNALING",200,196,129,"OK",19,91,0.185084911379043,0.532180038294184,1.05605711289646,0.000113948494442795,0.62393436482096,0.000353328664938899,0.0263150547519444,0.150148386164974
"meta_analysis","CICQ","HALLMARK_MYC_TARGETS_V1",200,199,104,"OK",19,91,0.269792689226293,0.220333743683272,-1.23409469152666,3.20171309019211e-06,0.291832773090426,2.5111475217193e-05,0.0401004576448741,0.183428846975983
"meta_analysis","CICQ","HALLMARK_MYC_TARGETS_V2",58,57,39,"OK",19,91,0.400190362411775,0.0952257468736937,0.429771258569511,0.164014546122978,0.138008328802455,0.228591701913558,0.0746964960987444,0.0802178416931946
"meta_analysis","CICQ","HALLMARK_MYOGENESIS",200,156,128,"OK",19,91,0.260599108499966,0.334695997671531,1.08941221524415,0.000408406869610856,0.418369997089414,0.00111131120982546,0.0371098631456589,0.155134599076822
