"test","condition","model","n_studies","n_test","n_control","diff_within_study","diff_pooled","studies_positive","p_sign","p_perm","p_perm_adj","study","cell_line","immortalised","diff"
"per_study_contrast","OIS","scaled_diff",NA,8,8,NA,NA,NA,NA,NA,NA,"SRP062872","IMR90","no",42.8189062326462
"per_study_contrast","OIS","scaled_diff",NA,3,6,NA,NA,NA,NA,NA,NA,"SRP065206","IMR90","no",68.2259267197661
"per_study_contrast","OIS","scaled_diff",NA,2,1,NA,NA,NA,NA,NA,NA,"SRP066917","BJ-hTERT","yes",15.4693978829112
"per_study_contrast","OIS","scaled_diff",NA,6,9,NA,NA,NA,NA,NA,NA,"SRP066947","Tig3ET","yes",26.4720878207168
"per_study_contrast","OIS","scaled_diff",NA,1,1,NA,NA,NA,NA,NA,NA,"SRP070636","IMR90","no",32.7894685332026
"per_study_contrast","OIS","scaled_diff",NA,3,3,NA,NA,NA,NA,NA,NA,"SRP113324","IMR90 ER:RAS","no",28.8380965053882
"per_study_contrast","OIS","scaled_diff",NA,3,3,NA,NA,NA,NA,NA,NA,"SRP113329","IMR90 ER:RAS","no",21.7748218101129
"per_study_contrast","OIS","scaled_diff",NA,3,3,NA,NA,NA,NA,NA,NA,"SRP117883","IMR90","no",46.4515168184826
"per_study_contrast","OIS","scaled_diff",NA,2,1,NA,NA,NA,NA,NA,NA,"SRP123346","BJ-hTERT","yes",10.5639751826388
"per_study_contrast","OIS","scaled_diff",NA,4,2,NA,NA,NA,NA,NA,NA,"SRP127037","IMR90-hTERT","yes",28.9342153825106
"per_study_contrast","OIS","scaled_diff",NA,2,2,NA,NA,NA,NA,NA,NA,"SRP172671","BJ-hTERT","yes",13.0781689384224
"per_study_contrast","CICQ","yugene_diff",NA,3,3,NA,NA,NA,NA,NA,NA,"SRP045867","MRC-5","no",39.3180507702745
"per_study_contrast","CICQ","yugene_diff",NA,3,3,NA,NA,NA,NA,NA,NA,"SRP089801","HCA2-hTERT","yes",14.2238211508691
"per_study_contrast","CICQ","yugene_diff",NA,2,2,NA,NA,NA,NA,NA,NA,"SRP153205","HDF 12-1","no",22.2644813755648
"per_study_contrast","CICQ","yugene_diff",NA,2,2,NA,NA,NA,NA,NA,NA,"SRP153724","HDF 12-3","no",21.9330621243136
"per_study_contrast","CICQ","yugene_diff",NA,3,3,NA,NA,NA,NA,NA,NA,"SRP154382","HDF 10-2","no",10.0402003993345
"per_study_contrast","CICQ","yugene_diff",NA,3,3,NA,NA,NA,NA,NA,NA,"SRP154577","HDF 10-5","no",8.75491714909154
"per_study_contrast","SSCQ","yugene_diff",NA,6,6,NA,NA,NA,NA,NA,NA,"ERP021140","HCA2/BJ (primary)","no",0.677443680598667
"per_study_contrast","SSCQ","yugene_diff",NA,2,3,NA,NA,NA,NA,NA,NA,"SRP017378","BJ-hTERT","yes",4.76635667725062
"per_study_contrast","SSCQ","yugene_diff",NA,2,2,NA,NA,NA,NA,NA,NA,"SRP052706","foreskin 2DD","no",20.4363995577043
"per_study_contrast","SSCQ","yugene_diff",NA,6,6,NA,NA,NA,NA,NA,NA,"SRP065206","IMR90","no",3.72297211169522
"per_study_contrast","SSCQ","yugene_diff",NA,3,9,NA,NA,NA,NA,NA,NA,"SRP066947","Tig3ET","yes",7.30448986266118
"per_study_contrast","SSCQ","yugene_diff",NA,3,3,NA,NA,NA,NA,NA,NA,"SRP154382","HDF 10-2","no",24.5944094663192
"per_study_contrast","RS","yugene_diff",NA,1,1,NA,NA,NA,NA,NA,NA,"SRP034163","IMR90","no",26.6708726465876
"per_study_contrast","RS","yugene_diff",NA,2,2,NA,NA,NA,NA,NA,NA,"SRP034541","IMR90","no",43.3722825629823
"per_study_contrast","RS","yugene_diff",NA,2,2,NA,NA,NA,NA,NA,NA,"SRP040745","BJ","no",32.8765643337157
"per_study_contrast","RS","yugene_diff",NA,1,1,NA,NA,NA,NA,NA,NA,"SRP064207","WI-38","no",38.1414643502751
"per_study_contrast","RS","yugene_diff",NA,1,1,NA,NA,NA,NA,NA,NA,"SRP069768","WI-38","no",32.7860619816833
"per_study_contrast","RS","yugene_diff",NA,4,2,NA,NA,NA,NA,NA,NA,"SRP121031","IMR90","no",23.8752186042774
"per_study_contrast","SIPS","yugene_diff",NA,18,6,NA,NA,NA,NA,NA,NA,"ERP021140","HCA2/BJ (primary)","no",23.4252218617834
"per_study_contrast","SIPS","yugene_diff",NA,8,8,NA,NA,NA,NA,NA,NA,"SRP062872","IMR90","no",46.4212168231338
"per_study_contrast","SIPS","yugene_diff",NA,3,3,NA,NA,NA,NA,NA,NA,"SRP098713","IMR90","no",15.5406028735744
"per_study_contrast","SIPS","yugene_diff",NA,7,3,NA,NA,NA,NA,NA,NA,"SRP136071","IMR90","no",10.2320971805716
"per_study_contrast","OIS","yugene_diff",NA,3,3,NA,NA,NA,NA,NA,NA,"SRP017142","WI-38","no",28.107597207308
"per_study_contrast","OIS","yugene_diff",NA,1,1,NA,NA,NA,NA,NA,NA,"SRP040243","IMR90","no",31.2847315170069
"per_study_contrast","OIS","yugene_diff",NA,3,3,NA,NA,NA,NA,NA,NA,"SRP046254","IMR90 ER:RAS","no",3.85862571659943
"per_study_contrast","OIS","yugene_diff",NA,3,3,NA,NA,NA,NA,NA,NA,"SRP060598","IMR90","no",11.7090409152231
"per_study_contrast","OIS","yugene_diff",NA,8,8,NA,NA,NA,NA,NA,NA,"SRP062872","IMR90","no",41.102951037901
"per_study_contrast","OIS","yugene_diff",NA,3,6,NA,NA,NA,NA,NA,NA,"SRP065206","IMR90","no",58.3725208965622
"per_study_contrast","OIS","yugene_diff",NA,2,1,NA,NA,NA,NA,NA,NA,"SRP066917","BJ-hTERT","yes",19.098323703892
"per_study_contrast","OIS","yugene_diff",NA,6,9,NA,NA,NA,NA,NA,NA,"SRP066947","Tig3ET","yes",20.1429464368191
"per_study_contrast","OIS","yugene_diff",NA,1,1,NA,NA,NA,NA,NA,NA,"SRP070636","IMR90","no",20.1611879878169
"per_study_contrast","OIS","yugene_diff",NA,3,3,NA,NA,NA,NA,NA,NA,"SRP113324","IMR90 ER:RAS","no",14.965534525957
"per_study_contrast","OIS","yugene_diff",NA,3,3,NA,NA,NA,NA,NA,NA,"SRP113329","IMR90 ER:RAS","no",5.7999757087833
"per_study_contrast","OIS","yugene_diff",NA,3,3,NA,NA,NA,NA,NA,NA,"SRP117883","IMR90","no",48.5469051738851
"per_study_contrast","OIS","yugene_diff",NA,2,1,NA,NA,NA,NA,NA,NA,"SRP123346","BJ-hTERT","yes",10.1239426461896
"per_study_contrast","OIS","yugene_diff",NA,4,2,NA,NA,NA,NA,NA,NA,"SRP127037","IMR90-hTERT","yes",29.0288404418084
"per_study_contrast","OIS","yugene_diff",NA,2,2,NA,NA,NA,NA,NA,NA,"SRP172671","BJ-hTERT","yes",19.2228337790887
