analysis,label,model,pathway,cohens_d,p_permutation,p_floor,n_perm,n_distinct_splits,n_test,n_control
meta_analysis,CICQ,scaled,HALLMARK OXIDATIVE PHOSPHORYLATION,-0.21389201410854966,0.3988005997001499,2.0710193391086377e-21,2000,965708027072695321800,19,91
meta_analysis,CICQ,scaled,HALLMARK P53 PATHWAY,0.5831318507220533,0.018490754622688656,2.0710193391086377e-21,2000,965708027072695321800,19,91
meta_analysis,CICQ,scaled,HALLMARK PANCREAS BETA CELLS,0.9817363277733715,0.0014992503748125937,2.0710193391086377e-21,2000,965708027072695321800,19,91
meta_analysis,CICQ,scaled,HALLMARK PEROXISOME,0.915092695239618,0.0004997501249375312,2.0710193391086377e-21,2000,965708027072695321800,19,91
meta_analysis,CICQ,scaled,HALLMARK PI3K AKT MTOR SIGNALING,-0.20850105455496382,0.39280359820089955,2.0710193391086377e-21,2000,965708027072695321800,19,91
meta_analysis,CICQ,scaled,HALLMARK PROTEIN SECRETION,0.8640613611784347,0.001999000499750125,2.0710193391086377e-21,2000,965708027072695321800,19,91
meta_analysis,CICQ,scaled,HALLMARK REACTIVE OXYGEN SPECIES PATHWAY,-1.7924960333601985,0.0004997501249375312,2.0710193391086377e-21,2000,965708027072695321800,19,91
meta_analysis,CICQ,scaled,HALLMARK SPERMATOGENESIS,0.04432294086486353,0.8695652173913043,2.0710193391086377e-21,2000,965708027072695321800,19,91
meta_analysis,CICQ,scaled,HALLMARK TGF BETA SIGNALING,0.13977177358883397,0.5642178910544727,2.0710193391086377e-21,2000,965708027072695321800,19,91
meta_analysis,CICQ,scaled,HALLMARK TNFA SIGNALING VIA NFKB,-1.5749262056727535,0.0004997501249375312,2.0710193391086377e-21,2000,965708027072695321800,19,91
meta_analysis,CICQ,scaled,HALLMARK UNFOLDED PROTEIN RESPONSE,-0.3427760582859977,0.16541729135432284,2.0710193391086377e-21,2000,965708027072695321800,19,91
meta_analysis,CICQ,scaled,HALLMARK UV RESPONSE DN,0.16895075974771828,0.48825587206396803,2.0710193391086377e-21,2000,965708027072695321800,19,91
