label,pathway,contrib_diff_within_study_scaled,contrib_diff_within_study_yugene,n_studies_scaled,n_studies_yugene,p_perm_adj_scaled,p_perm_adj_yugene,studies_positive_scaled,studies_positive_yugene,cons_sc,cons_yg,both_sig,same_sign,ag_sc,n_sc,ag_yg,n_yg,REPORTABLE
SIPS,HALLMARK FATTY ACID METABOLISM,0.422446075627954,1.49813238047921,4.0,4.0,0.0041662500416625,0.0002717119592388,3.0,4.0,0.75,1.0,True,True,3.0,4.0,4.0,4.0,True
SIPS,HALLMARK GLYCOLYSIS,-0.425933378988893,-0.269237259712614,4.0,4.0,0.0431275553763305,0.188151916515666,1.0,1.0,0.75,0.75,False,True,3.0,4.0,3.0,4.0,False
SIPS,HALLMARK HYPOXIA,2.78195330697536,0.32264670581553,4.0,4.0,0.000255076533163,0.0276369878540096,4.0,3.0,1.0,0.75,True,True,4.0,4.0,3.0,4.0,True
SIPS,HALLMARK IL2 STAT5 SIGNALING,0.501892181418451,0.603979693828247,4.0,4.0,0.0004807211586533,0.0113934184812811,3.0,3.0,0.75,0.75,True,True,3.0,4.0,3.0,4.0,True
SIPS,HALLMARK KRAS SIGNALING UP,3.0888977918637,1.12173551997605,4.0,4.0,0.000255076533163,0.0629718448920135,3.0,2.0,0.75,0.5,False,True,3.0,4.0,2.0,4.0,False
SIPS,HALLMARK MTORC1 SIGNALING,1.7613957753494,0.163129535514226,4.0,4.0,0.000255076533163,0.364869616324753,4.0,2.0,1.0,0.5,False,True,4.0,4.0,2.0,4.0,False
SIPS,HALLMARK MYOGENESIS,3.84596172910175,1.34870472920149,4.0,4.0,0.000255076533163,0.0002717119592388,4.0,4.0,1.0,1.0,True,True,4.0,4.0,4.0,4.0,True
SIPS,HALLMARK P53 PATHWAY,3.59087269695009,5.39936086491562,4.0,4.0,0.000255076533163,0.0002717119592388,4.0,4.0,1.0,1.0,True,True,4.0,4.0,4.0,4.0,True
SIPS,HALLMARK TNFA SIGNALING VIA NFKB,2.06630955038126,0.653387243981359,4.0,4.0,0.000255076533163,0.0215387266304816,4.0,3.0,1.0,0.75,True,True,4.0,4.0,3.0,4.0,True
SIPS,HALLMARK UV RESPONSE DN,0.40055132154752,0.682282994210633,4.0,4.0,0.142149964108067,0.0005207812552078,2.0,4.0,0.5,1.0,False,True,2.0,4.0,4.0,4.0,False
SIPS,HALLMARK XENOBIOTIC METABOLISM,-0.386966939929556,3.26406157150856,4.0,4.0,0.0713470319634703,0.0002717119592388,1.0,4.0,0.75,1.0,False,False,3.0,4.0,4.0,4.0,False
SIPS,Lysosomal Genes,0.624908601036415,1.61378662995078,4.0,4.0,0.0127180264429697,0.0002717119592388,2.0,2.0,0.5,0.5,True,True,2.0,4.0,2.0,4.0,True
SSCQ,HALLMARK APOPTOSIS,-0.126714943216483,0.61806192248118,6.0,6.0,0.709544430172367,0.0627009122292191,4.0,4.0,0.3333333333333333,0.6666666666666666,False,False,2.0,6.0,4.0,6.0,False
SSCQ,HALLMARK COMPLEMENT,2.18089400687465,1.53326474841958,6.0,6.0,0.000255076533163,0.0005207812552078,6.0,4.0,1.0,0.6666666666666666,True,True,6.0,6.0,4.0,6.0,True
SSCQ,HALLMARK EPITHELIAL MESENCHYMAL TRANSITION,-3.26504315263969,1.21510123271788,6.0,6.0,0.0004807211586533,0.0114853379526912,1.0,5.0,0.8333333333333334,0.8333333333333334,True,False,5.0,6.0,5.0,6.0,False
SSCQ,HALLMARK ESTROGEN RESPONSE EARLY,-0.012067855378134,0.314788050360042,6.0,6.0,0.966703329667033,0.544746410314721,3.0,4.0,0.5,0.6666666666666666,False,False,3.0,6.0,4.0,6.0,False
SSCQ,HALLMARK ESTROGEN RESPONSE LATE,-1.00780122095549,-0.398774441980028,6.0,6.0,0.000255076533163,0.110092617681237,1.0,3.0,0.8333333333333334,0.5,False,True,5.0,6.0,3.0,6.0,False
SSCQ,HALLMARK FATTY ACID METABOLISM,-0.624508398728793,0.172164836650353,6.0,6.0,0.0072909375729093,0.658232049135512,1.0,5.0,0.8333333333333334,0.8333333333333334,False,False,5.0,6.0,5.0,6.0,False
SSCQ,HALLMARK GLYCOLYSIS,0.149957171402676,0.839292303705844,6.0,6.0,0.524062637983989,0.0062037591861251,3.0,3.0,0.5,0.5,False,True,3.0,6.0,3.0,6.0,False
SSCQ,HALLMARK HYPOXIA,0.684149552483798,0.733059240306612,6.0,6.0,0.0132170690976879,0.003787500037875,5.0,4.0,0.8333333333333334,0.6666666666666666,True,True,5.0,6.0,4.0,6.0,True
SSCQ,HALLMARK IL2 STAT5 SIGNALING,0.36844734065529,0.774074201979158,6.0,6.0,0.0226100985407077,0.0626326256263263,5.0,4.0,0.8333333333333334,0.6666666666666666,False,True,5.0,6.0,4.0,6.0,False
SSCQ,HALLMARK KRAS SIGNALING UP,5.06401836361217,2.40470451286086,6.0,6.0,0.000255076533163,0.0002717119592388,6.0,5.0,1.0,0.8333333333333334,True,True,6.0,6.0,5.0,6.0,True
SSCQ,HALLMARK MTORC1 SIGNALING,0.624505372979994,0.31634854548813,6.0,6.0,0.0062493750624937,0.226426632699049,4.0,4.0,0.6666666666666666,0.6666666666666666,False,True,4.0,6.0,4.0,6.0,False
SSCQ,HALLMARK MYOGENESIS,0.388015701181421,2.26696620684099,6.0,6.0,0.524062637983989,0.0008694782695643,4.0,5.0,0.6666666666666666,0.8333333333333334,False,True,4.0,6.0,5.0,6.0,False
SSCQ,HALLMARK P53 PATHWAY,1.10930084111484,2.81666278202983,6.0,6.0,0.0694956682342237,0.0006817500068175,4.0,6.0,0.6666666666666666,1.0,False,True,4.0,6.0,6.0,6.0,False
SSCQ,HALLMARK TNFA SIGNALING VIA NFKB,-1.40861077132943,-1.44524601792806,6.0,6.0,0.0022056617867625,0.0002717119592388,2.0,1.0,0.6666666666666666,0.8333333333333334,True,True,4.0,6.0,5.0,6.0,True
SSCQ,HALLMARK UV RESPONSE DN,-1.66495189618546,0.710510840419675,6.0,6.0,0.000255076533163,0.0508520576513777,1.0,4.0,0.8333333333333334,0.6666666666666666,False,False,5.0,6.0,4.0,6.0,False
SSCQ,HALLMARK XENOBIOTIC METABOLISM,-1.52639706092778,0.200763047595307,6.0,6.0,0.000255076533163,0.547642604160637,2.0,3.0,0.6666666666666666,0.5,False,False,4.0,6.0,3.0,6.0,False
SSCQ,Lysosomal Genes,2.01041281212279,2.6274185625873,6.0,6.0,0.000255076533163,0.0002717119592388,6.0,5.0,1.0,0.8333333333333334,True,True,6.0,6.0,5.0,6.0,True
