analysis,label,pathway,n_studies,contrib_diff_within_study,wilcox_p,cell_type,timepoint,p_adj
meta_analysis,CICQ,HALLMARK SPERMATOGENESIS,6.0,-0.017082104978572543,0.009281106011197228,,,0.01879555023629618
meta_analysis,CICQ,HALLMARK TGF BETA SIGNALING,6.0,0.009810071597002392,0.918125110380465,,,0.9353476102330177
meta_analysis,CICQ,HALLMARK TNFA SIGNALING VIA NFKB,6.0,-0.01754152194681618,0.003265859576306016,,,0.007559860130337999
meta_analysis,CICQ,HALLMARK UNFOLDED PROTEIN RESPONSE,6.0,0.013602059983049225,0.06092424205723858,,,0.1008679504258917
meta_analysis,CICQ,HALLMARK UV RESPONSE DN,6.0,0.018584483551456817,4.815943840601566e-05,,,0.00018522860925390637
meta_analysis,CICQ,HALLMARK UV RESPONSE UP,6.0,0.025345662540332044,0.016939262730921525,,,0.03160310210992821
meta_analysis,CICQ,HALLMARK WNT BETA CATENIN SIGNALING,6.0,0.007200828422611319,0.7819661787380358,,,0.8213930448928947
meta_analysis,CICQ,HALLMARK XENOBIOTIC METABOLISM,6.0,0.07349528957802644,0.004998760832115455,,,0.010962194807270736
meta_analysis,CICQ,Lysosomal Genes,6.0,0.08570561236661522,5.668888767234416e-10,,,5.905092465869184e-09
meta_analysis,SSCQ,HALLMARK ADIPOGENESIS,6.0,-0.018163129848206876,0.01862292314118046,,,0.03448689470588974
meta_analysis,SSCQ,HALLMARK ALLOGRAFT REJECTION,6.0,0.021864851373496544,0.23011475268130244,,,0.30119732026348484
meta_analysis,SSCQ,HALLMARK ANDROGEN RESPONSE,6.0,-0.0339929867619306,0.34771926939814934,,,0.4243209440428941
meta_analysis,SSCQ,HALLMARK ANGIOGENESIS,6.0,-0.026969875039235983,0.30146954272989146,,,0.37873058131895915
meta_analysis,SSCQ,HALLMARK APICAL JUNCTION,6.0,0.04634518574236961,0.004632019117799518,,,0.010271363514721934
meta_analysis,SSCQ,HALLMARK APICAL SURFACE,6.0,0.0017612825170759561,0.008759865514079791,,,0.017950544086229082
meta_analysis,SSCQ,HALLMARK APOPTOSIS,6.0,-0.011773603086414187,0.21365781186689747,,,0.2826161532630919
meta_analysis,SSCQ,HALLMARK BILE ACID METABOLISM,6.0,-0.011243989247230989,0.2783447997018853,,,0.3532294412460473
meta_analysis,SSCQ,HALLMARK CHOLESTEROL HOMEOSTASIS,6.0,-0.02004608393428264,6.971712004287454e-05,,,0.00026013850762266616
meta_analysis,SSCQ,HALLMARK COAGULATION,6.0,0.05617824357488138,0.0007178854462812558,,,0.001994126239670155
meta_analysis,SSCQ,HALLMARK COMPLEMENT,6.0,0.03807825201694833,0.39824621563943363,,,0.4718557057339261
meta_analysis,SSCQ,HALLMARK DNA REPAIR,6.0,-0.009815458271729008,0.11476734560909668,,,0.17354460593321216
meta_analysis,SSCQ,HALLMARK E2F TARGETS,6.0,0.050716484378715274,1.0414443876484798e-06,,,5.917297657093636e-06
meta_analysis,SSCQ,HALLMARK EPITHELIAL MESENCHYMAL TRANSITION,6.0,-0.11829423532170744,0.0005072080103729113,,,0.0014917882658026804
meta_analysis,SSCQ,HALLMARK ESTROGEN RESPONSE EARLY,6.0,0.022572779734682406,0.2057553669006037,,,0.27507401992059316
