"model","n","median","IQR","SD","range","n_studies","study_median_range","study_median_IQR","cell_line_median_range","test","attribute","n_levels","statistic","p","p_adj","level","level_a","level_b","n_a","n_b","median_diff"
"yugene_diff",61,-0.806575073655454,21.926902697464,NA,NA,NA,NA,NA,NA,"level_median_within_proliferating","tissue",NA,NA,NA,NA,"Lung",NA,NA,NA,NA,NA
"yugene_diff",5,8.0602522054543,2.79028457719089,NA,NA,NA,NA,NA,NA,"level_median_within_proliferating","tissue",NA,NA,NA,NA,"Skin",NA,NA,NA,NA,NA
"scaled_diff",79,-4.10327738461881,40.0185905159407,NA,NA,NA,NA,NA,NA,"level_median_within_proliferating","immortalised",NA,NA,NA,NA,"no",NA,NA,NA,NA,NA
"scaled_diff",12,45.6763238724586,17.5537494848386,NA,NA,NA,NA,NA,NA,"level_median_within_proliferating","immortalised",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA
"yugene_diff",79,0.740003519923138,20.7409447601479,NA,NA,NA,NA,NA,NA,"level_median_within_proliferating","immortalised",NA,NA,NA,NA,"no",NA,NA,NA,NA,NA
"yugene_diff",12,10.5312589972433,12.1714418220298,NA,NA,NA,NA,NA,NA,"level_median_within_proliferating","immortalised",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA
"scaled_diff",6,45.4430612751532,2.93280188818569,NA,NA,NA,NA,NA,NA,"level_median_within_proliferating","study",NA,NA,NA,NA,"ERP021140",NA,NA,NA,NA,NA
"scaled_diff",3,6.31544044706102,2.40875416917827,NA,NA,NA,NA,NA,NA,"level_median_within_proliferating","study",NA,NA,NA,NA,"SRP017142",NA,NA,NA,NA,NA
"scaled_diff",3,44.208838986892,6.1741722748368,NA,NA,NA,NA,NA,NA,"level_median_within_proliferating","study",NA,NA,NA,NA,"SRP017378",NA,NA,NA,NA,NA
"scaled_diff",3,-4.10327738461881,0.869357230934869,NA,NA,NA,NA,NA,NA,"level_median_within_proliferating","study",NA,NA,NA,NA,"SRP045867",NA,NA,NA,NA,NA
"scaled_diff",3,-6.93870758903728,0.786320788534004,NA,NA,NA,NA,NA,NA,"level_median_within_proliferating","study",NA,NA,NA,NA,"SRP046254",NA,NA,NA,NA,NA
"scaled_diff",3,-22.1009225790695,1.50026083512495,NA,NA,NA,NA,NA,NA,"level_median_within_proliferating","study",NA,NA,NA,NA,"SRP060598",NA,NA,NA,NA,NA
"scaled_diff",8,-17.7264644255233,4.76750311588933,NA,NA,NA,NA,NA,NA,"level_median_within_proliferating","study",NA,NA,NA,NA,"SRP062872",NA,NA,NA,NA,NA
"scaled_diff",6,-12.7452258549,11.0834211178209,NA,NA,NA,NA,NA,NA,"level_median_within_proliferating","study",NA,NA,NA,NA,"SRP065206",NA,NA,NA,NA,NA
"scaled_diff",9,19.2806351807508,9.0768527904613,NA,NA,NA,NA,NA,NA,"level_median_within_proliferating","study",NA,NA,NA,NA,"SRP066947",NA,NA,NA,NA,NA
"scaled_diff",3,50.3980994076584,2.34898937058504,NA,NA,NA,NA,NA,NA,"level_median_within_proliferating","study",NA,NA,NA,NA,"SRP089801",NA,NA,NA,NA,NA
"scaled_diff",3,-20.4106514808643,4.77202842231355,NA,NA,NA,NA,NA,NA,"level_median_within_proliferating","study",NA,NA,NA,NA,"SRP098713",NA,NA,NA,NA,NA
"scaled_diff",3,-11.4274869787872,3.53432993137148,NA,NA,NA,NA,NA,NA,"level_median_within_proliferating","study",NA,NA,NA,NA,"SRP113324",NA,NA,NA,NA,NA
"scaled_diff",3,-13.3085279394756,1.46127979085505,NA,NA,NA,NA,NA,NA,"level_median_within_proliferating","study",NA,NA,NA,NA,"SRP113329",NA,NA,NA,NA,NA
"scaled_diff",3,-2.94719940975062,37.8370816510524,NA,NA,NA,NA,NA,NA,"level_median_within_proliferating","study",NA,NA,NA,NA,"SRP117883",NA,NA,NA,NA,NA
"scaled_diff",3,2.60739854954245,3.78377026058271,NA,NA,NA,NA,NA,NA,"level_median_within_proliferating","study",NA,NA,NA,NA,"SRP136071",NA,NA,NA,NA,NA
"scaled_diff",3,33.307302010983,9.5189462297679,NA,NA,NA,NA,NA,NA,"level_median_within_proliferating","study",NA,NA,NA,NA,"SRP154382",NA,NA,NA,NA,NA
"scaled_diff",3,30.7425858415932,4.77130957482155,NA,NA,NA,NA,NA,NA,"level_median_within_proliferating","study",NA,NA,NA,NA,"SRP154577",NA,NA,NA,NA,NA
"yugene_diff",6,9.53769503973837,4.53964129922607,NA,NA,NA,NA,NA,NA,"level_median_within_proliferating","study",NA,NA,NA,NA,"ERP021140",NA,NA,NA,NA,NA
"yugene_diff",3,21.8110452368108,0.551600652977452,NA,NA,NA,NA,NA,NA,"level_median_within_proliferating","study",NA,NA,NA,NA,"SRP017142",NA,NA,NA,NA,NA
"yugene_diff",3,17.6338624178705,8.8654405071736,NA,NA,NA,NA,NA,NA,"level_median_within_proliferating","study",NA,NA,NA,NA,"SRP017378",NA,NA,NA,NA,NA
"yugene_diff",3,9.15645927180725,0.70011848775205,NA,NA,NA,NA,NA,NA,"level_median_within_proliferating","study",NA,NA,NA,NA,"SRP045867",NA,NA,NA,NA,NA
"yugene_diff",3,20.3822072090989,0.854817351896699,NA,NA,NA,NA,NA,NA,"level_median_within_proliferating","study",NA,NA,NA,NA,"SRP046254",NA,NA,NA,NA,NA
"yugene_diff",3,-39.3919268407255,6.0396762109353,NA,NA,NA,NA,NA,NA,"level_median_within_proliferating","study",NA,NA,NA,NA,"SRP060598",NA,NA,NA,NA,NA
"yugene_diff",8,-15.8213424220882,2.570573080757,NA,NA,NA,NA,NA,NA,"level_median_within_proliferating","study",NA,NA,NA,NA,"SRP062872",NA,NA,NA,NA,NA
"yugene_diff",6,-3.72648028113901,10.119009648335,NA,NA,NA,NA,NA,NA,"level_median_within_proliferating","study",NA,NA,NA,NA,"SRP065206",NA,NA,NA,NA,NA
