external_id,study,geo,series,condition,title,line_token_sample,characteristics,immortalisation_term_in_sample_record,matched_term,cell_line_resolved_studylevel,immortalised_studylevel,AGREES
SRR2932914,SRP065206,GSM1917141,"GSE74324,GSE74328",Serum_starved CQ,Quiescent IMR90 DMSO_2,IMR90,cell type: fetal lung fibroblasts | cell line: IMR90 | cell condition: quiescent | viral transduction: cotransduced with pWZL-Hygro and shRen | treatment: DMSO 48h,False,,IMR90,no,True
SRR2932915,SRP065206,GSM1917142,"GSE74324,GSE74328",Serum_starved CQ,Quiescent IMR90 DMSO_3,IMR90,cell type: fetal lung fibroblasts | cell line: IMR90 | cell condition: quiescent | viral transduction: cotransduced with pWZL-Hygro and shRen | treatment: DMSO 48h,False,,IMR90,no,True
SRR1768044,SRP052706,GSM1588051,GSE65145,Proliferating,proliferative fibroblast 1,proliferative fibroblast,cell type: proliferative fibroblast | source: foreskin 2DD,False,,foreskin 2DD,no,True
SRR1768045,SRP052706,GSM1588052,GSE65145,Proliferating,proliferative fibroblast 2,proliferative fibroblast,cell type: proliferative fibroblast | source: foreskin 2DD,False,,foreskin 2DD,no,True
SRR1768046,SRP052706,GSM1588053,GSE65145,Serum_starved CQ,queiscent fibroblast 1,queiscent fibroblast,cell type: queiscent fibroblast | source: foreskin 2DD,False,,foreskin 2DD,no,True
SRR1768047,SRP052706,GSM1588054,GSE65145,Serum_starved CQ,queiscent fibroblast 2,queiscent fibroblast,cell type: queiscent fibroblast | source: foreskin 2DD,False,,foreskin 2DD,no,True
SRR8284460,SRP172671,GSM3502427,GSE123380,Proliferating,A_BJ,Immortalized BJ-hTERT cells,cell type: Immortalized BJ-hTERT cells,True,Immortalized,BJ-hTERT,yes,True
SRR8284461,SRP172671,GSM3502428,GSE123380,Proliferating,B_BJ,Immortalized BJ-hTERT cells,cell type: Immortalized BJ-hTERT cells,True,Immortalized,BJ-hTERT,yes,True
SRR8284462,SRP172671,GSM3502429,GSE123380,Oncogene-induced CS,A_BJ_ras,Immortalized BJ-hTERT cells,cell type: Immortalized BJ-hTERT cells,True,Immortalized,BJ-hTERT,yes,True
SRR8284463,SRP172671,GSM3502430,GSE123380,Oncogene-induced CS,B_BJ_ras,Immortalized BJ-hTERT cells,cell type: Immortalized BJ-hTERT cells,True,Immortalized,BJ-hTERT,yes,True
SRR6869103,SRP136071,GSM3056966,GSE112068,Proliferating,IMR-90 0_0d,IMR-90,cell line: IMR-90 | cell type: fibroblast | age: 16 weeks gestation | agent: control | dose: 0 ug/ml | time: 0 day,False,,IMR90,no,True
SRR6869105,SRP136071,GSM3056967,GSE112068,Proliferating,IMR-90 0_4d,IMR-90,cell line: IMR-90 | cell type: fibroblast | age: 16 weeks gestation | agent: control | dose: 0 ug/ml | time: 4 days,False,,IMR90,no,True
SRR6869106,SRP136071,GSM3056968,GSE112068,Proliferating,IMR-90 0_8d,IMR-90,cell line: IMR-90 | cell type: fibroblast | age: 16 weeks gestation | agent: control | dose: 0 ug/ml | time: 8 days,False,,IMR90,no,True
SRR6869117,SRP136071,GSM3056979,GSE112068,Stress-induced CS,IMR-90 40_2d,IMR-90,cell line: IMR-90 | cell type: fibroblast | age: 16 weeks gestation | agent: bleomycin | dose: 40 ug/ml | time: 2 days,False,,IMR90,no,True
SRR6869119,SRP136071,GSM3056981,GSE112068,Stress-induced CS,IMR-90 40_4d,IMR-90,cell line: IMR-90 | cell type: fibroblast | age: 16 weeks gestation | agent: bleomycin | dose: 40 ug/ml | time: 4 days,False,,IMR90,no,True
SRR6869121,SRP136071,GSM3056983,GSE112068,Stress-induced CS,IMR-90 40_6d,IMR-90,cell line: IMR-90 | cell type: fibroblast | age: 16 weeks gestation | agent: bleomycin | dose: 40 ug/ml | time: 6 days,False,,IMR90,no,True
SRR6869122,SRP136071,GSM3056984,GSE112068,Stress-induced CS,IMR-90 40_8d,IMR-90,cell line: IMR-90 | cell type: fibroblast | age: 16 weeks gestation | agent: bleomycin | dose: 40 ug/ml | time: 8 days,False,,IMR90,no,True
SRR6869123,SRP136071,GSM3056985,GSE112068,Stress-induced CS,IMR-90 40_8h,IMR-90,cell line: IMR-90 | cell type: fibroblast | age: 16 weeks gestation | agent: bleomycin | dose: 40 ug/ml | time: 8 h,False,,IMR90,no,True
SRR6869124,SRP136071,GSM3056986,GSE112068,Stress-induced CS,IMR-90 40_12h,IMR-90,cell line: IMR-90 | cell type: fibroblast | age: 16 weeks gestation | agent: bleomycin | dose: 40 ug/ml | time: 12 h,False,,IMR90,no,True
SRR6869125,SRP136071,GSM3056987,GSE112068,Stress-induced CS,IMR-90 40_24h,IMR-90,cell line: IMR-90 | cell type: fibroblast | age: 16 weeks gestation | agent: bleomycin | dose: 40 ug/ml | time: 24 h,False,,IMR90,no,True
SRR6910824,SRP136727,GSM3070415,GSE112458,Oncogene-induced CS,BJ_sgNT_Ras,BJ cells,cell line: BJ cells | condition: RASG12V-induced BJ cells transduced with a control non targeting sgRNA,True,Immortalized,BJ-hTERT,yes,True
SRR3151885,SRP069768,GSM2055960,GSE77675,Proliferating,Young,WI-38,passage: PDL20 | cell line: WI-38,False,,WI-38,no,True
SRR3151886,SRP069768,GSM2055961,GSE77675,Replicative CS,Senescent,WI-38,passage: PDL52 | cell line: WI-38,False,,WI-38,no,True
SRR7537847,SRP154382,GSM3291218,GSE117337,Proliferating,P_10-2,human dermal fibroblasts (foreskin),cell type: human dermal fibroblasts (foreskin) | strain: 10-2 | cell growth conditions: proliferating cells,False,,HDF 10-2,no,True
