"analysis","label","cell_type","timepoint","pathway","contrib_diff","cohens_d","pooled_sd","wilcox_p","n_test","n_control","model","p_adj"
"meta_analysis","CICQ",NA,NA,"HALLMARK MITOTIC SPINDLE",0.764372143662459,0.579257500520788,1.3195722851672,0.0037078622180875,19,91,"scaled",0.00747552866549899
"meta_analysis","CICQ",NA,NA,"HALLMARK MTORC1 SIGNALING",0.414736785020994,0.204839038916464,2.02469601114527,0.393107689499452,19,91,"scaled",0.469296744752933
"meta_analysis","CICQ",NA,NA,"HALLMARK MYC TARGETS",0.7260779979168,0.733209235418251,0.990273939338226,0.00361533632866839,19,91,"scaled",0.00734824457046422
"meta_analysis","CICQ",NA,NA,"HALLMARK MYOGENESIS",1.70335170655741,0.470327580511653,3.62162836528615,0.0508055571487851,19,91,"scaled",0.0779226336637808
"meta_analysis","CICQ",NA,NA,"HALLMARK NOTCH SIGNALING",-0.0973081853703304,-0.224372536458363,0.433690267562616,0.721966905063011,19,91,"scaled",0.777981578731693
"meta_analysis","CICQ",NA,NA,"HALLMARK OXIDATIVE PHOSPHORYLATION",-0.248653528196191,-0.21389201410855,1.16251898993293,0.28219511308036,19,91,"scaled",0.358115625736498
"meta_analysis","CICQ",NA,NA,"HALLMARK P53 PATHWAY",2.20744431711195,0.583131850722053,3.78549776414822,0.00318344063392173,19,91,"scaled",0.00652344392197076
"meta_analysis","CICQ",NA,NA,"HALLMARK PANCREAS BETA CELLS",0.115039371358756,0.981736327773371,0.117179499326129,0.00128954462260311,19,91,"scaled",0.00293078323318889
"meta_analysis","CICQ",NA,NA,"HALLMARK PEROXISOME",0.613521543752685,0.915092695239618,0.670447427833564,0.00233195712563061,19,91,"scaled",0.00489906959166095
"meta_analysis","CICQ",NA,NA,"HALLMARK PI3K AKT MTOR SIGNALING",-0.282005440248689,-0.208501054554964,1.35253723704476,0.12697975270352,19,91,"scaled",0.17346960751847
"meta_analysis","CICQ",NA,NA,"HALLMARK PROTEIN SECRETION",0.222326174017441,0.864061361178434,0.257303686990732,0.000635527960472837,19,91,"scaled",0.00158881990118209
"meta_analysis","CICQ",NA,NA,"HALLMARK REACTIVE OXYGEN SPECIES PATHWAY",-0.350987049365023,-1.7924960333602,0.19580910798841,1.24606542391189e-08,19,91,"scaled",6.48992408287442e-08
"meta_analysis","CICQ",NA,NA,"HALLMARK SPERMATOGENESIS",0.0366368259862635,0.0443229408648635,0.826588337131459,0.579910565727829,19,91,"scaled",0.65305243888269
"meta_analysis","CICQ",NA,NA,"HALLMARK TGF BETA SIGNALING",0.132297368516678,0.139771773588834,0.94652421672674,0.680938470910619,19,91,"scaled",0.743382610164431
"meta_analysis","CICQ",NA,NA,"HALLMARK TNFA SIGNALING VIA NFKB",-4.55238337561597,-1.57492620567275,2.89053757516934,8.20544181356782e-06,19,91,"scaled",2.84911174082216e-05
"meta_analysis","CICQ",NA,NA,"HALLMARK UNFOLDED PROTEIN RESPONSE",-0.174830712630815,-0.342776058285998,0.510043535435441,0.0609242420572386,19,91,"scaled",0.0917533765922268
