test,cell_type,group_1,group_2,n_1,n_2,median_1,median_2,diff,p,p_adj,statistic
pairwise_timepoints,Fibroblast,none,4_days,6.0,6.0,0.007828436993899707,0.41828160992814334,0.41045317293424366,0.0021645021645021645,0.004329004329004329,
pairwise_timepoints,Fibroblast,none,10_days,6.0,6.0,0.007828436993899707,0.5912787418601715,0.5834503048662718,0.0021645021645021645,0.004329004329004329,
pairwise_timepoints,Fibroblast,none,20_days,6.0,6.0,0.007828436993899707,0.6316862971551476,0.6238578601612479,0.0021645021645021645,0.004329004329004329,
pairwise_timepoints,Fibroblast,4_days,10_days,6.0,6.0,0.41828160992814334,0.5912787418601715,0.17299713193202815,0.48484848484848486,0.5133689839572192,
pairwise_timepoints,Fibroblast,4_days,20_days,6.0,6.0,0.41828160992814334,0.6316862971551476,0.21340468722700423,0.0021645021645021645,0.004329004329004329,
pairwise_timepoints,Fibroblast,10_days,20_days,6.0,6.0,0.5912787418601715,0.6316862971551476,0.04040755529497608,1.0,1.0,
pairwise_timepoints,Keratinocyte,none,4_days,6.0,6.0,0.04170832871981227,0.4456900075443776,0.4039816788245653,0.025974025974025976,0.04250295159386069,
pairwise_timepoints,Keratinocyte,none,10_days,6.0,6.0,0.04170832871981227,0.3131629640203517,0.2714546353005394,0.09307359307359307,0.11966604823747681,
pairwise_timepoints,Keratinocyte,none,20_days,6.0,6.0,0.04170832871981227,0.15226716364228807,0.1105588349224758,0.48484848484848486,0.5133689839572192,
pairwise_timepoints,Keratinocyte,4_days,10_days,6.0,6.0,0.4456900075443776,0.3131629640203517,-0.1325270435240259,0.30952380952380953,0.3714285714285714,
pairwise_timepoints,Keratinocyte,4_days,20_days,6.0,6.0,0.4456900075443776,0.15226716364228807,-0.2934228439020895,0.04112554112554113,0.06168831168831169,
pairwise_timepoints,Keratinocyte,10_days,20_days,6.0,6.0,0.3131629640203517,0.15226716364228807,-0.16089580037806364,0.06493506493506493,0.0899100899100899,
pairwise_timepoints,Melanocyte,none,4_days,6.0,6.0,-0.027717914415868863,0.717921507345222,0.7456394217610909,0.0021645021645021645,0.004329004329004329,
pairwise_timepoints,Melanocyte,none,10_days,6.0,6.0,-0.027717914415868863,0.2523105870003255,0.28002850141619434,0.015151515151515152,0.02727272727272727,
pairwise_timepoints,Melanocyte,none,20_days,6.0,6.0,-0.027717914415868863,0.44607075146977326,0.4737886658856421,0.0021645021645021645,0.004329004329004329,
pairwise_timepoints,Melanocyte,4_days,10_days,6.0,6.0,0.717921507345222,0.2523105870003255,-0.4656109203448965,0.0021645021645021645,0.004329004329004329,
pairwise_timepoints,Melanocyte,4_days,20_days,6.0,6.0,0.717921507345222,0.44607075146977326,-0.2718507558754487,0.0021645021645021645,0.004329004329004329,
pairwise_timepoints,Melanocyte,10_days,20_days,6.0,6.0,0.2523105870003255,0.44607075146977326,0.19376016446944777,0.0021645021645021645,0.004329004329004329,
kruskal,Fibroblast,,,,,,,,0.0011962941869150766,0.0017944412803726148,15.886666666666684
kruskal,Keratinocyte,,,,,,,,0.028763765002755796,0.028763765002755796,9.04000000000002
kruskal,Melanocyte,,,,,,,,0.00010834024402196352,0.0003250207320658906,20.939999999999998
