analysis,label,cell_type,timepoint,pathway,observed,expected_from_weight,total_shift,z,p_emp,interpretable,p_emp_adj
temporal_bytimepoint,Fibroblast_4_days,Fibroblast,4_days,HALLMARK ADIPOGENESIS,0.04251493148889629,0.007061982246313936,0.4810936170357605,1.0097230170119784,0.2952852357382131,True,0.6984484109127878
temporal_bytimepoint,Fibroblast_4_days,Fibroblast,4_days,HALLMARK ALLOGRAFT REJECTION,-0.008381432783350021,0.007424478700508293,0.4810936170357605,-0.3500344113974675,0.7169141542922853,True,0.914937632619754
temporal_bytimepoint,Fibroblast_4_days,Fibroblast,4_days,HALLMARK ANDROGEN RESPONSE,-0.06526611775979722,0.004013425018401607,0.4810936170357605,-2.3087446371407103,0.026848657567121643,True,0.19733763311834407
temporal_bytimepoint,Fibroblast_4_days,Fibroblast,4_days,HALLMARK ANGIOGENESIS,0.004921338104511678,0.0019301684731827756,0.4810936170357605,0.1576183528878025,0.8505074746262686,True,0.9455478107706706
temporal_bytimepoint,Fibroblast_4_days,Fibroblast,4_days,HALLMARK APICAL JUNCTION,0.017340722178398126,0.007351929608282751,0.4810936170357605,0.28186585541665427,0.7689115544222789,True,0.9187835202834453
temporal_bytimepoint,Fibroblast_4_days,Fibroblast,4_days,HALLMARK APICAL SURFACE,-0.005621248193734466,0.0013480251946644346,0.4810936170357605,-0.3906203420269072,0.6422178891055447,True,0.9053347332633368
temporal_bytimepoint,Fibroblast_4_days,Fibroblast,4_days,HALLMARK APOPTOSIS,0.0032746363939266557,0.00711610064056042,0.4810936170357605,-0.054091632674307485,0.9540522973851308,True,0.9875124234442484
temporal_bytimepoint,Fibroblast_4_days,Fibroblast,4_days,HALLMARK BILE ACID METABOLISM,0.02148264885567913,0.00350509030135914,0.4810936170357605,0.7006555641211082,0.4568771561421929,True,0.8091679753361729
temporal_bytimepoint,Fibroblast_4_days,Fibroblast,4_days,HALLMARK CHOLESTEROL HOMEOSTASIS,-0.021630798313792148,0.0037448677527471327,0.4810936170357605,-0.8367951344033548,0.3790310484475776,True,0.7774543830947988
temporal_bytimepoint,Fibroblast_4_days,Fibroblast,4_days,HALLMARK COAGULATION,0.025484806396895737,0.004437332086746251,0.4810936170357605,0.6833583328065064,0.4694265286735663,True,0.8129479022232095
temporal_bytimepoint,Fibroblast_4_days,Fibroblast,4_days,HALLMARK COMPLEMENT,-0.0024448452199298523,0.007828396122209473,0.4810936170357605,-0.22401421598619423,0.8187590620468976,True,0.9387502347247676
temporal_bytimepoint,Fibroblast_4_days,Fibroblast,4_days,HALLMARK DNA REPAIR,-0.01757811134535683,0.003607587442987297,0.4810936170357605,-0.9005585671036771,0.33668316584170793,True,0.746060469253765
temporal_bytimepoint,Fibroblast_4_days,Fibroblast,4_days,HALLMARK E2F TARGETS,0.12116962965912606,0.005240374630208202,0.4810936170357605,4.1038011454031,0.00044997750112494374,True,0.030317234138293087
temporal_bytimepoint,Fibroblast_4_days,Fibroblast,4_days,HALLMARK EPITHELIAL MESENCHYMAL TRANSITION,-0.06681627598816092,0.00981415127303187,0.4810936170357605,-1.5775901009089366,0.11094445277736113,True,0.41114708970433833
temporal_bytimepoint,Fibroblast_4_days,Fibroblast,4_days,HALLMARK ESTROGEN RESPONSE EARLY,-0.005119047068519619,0.008058618977368006,0.4810936170357605,-0.2937932309172425,0.7632118394080296,True,0.9187835202834453
