analysis,label,model,pathway,n_clock,n_nonzero,weight_share,total_shift,observed,expected_from_weight,ratio,ratio_reliable,null_mean,null_sd,z,p_emp,interpretable,p_emp_adj
meta_analysis,CICQ,scaled,HALLMARK ADIPOGENESIS,142,23,0.0159896666166188,5.88320206320108,2.3037881372330533,0.0940704396287896,24.490032642815397,False,0.1232025010999107,1.5685595882545391,1.3901834858308784,0.1570921453927303,False,
meta_analysis,CICQ,scaled,HALLMARK ALLOGRAFT REJECTION,133,28,0.0224234560913446,5.88320206320108,2.220506330909972,0.1319217231406975,16.831999143475038,False,0.2363773689576492,2.039647491442441,0.9727803310508054,0.311784410779461,False,
meta_analysis,CICQ,scaled,HALLMARK ANDROGEN RESPONSE,75,15,0.0092040014056126,5.88320206320108,-1.3877828971220438,0.0541490000592059,-25.62896628939881,False,0.0492057651681124,1.2131438369757677,-1.1845163108378054,0.2073396330183491,False,
meta_analysis,CICQ,scaled,HALLMARK ANGIOGENESIS,28,8,0.0105685417604998,5.88320206320108,-2.214582181746537,0.0621768666903993,-35.61746192154913,False,0.0683042619469125,1.1541461709629044,-1.9779872784994268,0.0576471176441177,False,
meta_analysis,CICQ,scaled,HALLMARK APICAL JUNCTION,152,33,0.0229092646644998,5.88320206320108,2.6141332249696907,0.1347798331406053,19.39558140157785,False,0.177777682988231,1.7606945204648656,1.3837468758284106,0.1568421578921054,False,
meta_analysis,CICQ,scaled,HALLMARK APICAL SURFACE,31,6,0.0044629388278138,5.88320206320108,0.2057045847421422,0.0262563709197349,7.834463695343733,False,0.0310083593975305,0.8421745107994629,0.2074347099139528,0.7799110044497775,False,
meta_analysis,CICQ,scaled,HALLMARK APOPTOSIS,123,25,0.0192046057307468,5.88320206320108,0.493051873359035,0.112984576058093,4.363886563644967,False,0.1327561972037721,1.659965707259767,0.2170500719259017,0.8142592870356482,True,0.96979032627316
meta_analysis,CICQ,scaled,HALLMARK BILE ACID METABOLISM,79,16,0.0089765043147284,5.88320206320108,-0.1154355911493452,0.0528105887047436,-2.185841778714661,False,0.0599118307473737,1.136871588378371,-0.1542367877684707,0.8478076096195191,False,
meta_analysis,CICQ,scaled,HALLMARK CHOLESTEROL HOMEOSTASIS,58,11,0.0116143296918463,5.88320206320108,-1.1401055036274563,0.0683294484057681,-16.685419394241915,False,0.1018339284754336,1.345292833553918,-0.9231740488961092,0.3085345732713364,False,
meta_analysis,CICQ,scaled,HALLMARK COAGULATION,77,20,0.0120868292054766,5.88320206320108,2.961654078263834,0.0711092585192195,41.64934552739506,False,0.021520112000008,1.000209053418832,2.9395194496731487,0.0121493925303734,False,
meta_analysis,CICQ,scaled,HALLMARK COMPLEMENT,127,35,0.0197891890694979,5.88320206320108,3.571394462898483,0.1164237979627465,30.675811349508308,False,0.2010259696472665,1.8064594037886657,1.8657316550721168,0.0672966351682416,True,0.476684499108378
meta_analysis,CICQ,scaled,HALLMARK DNA REPAIR,93,12,0.0067373565593693,5.88320206320108,0.6064357058060028,0.0396372300106029,15.29964898263026,False,0.0736251711753457,1.056464265223154,0.504333702681475,0.5206739663016849,False,
meta_analysis,CICQ,scaled,HALLMARK E2F TARGETS,136,18,0.011107688312077,5.88320206320108,1.008333456271723,0.0653487747950062,15.43002848079069,False,0.0191047411164762,1.0980120994501024,0.9009269712516504,0.3046847657617119,False,
meta_analysis,CICQ,scaled,HALLMARK EPITHELIAL MESENCHYMAL TRANSITION,153,55,0.0397412605410033,5.88320206320108,-4.96412348694699,0.2338058660090423,-21.23181754026225,False,0.2878368076662455,2.274058265155299,-2.309509995890352,0.0249987500624968,True,0.3035562507588906
meta_analysis,CICQ,scaled,HALLMARK ESTROGEN RESPONSE EARLY,150,50,0.02569614946034,5.88320206320108,1.6404953730027818,0.1511756395213961,10.851585468375673,False,0.052526486264475,1.8024633178206049,0.8809992808388204,0.3584820758962052,True,0.7625181240937954
meta_analysis,CICQ,scaled,HALLMARK ESTROGEN RESPONSE LATE,150,44,0.0225695918474804,5.88320206320108,-0.1600222273478364,0.132781469322703,-1.2051548168888635,False,0.1593402666350123,1.72181828397,-0.1854797901474794,0.8428578571071447,True,0.96979032627316
meta_analysis,CICQ,scaled,HALLMARK FATTY ACID METABOLISM,107,24,0.0156727206116287,5.88320206320108,-0.3326785586751623,0.0922057822383081,-3.608001045046677,False,0.1695090186686899,1.7289157014759602,-0.2904638883868884,0.7414629268536573,True,0.9549143754933466
