"DEG","Freq"
"10_days_down_vs_none_up",1389
"10_days_up_vs_none_down",2658
"20_days_down_vs_none_up",1461
"20_days_up_vs_none_down",2697
"4_days_down_vs_none_up",1584
"4_days_up_vs_none_down",1971
