"external_id","study","cell_line","tissue","cell_substate","immortalised_curated","immortalised","evidence","changed"
"SRR7537848","SRP154382","Primary","Foreskin","Proliferating","no","no",NA,FALSE
"SRR7537849","SRP154382","Primary","Foreskin","Proliferating","no","no",NA,FALSE
"SRR7537850","SRP154382","Primary","Foreskin","Contact_inhibited CQ","no","no",NA,FALSE
"SRR7537851","SRP154382","Primary","Foreskin","Contact_inhibited CQ","no","no",NA,FALSE
"SRR7537852","SRP154382","Primary","Foreskin","Contact_inhibited CQ","no","no",NA,FALSE
"SRR7537853","SRP154382","Primary","Foreskin","Serum_starved CQ","no","no",NA,FALSE
"SRR7537854","SRP154382","Primary","Foreskin","Serum_starved CQ","no","no",NA,FALSE
"SRR7537855","SRP154382","Primary","Foreskin","Serum_starved CQ","no","no",NA,FALSE
"SRR5859295","SRP113329","IMR-90","Lung","Oncogene-induced CS","no","no",NA,FALSE
"SRR5859300","SRP113329","IMR-90","Lung","Oncogene-induced CS","no","no",NA,FALSE
"SRR5859304","SRP113329","IMR-90","Lung","Proliferating","no","no",NA,FALSE
"SRR5859294","SRP113329","IMR-90","Lung","Proliferating","no","no",NA,FALSE
"SRR5859299","SRP113329","IMR-90","Lung","Proliferating","no","no",NA,FALSE
"SRR5859305","SRP113329","IMR-90","Lung","Oncogene-induced CS","no","no",NA,FALSE
"SRR5169351","SRP096629","Primary","Skin","Contact_inhibited CQ","no","no",NA,FALSE
"SRR5169352","SRP096629","Primary","Skin","Contact_inhibited CQ","no","no",NA,FALSE
"SRR5169354","SRP096629","Primary","Skin","Contact_inhibited CQ","no","no",NA,FALSE
"SRR5169358","SRP096629","Primary","Skin","Stress-induced CS","no","no",NA,FALSE
"SRR5169359","SRP096629","Primary","Skin","Stress-induced CS","no","no",NA,FALSE
"SRR5169360","SRP096629","Primary","Skin","Stress-induced CS","no","no",NA,FALSE
"SRR1567487","SRP046254","IMR-90","Lung","Proliferating","no","no",NA,FALSE
"SRR1567488","SRP046254","IMR-90","Lung","Oncogene-induced CS","no","no",NA,FALSE
"SRR1567491","SRP046254","IMR-90","Lung","Proliferating","no","no",NA,FALSE
"SRR1567495","SRP046254","IMR-90","Lung","Proliferating","no","no",NA,FALSE
"SRR1567496","SRP046254","IMR-90","Lung","Oncogene-induced CS","no","no",NA,FALSE
"SRR1567492","SRP046254","IMR-90","Lung","Oncogene-induced CS","no","no",NA,FALSE
"SRR2970873","SRP066947","TIG-3","Lung","Proliferating","no","no",NA,FALSE
"SRR2970874","SRP066947","TIG-3","Lung","Oncogene-induced CS","no","no",NA,FALSE
"SRR2970876","SRP066947","TIG-3","Lung","Proliferating","no","no",NA,FALSE
"SRR2970877","SRP066947","TIG-3","Lung","Oncogene-induced CS","no","no",NA,FALSE
"SRR2970879","SRP066947","TIG-3","Lung","Proliferating","no","no",NA,FALSE
"SRR2970880","SRP066947","TIG-3","Lung","Oncogene-induced CS","no","no",NA,FALSE
"SRR2970882","SRP066947","TIG-3","Lung","Proliferating","no","no",NA,FALSE
"SRR2970883","SRP066947","TIG-3","Lung","Oncogene-induced CS","no","no",NA,FALSE
"SRR2970885","SRP066947","TIG-3","Lung","Proliferating","no","no",NA,FALSE
"SRR2970886","SRP066947","TIG-3","Lung","Oncogene-induced CS","no","no",NA,FALSE
"SRR2970888","SRP066947","TIG-3","Lung","Proliferating","no","no",NA,FALSE
"SRR2970889","SRP066947","TIG-3","Lung","Oncogene-induced CS","no","no",NA,FALSE
"SRR2970891","SRP066947","TIG-3","Lung","Proliferating","no","no",NA,FALSE
"SRR2970892","SRP066947","TIG-3","Lung","Serum_starved CQ","no","no",NA,FALSE
"SRR2970893","SRP066947","TIG-3","Lung","Proliferating","no","no",NA,FALSE
"SRR2970894","SRP066947","TIG-3","Lung","Serum_starved CQ","no","no",NA,FALSE
"SRR2970895","SRP066947","TIG-3","Lung","Proliferating","no","no",NA,FALSE
"SRR2970896","SRP066947","TIG-3","Lung","Serum_starved CQ","no","no",NA,FALSE
"SRR6389404","SRP127037","IMR-90","Lung","Proliferating","yes","yes","cell line;;IMR90 hTERT|cell type;;lung fibroblast|developmental stage;;control gro",FALSE
"SRR6389405","SRP127037","IMR-90","Lung","Proliferating","yes","yes","cell line;;IMR90 hTERT|cell type;;lung fibroblast|developmental stage;;control gro",FALSE
"SRR6389408","SRP127037","IMR-90","Lung","Oncogene-induced CS","yes","yes","cell line;;IMR90 hTERT|cell type;;lung fibroblast|developmental stage;;control gro",FALSE
"SRR6389409","SRP127037","IMR-90","Lung","Oncogene-induced CS","yes","yes","cell line;;IMR90 hTERT|cell type;;lung fibroblast|developmental stage;;control gro",FALSE
"SRR6389412","SRP127037","IMR-90","Lung","Oncogene-induced CS","yes","yes","cell line;;IMR90 hTERT|cell type;;lung fibroblast|developmental stage;;control gro",FALSE
"SRR6389413","SRP127037","IMR-90","Lung","Oncogene-induced CS","yes","yes","cell line;;IMR90 hTERT|cell type;;lung fibroblast|developmental stage;;control gro",FALSE
"ERR1805205","ERP021140","Primary","Foreskin","Serum_starved CQ","no","no",NA,FALSE
"ERR1805212","ERP021140","Primary","Foreskin","Stress-induced CS","no","no",NA,FALSE
"ERR1805188","ERP021140","Primary","Foreskin","Proliferating","no","no",NA,FALSE
"ERR1805189","ERP021140","Primary","Foreskin","Proliferating","no","no",NA,FALSE
"ERR1805190","ERP021140","Primary","Foreskin","Proliferating","no","no",NA,FALSE
"ERR1805191","ERP021140","Primary","Foreskin","Serum_starved CQ","no","no",NA,FALSE
"ERR1805192","ERP021140","Primary","Foreskin","Stress-induced CS","no","no",NA,FALSE
"ERR1805193","ERP021140","Primary","Foreskin","Stress-induced CS","no","no",NA,FALSE
"ERR1805194","ERP021140","Primary","Foreskin","Stress-induced CS","no","no",NA,FALSE
"ERR1805195","ERP021140","Primary","Foreskin","Stress-induced CS","no","no",NA,FALSE
"ERR1805196","ERP021140","Primary","Foreskin","Serum_starved CQ","no","no",NA,FALSE
"ERR1805197","ERP021140","Primary","Foreskin","Stress-induced CS","no","no",NA,FALSE
"ERR1805198","ERP021140","Primary","Foreskin","Stress-induced CS","no","no",NA,FALSE
"ERR1805199","ERP021140","Primary","Foreskin","Stress-induced CS","no","no",NA,FALSE
"ERR1805200","ERP021140","Primary","Foreskin","Stress-induced CS","no","no",NA,FALSE
"ERR1805201","ERP021140","Primary","Foreskin","Stress-induced CS","no","no",NA,FALSE
"ERR1805202","ERP021140","Primary","Foreskin","Stress-induced CS","no","no",NA,FALSE
"ERR1805203","ERP021140","Primary","Foreskin","Stress-induced CS","no","no",NA,FALSE
"ERR1805204","ERP021140","Primary","Foreskin","Stress-induced CS","no","no",NA,FALSE
"ERR1805206","ERP021140","Primary","Foreskin","Serum_starved CQ","no","no",NA,FALSE
"ERR1805207","ERP021140","Primary","Foreskin","Serum_starved CQ","no","no",NA,FALSE
"ERR1805208","ERP021140","Primary","Foreskin","Serum_starved CQ","no","no",NA,FALSE
"ERR1805209","ERP021140","Primary","Foreskin","Proliferating","no","no",NA,FALSE
"ERR1805210","ERP021140","Primary","Foreskin","Proliferating","no","no",NA,FALSE
"ERR1805211","ERP021140","Primary","Foreskin","Proliferating","no","no",NA,FALSE
"ERR1805213","ERP021140","Primary","Foreskin","Stress-induced CS","no","no",NA,FALSE
"ERR1805214","ERP021140","Primary","Foreskin","Stress-induced CS","no","no",NA,FALSE
"ERR1805215","ERP021140","Primary","Foreskin","Stress-induced CS","no","no",NA,FALSE
"ERR1805216","ERP021140","Primary","Foreskin","Stress-induced CS","no","no",NA,FALSE
"ERR1805217","ERP021140","Primary","Foreskin","Stress-induced CS","no","no",NA,FALSE
"SRR2184428","SRP062872","IMR-90","Lung","Proliferating","no","no",NA,FALSE
"SRR2184429","SRP062872","IMR-90","Lung","Proliferating","no","no",NA,FALSE
"SRR2184430","SRP062872","IMR-90","Lung","Proliferating","no","no",NA,FALSE
"SRR2184431","SRP062872","IMR-90","Lung","Proliferating","no","no",NA,FALSE
"SRR2184432","SRP062872","IMR-90","Lung","Proliferating","no","no",NA,FALSE
"SRR2184433","SRP062872","IMR-90","Lung","Proliferating","no","no",NA,FALSE
"SRR2184434","SRP062872","IMR-90","Lung","Proliferating","no","no",NA,FALSE
"SRR2184435","SRP062872","IMR-90","Lung","Proliferating","no","no",NA,FALSE
"SRR2184436","SRP062872","IMR-90","Lung","Oncogene-induced CS","no","no",NA,FALSE
"SRR2184437","SRP062872","IMR-90","Lung","Oncogene-induced CS","no","no",NA,FALSE
"SRR2184438","SRP062872","IMR-90","Lung","Oncogene-induced CS","no","no",NA,FALSE
"SRR2184439","SRP062872","IMR-90","Lung","Oncogene-induced CS","no","no",NA,FALSE
"SRR2184440","SRP062872","IMR-90","Lung","Oncogene-induced CS","no","no",NA,FALSE
"SRR2184441","SRP062872","IMR-90","Lung","Oncogene-induced CS","no","no",NA,FALSE
"SRR2184442","SRP062872","IMR-90","Lung","Oncogene-induced CS","no","no",NA,FALSE
"SRR2184443","SRP062872","IMR-90","Lung","Oncogene-induced CS","no","no",NA,FALSE
"SRR2184444","SRP062872","IMR-90","Lung","Stress-induced CS","no","no",NA,FALSE
"SRR2184445","SRP062872","IMR-90","Lung","Stress-induced CS","no","no",NA,FALSE
"SRR2184446","SRP062872","IMR-90","Lung","Stress-induced CS","no","no",NA,FALSE
"SRR2184447","SRP062872","IMR-90","Lung","Stress-induced CS","no","no",NA,FALSE
"SRR2184448","SRP062872","IMR-90","Lung","Stress-induced CS","no","no",NA,FALSE
"SRR2184449","SRP062872","IMR-90","Lung","Stress-induced CS","no","no",NA,FALSE
"SRR2184450","SRP062872","IMR-90","Lung","Stress-induced CS","no","no",NA,FALSE
"SRR2184451","SRP062872","IMR-90","Lung","Stress-induced CS","no","no",NA,FALSE
"SRR7516120","SRP153205","Primary","Foreskin","Proliferating","no","no",NA,FALSE
"SRR7516121","SRP153205","Primary","Foreskin","Proliferating","no","no",NA,FALSE
"SRR7516122","SRP153205","Primary","Foreskin","Contact_inhibited CQ","no","no",NA,FALSE
"SRR7516123","SRP153205","Primary","Foreskin","Contact_inhibited CQ","no","no",NA,FALSE
"SRR627536","SRP017378","BJ hTERT","Foreskin","Proliferating","no","yes","ls|condition;;Proliferation, normal conditions|source_name;;Immortalized primary fibroblasts cell line;;BJ cells|condition;;Quie",TRUE
"SRR627537","SRP017378","BJ hTERT","Foreskin","Proliferating","no","yes","ls|condition;;Proliferation, normal conditions|source_name;;Immortalized primary fibroblasts cell line;;BJ cells|condition;;Quie",TRUE
"SRR627538","SRP017378","BJ hTERT","Foreskin","Serum_starved CQ","no","yes","ls|condition;;Proliferation, normal conditions|source_name;;Immortalized primary fibroblasts cell line;;BJ cells|condition;;Quie",TRUE
"SRR627539","SRP017378","BJ hTERT","Foreskin","Serum_starved CQ","no","yes","ls|condition;;Proliferation, normal conditions|source_name;;Immortalized primary fibroblasts cell line;;BJ cells|condition;;Quie",TRUE
"SRR627542","SRP017378","BJ hTERT","Foreskin","Proliferating","no","yes","ls|condition;;Proliferation, normal conditions|source_name;;Immortalized primary fibroblasts cell line;;BJ cells|condition;;Quie",TRUE
"SRR5859249","SRP113324","IMR-90","Lung","Proliferating","no","no",NA,FALSE
