"analysis","label","cell_type","timepoint","pathway","cohens_d","wilcox_p","n_test","n_control","model","p_adj"
"meta_analysis","RS",NA,NA,"Muscle contraction/ Cytoskeleton/ Glycolysis (blue)",-0.957781300907092,0.00182186157956211,11,91,"scaled",0.00439759691618439
"meta_analysis","RS",NA,NA,"OxPhos/ Heme metabolism (white)",0.950733924928583,0.00454917553146661,11,91,"scaled",0.00964976627886856
"meta_analysis","RS",NA,NA,"Protein folding/ Translation (plum1)",0.568787049594375,0.0508562089417217,11,91,"scaled",0.0757432899132025
"meta_analysis","RS",NA,NA,"Protein processing in ER/ UPR (darkslateblue)",1.12768265519509,0.000234309244246056,11,91,"scaled",0.000630832580662458
"meta_analysis","RS",NA,NA,"VEGF signaling (sienna3)",0.560824027695113,0.103304415698847,11,91,"scaled",0.141467280603416
"meta_analysis","RS",NA,NA,"mRNA splicing (darkred)",-0.5408152624262,0.0508562089417217,11,91,"scaled",0.0757432899132025
"meta_analysis","SIPS",NA,NA,"Adaptive immunity/ T cell signaling (darkgreen)",0.32619831238929,0.00753298013219905,39,91,"scaled",0.0150659602643981
"meta_analysis","SIPS",NA,NA,"Cell cycle/ DNA replication (green)",1.26693144697551,1.64585678419371e-10,39,91,"scaled",1.64585678419371e-09
"meta_analysis","SIPS",NA,NA,"Chromatin modification (orange)",0.126137362555678,0.25299678049329,39,91,"scaled",0.316245975616613
"meta_analysis","SIPS",NA,NA,"ECM organization/ EMT (brown4)",-0.648063126541851,0.0176648621866665,39,91,"scaled",0.0325405356070173
"meta_analysis","SIPS",NA,NA,"Fatty acid metabolism/ Peroxisome (ivory)",-1.4596771021903,2.12144483299773e-12,39,91,"scaled",3.71252845774604e-11
"meta_analysis","SIPS",NA,NA,"Innate immunity/ Inflammation (turquoise)",-0.0681580090180027,0.75277095445004,39,91,"scaled",0.810676412484658
"meta_analysis","SIPS",NA,NA,"Interferon signaling (darkmagenta)",-0.595605796435707,0.00562555746910841,39,91,"scaled",0.0115820300834585
"meta_analysis","SIPS",NA,NA,"Mitochondrial translation/ OxPhos (pink)",0.616169730222305,9.75109564811394e-05,39,91,"scaled",0.00027303067814719
"meta_analysis","SIPS",NA,NA,"Muscle contraction/ Cytoskeleton/ Glycolysis (blue)",0.365003577785324,0.0102989798575492,39,91,"scaled",0.0194845564872553
"meta_analysis","SIPS",NA,NA,"OxPhos/ Heme metabolism (white)",1.68431065326098,1.11022302462516e-15,39,91,"scaled",3.88578058618805e-14
"meta_analysis","SIPS",NA,NA,"Protein folding/ Translation (plum1)",-0.987060965464836,4.48275839856297e-06,39,91,"scaled",1.65154256789162e-05
