analysis,label,model,pathway,n_clock,n_nonzero,weight_share,total_shift,observed,expected_from_weight,ratio,null_mean,null_sd,z,p_emp,ratio_reliable,interpretable,p_emp_adj_DEPRECATED,p_floor
meta_analysis,CICQ,mortality,HALLMARK ADIPOGENESIS,142,142,0.014679018794358702,0.41257112836177146,0.01933198337674384,0.00605613934723222,3.1921298814861245,0.005076882602934491,0.03469786528923491,0.41083509475241486,0.6740662966851657,False,True,0.8800572471376431,4.999750012499375e-05
meta_analysis,CICQ,mortality,HALLMARK ALLOGRAFT REJECTION,133,133,0.0154325030256147,0.41257112836177146,0.04614578995217633,0.006367005186724309,7.247644473165158,0.005505870032447485,0.0398305650742737,1.0203199438407642,0.29573521323933805,False,True,0.7204026591123273,4.999750012499375e-05
meta_analysis,CICQ,mortality,HALLMARK ANDROGEN RESPONSE,75,75,0.008342295296142502,0.41257112836177146,-0.025089160763458983,0.0034417901834566107,-7.2895671804902955,0.0030953316958478795,0.029291045668391903,-0.9622221336304451,0.3233338333083346,False,True,0.7334887885235368,4.999750012499375e-05
meta_analysis,CICQ,mortality,HALLMARK ANGIOGENESIS,28,28,0.00401204340451539,0.41257112836177146,0.01039565425662317,0.0016552532744373175,6.280400961693939,0.0012613763159890843,0.02153364653177014,0.4241863043102165,0.6471676416179191,False,True,0.8800572471376431,4.999750012499375e-05
meta_analysis,CICQ,mortality,HALLMARK APICAL JUNCTION,152,152,0.015281702662324596,0.41257112836177146,0.044385809116777294,0.006304789310684345,7.040014650697264,0.00534649557225097,0.03761331700185596,1.0379120124555885,0.2936853157342133,False,True,0.7204026591123273,4.999750012499375e-05
meta_analysis,CICQ,mortality,HALLMARK APICAL SURFACE,31,31,0.0028020018286050836,0.41257112836177146,0.009219463528315215,0.0011560250560993463,7.975141611050786,0.001226973953719547,0.016962121648794286,0.47119633617082307,0.607769611519424,False,True,0.8800572471376431,4.999750012499375e-05
meta_analysis,CICQ,mortality,HALLMARK APOPTOSIS,123,123,0.014791509154509254,0.41257112836177146,0.01099452604648416,0.006102549622049355,1.8016282910276415,0.004389771765699676,0.03814814040484261,0.17313437065849904,0.8578571071446428,False,True,0.9341110722241667,4.999750012499375e-05
meta_analysis,CICQ,mortality,HALLMARK BILE ACID METABOLISM,79,79,0.007285672013184496,0.41257112836177146,-0.0020755632883747484,0.0030058579233533064,-0.6905061188185734,0.0025379801058192037,0.02525911739438627,-0.1826486381990248,0.8476076196190191,False,True,0.9313909304534773,4.999750012499375e-05
meta_analysis,CICQ,mortality,HALLMARK CHOLESTEROL HOMEOSTASIS,58,58,0.007784072829361131,0.41257112836177146,-0.0004057048496580312,0.003211483710459729,-0.12632941227030353,0.0032027614542782523,0.03043698617096502,-0.11855530911199529,0.9003049847507625,False,True,0.9549790750805807,4.999750012499375e-05
meta_analysis,CICQ,mortality,HALLMARK COAGULATION,77,77,0.009223427477767632,0.41257112836177146,0.07128806408691275,0.0038053198818655595,18.73379014117566,0.004243556159783203,0.029437356674210283,2.2775315280215507,0.028098595070246486,False,True,0.20715875970907338,4.999750012499375e-05
