analysis,label,model,entrez,gene,coefficient,contrib_diff,cohens_d,wilcox_p,n_test,n_control,p_adj
meta_analysis,CICQ,scaled,16149,Cd74,0.02235368123159861,0.3996288884859111,0.23807294137323765,0.4525326509511094,19,91,0.6258430279111088
meta_analysis,CICQ,scaled,19039,Lgals3bp,-0.0043739911456854574,-0.014273834801978337,-0.0597402141647711,1.0,19,91,1.0
meta_analysis,CICQ,scaled,229003,Helz2,-0.008570792005017234,0.29325564370346485,0.7565099979761062,0.028499634808627546,19,91,0.06615986652002823
meta_analysis,CICQ,scaled,57444,Isg20,-0.004829426229828328,-0.25658331782181365,-0.8453280332172161,0.006220097696312844,19,91,0.0212792815926492
meta_analysis,CICQ,scaled,15945,Cxcl10,-0.002366988906438771,0.15100250236771748,0.8565580548193451,0.0003621668318966179,19,91,0.0023540844073280166
meta_analysis,CICQ,scaled,67138,Herc6,-0.005476338381857375,0.13860139654048884,0.38273488796442023,0.590783740500487,19,91,0.7529596692653265
meta_analysis,CICQ,scaled,67168,Lpar6,-0.0024642344044495668,-0.12040067373772616,-0.7655391349544705,0.013925102772688958,19,91,0.03935355131412097
meta_analysis,CICQ,scaled,24110,Usp18,0.0028095706115958876,-0.16817289485417392,-1.1205388799812106,1.2267919507602653e-05,19,91,0.00011391639542773892
meta_analysis,CICQ,scaled,100038882,Isg15,-0.009095807097917064,-0.13025116462816644,-0.26178422503999776,0.9055839983503601,19,91,1.0
meta_analysis,CICQ,scaled,54123,Irf7,0.0020664127570795532,0.0627197417141346,0.7667015524472486,0.0047587207344089565,19,91,0.018195108690387186
meta_analysis,CICQ,scaled,19124,Procr,-0.003425067570285812,-0.06671022128153375,-0.6017588730765124,0.015876359467863376,19,91,0.04127853461644478
meta_analysis,CICQ,scaled,20343,Sell,-0.006314444021553099,-3.469446951953614e-18,-1.981734777227449,1.0,19,91,1.0
meta_analysis,CICQ,scaled,231712,Trafd1,-0.009145904760869485,0.17208121655074848,0.7294302314385144,0.07392716510620179,19,91,0.13347960366397546
meta_analysis,SSCQ,scaled,16149,Cd74,0.02235368123159861,0.17139665824270817,0.1088850959991737,0.6504075297971095,22,91,0.7829720319391166
meta_analysis,SSCQ,scaled,19039,Lgals3bp,-0.0043739911456854574,-0.17278751650689494,-0.7438686040858978,0.00592674731927282,22,91,0.0212792815926492
meta_analysis,SSCQ,scaled,229003,Helz2,-0.008570792005017234,-0.20666489028385354,-0.544917131471266,0.001936112014628838,22,91,0.008989091496491033
meta_analysis,SSCQ,scaled,57444,Isg20,-0.004829426229828328,-0.13458411850163096,-0.4764684789030694,0.054207206465195765,22,91,0.10677177031023409
meta_analysis,SSCQ,scaled,15945,Cxcl10,-0.002366988906438771,0.016310021769574863,0.0864281122898026,0.6142936463514359,22,91,0.7678670579392949
meta_analysis,SSCQ,scaled,67138,Herc6,-0.005476338381857375,-0.36948387623103446,-1.0817669737032845,6.168940006580715e-05,22,91,0.0005012263755346831
meta_analysis,SSCQ,scaled,67168,Lpar6,-0.0024642344044495668,-0.09026595119726367,-0.585612291864585,0.003278560920056858,22,91,0.013319153737730986
meta_analysis,SSCQ,scaled,24110,Usp18,0.0028095706115958876,0.024786409327523982,0.17505885620367864,0.26258560298674805,22,91,0.3969317254450842
meta_analysis,SSCQ,scaled,100038882,Isg15,-0.009095807097917064,-0.30058010401397295,-0.6163282882794332,0.038433633057864555,22,91,0.08058664996003859
meta_analysis,SSCQ,scaled,54123,Irf7,0.0020664127570795532,0.11464091906419865,1.4509035779745136,3.248525398639039e-07,22,91,5.278853772788438e-06
meta_analysis,SSCQ,scaled,19124,Procr,-0.003425067570285812,0.012791205989887625,0.12689037057116734,0.9739695501108471,22,91,1.0
meta_analysis,SSCQ,scaled,20343,Sell,-0.006314444021553099,0.0,0.0,1.0,22,91,1.0
meta_analysis,SSCQ,scaled,231712,Trafd1,-0.009145904760869485,0.12446712509931018,0.45217337300164046,0.7801152809360735,22,91,0.9219544229244505
meta_analysis,RS,scaled,16149,Cd74,0.02235368123159861,-1.5446754111704344,-1.023560421521263,0.0009626033068130617,11,91,0.0052141012452374185
meta_analysis,RS,scaled,19039,Lgals3bp,-0.0043739911456854574,-0.05435743948518589,-0.22701191560514414,0.5895988562359722,11,91,0.7529596692653265
meta_analysis,RS,scaled,229003,Helz2,-0.008570792005017234,0.08224772574570201,0.22864224920130385,0.19920722389618006,11,91,0.32371173883129256
meta_analysis,RS,scaled,57444,Isg20,-0.004829426229828328,0.12959900615407188,0.4846560769348667,0.0786623313686594,11,91,0.13819058213413138
meta_analysis,RS,scaled,15945,Cxcl10,-0.002366988906438771,-0.1669333632039548,-0.8478007296646475,0.03635454381697915,11,91,0.07876817827012149
meta_analysis,RS,scaled,67138,Herc6,-0.005476338381857375,-0.40057814897774235,-1.1900874825851973,0.0005785343760938487,11,91,0.0034186122223727423
meta_analysis,RS,scaled,67168,Lpar6,-0.0024642344044495668,-0.056119757259699726,-0.3714048693132942,0.2573080784412547,11,91,0.3969317254450842
meta_analysis,RS,scaled,24110,Usp18,0.0028095706115958876,0.007850735129837413,0.05614291542095463,0.6504690726878815,11,91,0.7829720319391166
meta_analysis,RS,scaled,100038882,Isg15,-0.009095807097917064,-0.2981248275877607,-0.6556895973803519,0.008479469476503796,11,91,0.026245976951083178
meta_analysis,RS,scaled,54123,Irf7,0.0020664127570795532,-0.04599849693741647,-0.572690971802145,0.27587915453771805,11,91,0.40754875102162896
meta_analysis,RS,scaled,19124,Procr,-0.003425067570285812,0.03231864419357088,0.31433222656830884,0.2147313431655533,11,91,0.3404277391649016
meta_analysis,RS,scaled,20343,Sell,-0.006314444021553099,-3.469446951953614e-18,-1.9802950859533486,1.0,11,91,1.0
meta_analysis,RS,scaled,231712,Trafd1,-0.009145904760869485,-0.021168488561181652,-0.11199952825245646,0.9398022261720721,11,91,1.0
meta_analysis,SIPS,scaled,16149,Cd74,0.02235368123159861,-0.026420630992285893,-0.018709942036000626,0.5420912239342728,39,91,0.719100603178117
meta_analysis,SIPS,scaled,19039,Lgals3bp,-0.0043739911456854574,-0.1435907965424838,-0.6916986066627944,0.007764222308306233,39,91,0.025233722501995258
meta_analysis,SIPS,scaled,229003,Helz2,-0.008570792005017234,-0.2683002231940954,-0.8527830223484562,7.440561304425978e-08,39,91,1.612121615958962e-06
meta_analysis,SIPS,scaled,57444,Isg20,-0.004829426229828328,0.2102574059483813,0.7910618692661188,7.25301721930726e-05,39,91,0.0005238290213944132
meta_analysis,SIPS,scaled,15945,Cxcl10,-0.002366988906438771,-0.11184198976029663,-0.522062114110214,0.06740543107162493,39,91,0.12886332410751825
meta_analysis,SIPS,scaled,67138,Herc6,-0.005476338381857375,-0.17914203109531177,-0.5163128370765324,0.032036982797488386,39,91,0.07180703040816362
meta_analysis,SIPS,scaled,67168,Lpar6,-0.0024642344044495668,0.025825014459339272,0.18060675206203386,0.4162916706571256,39,91,0.588238230276373
meta_analysis,SIPS,scaled,24110,Usp18,0.0028095706115958876,0.016585553321818956,0.1322846722904067,0.9513867876104767,39,91,1.0
meta_analysis,SIPS,scaled,100038882,Isg15,-0.009095807097917064,-0.16121821008295348,-0.38068185568856233,0.002768081760341196,39,91,0.011995020961478515
meta_analysis,SIPS,scaled,54123,Irf7,0.0020664127570795532,0.03162808656368199,0.4035952246928545,0.011570406658117316,39,91,0.03418529239898298
meta_analysis,SIPS,scaled,19124,Procr,-0.003425067570285812,0.015792540604280175,0.16150663219392403,0.36852525214987797,39,91,0.5323142531053793
meta_analysis,SIPS,scaled,20343,Sell,-0.006314444021553099,0.0,0.0,1.0,39,91,1.0
meta_analysis,SIPS,scaled,231712,Trafd1,-0.009145904760869485,0.09279166915934141,0.49587671637316066,0.0015233441488664411,39,91,0.007616720744332206
meta_analysis,OIS,scaled,16149,Cd74,0.02235368123159861,-0.6345258682310722,-0.4311928135392159,0.017058067825973612,48,91,0.04264516956493403
meta_analysis,OIS,scaled,19039,Lgals3bp,-0.0043739911456854574,-0.08428087886646339,-0.3619140463635859,0.0696764951485699,48,91,0.1293992052759155
meta_analysis,OIS,scaled,229003,Helz2,-0.008570792005017234,-0.2645926524735171,-0.7454996932335148,1.1929675067032018e-05,48,91,0.00011391639542773892
meta_analysis,OIS,scaled,57444,Isg20,-0.004829426229828328,-0.3124471965155322,-0.9645064388347275,4.400714614756359e-06,48,91,5.7209289991832665e-05
meta_analysis,OIS,scaled,15945,Cxcl10,-0.002366988906438771,-0.28509076292630714,-1.3808874134680034,2.483810747883808e-10,48,91,8.072384930622375e-09
meta_analysis,OIS,scaled,67138,Herc6,-0.005476338381857375,-0.1480508756405188,-0.423217664719136,0.09892147226629648,48,91,0.1692077815081387
meta_analysis,OIS,scaled,67168,Lpar6,-0.0024642344044495668,0.05360734640352659,0.317635994737717,0.04407787102349306,48,91,0.08953317551647028
meta_analysis,OIS,scaled,24110,Usp18,0.0028095706115958876,0.0793280760590777,0.5327880507364684,0.019919210606231495,48,91,0.0479536551631499
meta_analysis,OIS,scaled,100038882,Isg15,-0.009095807097917064,-0.16945600955619547,-0.33552622401380067,0.014925501999497133,48,91,0.040423234581971404
meta_analysis,OIS,scaled,54123,Irf7,0.0020664127570795532,0.03748075789290793,0.39041150319069856,0.16223151472317632,48,91,0.2703858578719605
meta_analysis,OIS,scaled,19124,Procr,-0.003425067570285812,-0.19358886911092543,-2.1505131308187555,2.91636618267684e-17,48,91,1.895638018739946e-15
meta_analysis,OIS,scaled,20343,Sell,-0.006314444021553099,-1.734723475976807e-18,-1.2269859434787773,1.0,48,91,1.0
meta_analysis,OIS,scaled,231712,Trafd1,-0.009145904760869485,-0.0008651976682202238,-0.004891808775991428,0.5021463098486694,48,91,0.6799897945867398
temporal_pooled,Fibroblast,scaled,16149,Cd74,0.02235368123159861,-3.469446951953614e-18,-1.9148542155126762,1.0,18,6,1.0
temporal_pooled,Fibroblast,scaled,19039,Lgals3bp,-0.0043739911456854574,-0.13110078450898022,-1.402174489879644,0.07692650598829089,18,6,0.18750835834645904
temporal_pooled,Fibroblast,scaled,229003,Helz2,-0.008570792005017234,-0.1997473121071094,-0.8959469179088204,0.19935213527890872,18,6,0.4091964882040758
temporal_pooled,Fibroblast,scaled,57444,Isg20,-0.004829426229828328,-1.734723475976807e-18,-1.1055415967851332,1.0,18,6,1.0
temporal_pooled,Fibroblast,scaled,15945,Cxcl10,-0.002366988906438771,-0.33741248323848294,-1.4480315056729083,0.003373057148800856,18,6,0.011959020800293945
temporal_pooled,Fibroblast,scaled,67138,Herc6,-0.005476338381857375,-0.08042722559418505,-0.38458018935649335,0.4148860293025053,18,6,0.6741897976165712
temporal_pooled,Fibroblast,scaled,67168,Lpar6,-0.0024642344044495668,0.005256801065818089,0.09898315868857843,0.8711700199114387,18,6,1.0
temporal_pooled,Fibroblast,scaled,24110,Usp18,0.0028095706115958876,0.03002498621046264,0.3730930007341333,0.49420487978840383,18,6,0.7413073196826058
temporal_pooled,Fibroblast,scaled,100038882,Isg15,-0.009095807097917064,-0.26641969353437,-0.7382857575712767,0.2240631222324586,18,6,0.4161172270031374
temporal_pooled,Fibroblast,scaled,54123,Irf7,0.0020664127570795532,0.07293302229833815,1.318229125162926,0.02729650212487741,18,6,0.07604025591930137
temporal_pooled,Fibroblast,scaled,19124,Procr,-0.003425067570285812,0.018607978890096015,0.38984750180347355,0.17651341793218223,18,6,0.3824457388530615
temporal_pooled,Fibroblast,scaled,20343,Sell,-0.006314444021553099,-1.734723475976807e-18,-1.1055415967851332,1.0,18,6,1.0
temporal_pooled,Fibroblast,scaled,231712,Trafd1,-0.009145904760869485,0.09437810967857699,0.956587263872734,0.06576718476031977,18,6,0.17099468037683138
temporal_pooled,Keratinocyte,scaled,16149,Cd74,0.02235368123159861,0.3427990514292272,0.22201012575402004,0.6260810128087017,18,6,0.8419710172254954
temporal_pooled,Keratinocyte,scaled,19039,Lgals3bp,-0.0043739911456854574,-0.011823573961089011,-0.1041395464270693,1.0,18,6,1.0
temporal_pooled,Keratinocyte,scaled,229003,Helz2,-0.008570792005017234,0.029067128203399087,0.10191429131454008,0.9225385598383311,18,6,1.0
temporal_pooled,Keratinocyte,scaled,57444,Isg20,-0.004829426229828328,-0.3108549957052965,-1.798275905869134,0.003373057148800856,18,6,0.011959020800293945
temporal_pooled,Keratinocyte,scaled,15945,Cxcl10,-0.002366988906438771,-0.07322479741981003,-0.3159198822738046,0.5805224523759993,18,6,0.8085848443808562
temporal_pooled,Keratinocyte,scaled,67138,Herc6,-0.005476338381857375,0.2724460028521063,0.6752986342767543,0.27959226128562514,18,6,0.4956408268245173
temporal_pooled,Keratinocyte,scaled,67168,Lpar6,-0.0024642344044495668,-0.02239418544343195,-0.3434023037111905,0.2240631222324586,18,6,0.4161172270031374
temporal_pooled,Keratinocyte,scaled,24110,Usp18,0.0028095706115958876,-0.10568014114928377,-0.6163506924794747,0.5365835537460252,18,6,0.775065133188703
temporal_pooled,Keratinocyte,scaled,100038882,Isg15,-0.009095807097917064,0.3237644816328414,0.4899421783702406,0.45368361615501207,18,6,0.7077464412018188
temporal_pooled,Keratinocyte,scaled,54123,Irf7,0.0020664127570795532,-0.12306749062225843,-1.4013210573921702,0.007399922731730511,18,6,0.024049748878124163
temporal_pooled,Keratinocyte,scaled,19124,Procr,-0.003425067570285812,-0.007966362048708063,-0.1319265916154128,1.0,18,6,1.0
temporal_pooled,Keratinocyte,scaled,20343,Sell,-0.006314444021553099,-1.734723475976807e-18,-1.1055415967851332,1.0,18,6,1.0
temporal_pooled,Keratinocyte,scaled,231712,Trafd1,-0.009145904760869485,-0.02935156297386491,-0.26941148987511193,0.8711700199114387,18,6,1.0
temporal_pooled,Melanocyte,scaled,16149,Cd74,0.02235368123159861,-0.932772424754523,-1.1317423925338947,0.014799845463461024,18,6,0.04439953639038307
temporal_pooled,Melanocyte,scaled,19039,Lgals3bp,-0.0043739911456854574,-0.47248454665837775,-5.268470390878671,1.4859282593836369e-05,18,6,9.658533685993639e-05
temporal_pooled,Melanocyte,scaled,229003,Helz2,-0.008570792005017234,-1.18182163793012,-8.940811357389865,1.4859282593836369e-05,18,6,9.658533685993639e-05
temporal_pooled,Melanocyte,scaled,57444,Isg20,-0.004829426229828328,0.04180831712267631,0.5188753395886827,0.3781241641653541,18,6,0.6411670609760352
temporal_pooled,Melanocyte,scaled,15945,Cxcl10,-0.002366988906438771,-0.30446293646018335,-1.6066707818999926,0.0013373354334452734,18,6,0.005795120211596185
temporal_pooled,Melanocyte,scaled,67138,Herc6,-0.005476338381857375,-0.9578391926085484,-7.934389167183309,1.4859282593836369e-05,18,6,9.658533685993639e-05
temporal_pooled,Melanocyte,scaled,67168,Lpar6,-0.0024642344044495668,0.14685707049541394,3.7499843371625747,2.9718565187672738e-05,18,6,0.0001655748631884624
temporal_pooled,Melanocyte,scaled,24110,Usp18,0.0028095706115958876,0.6512102023468769,5.97721964794545,1.4859282593836369e-05,18,6,9.658533685993639e-05
temporal_pooled,Melanocyte,scaled,100038882,Isg15,-0.009095807097917064,-3.2456749321201985,-9.150573469006174,1.4859282593836369e-05,18,6,9.658533685993639e-05
temporal_pooled,Melanocyte,scaled,54123,Irf7,0.0020664127570795532,0.3914107738719817,13.075177953029968,1.4859282593836369e-05,18,6,9.658533685993639e-05
temporal_pooled,Melanocyte,scaled,19124,Procr,-0.003425067570285812,-0.04403986951770835,-0.8493962026544196,0.17651341793218223,18,6,0.3824457388530615
temporal_pooled,Melanocyte,scaled,20343,Sell,-0.006314444021553099,-1.734723475976807e-18,-1.1055415967851332,1.0,18,6,1.0
temporal_pooled,Melanocyte,scaled,231712,Trafd1,-0.009145904760869485,0.11902421501849916,1.8848965204111985,0.0009509940860055277,18,6,0.004636096169276948
temporal_bytimepoint,Fibroblast_4_days,scaled,16149,Cd74,0.02235368123159861,0.0,0.0,1.0,6,6,1.0
temporal_bytimepoint,Fibroblast_4_days,scaled,19039,Lgals3bp,-0.0043739911456854574,-0.11771263947188794,-0.9390017454998539,0.17965367965367965,6,6,0.33902387934646
temporal_bytimepoint,Fibroblast_4_days,scaled,229003,Helz2,-0.008570792005017234,-0.1631897889174603,-0.6921387282139525,0.3939393939393939,6,6,0.6313823163138231
temporal_bytimepoint,Fibroblast_4_days,scaled,57444,Isg20,-0.004829426229828328,0.0,,1.0,6,6,1.0
temporal_bytimepoint,Fibroblast_4_days,scaled,15945,Cxcl10,-0.002366988906438771,0.0,0.0,1.0,6,6,1.0
temporal_bytimepoint,Fibroblast_4_days,scaled,67138,Herc6,-0.005476338381857375,-0.03147707376990862,-0.16702622575587747,0.5887445887445888,6,6,0.8719381883938846
temporal_bytimepoint,Fibroblast_4_days,scaled,67168,Lpar6,-0.0024642344044495668,-0.044083345662423834,-1.1933360811329896,0.06493506493506493,6,6,0.14069264069264067
temporal_bytimepoint,Fibroblast_4_days,scaled,24110,Usp18,0.0028095706115958876,0.03696494233645238,0.5648204137472732,0.3939393939393939,6,6,0.6313823163138231
temporal_bytimepoint,Fibroblast_4_days,scaled,100038882,Isg15,-0.009095807097917064,-0.2891693695885351,-0.7787297473289433,0.3939393939393939,6,6,0.6313823163138231
temporal_bytimepoint,Fibroblast_4_days,scaled,54123,Irf7,0.0020664127570795532,0.08247606307383933,1.2967647654502403,0.17965367965367965,6,6,0.33902387934646
temporal_bytimepoint,Fibroblast_4_days,scaled,19124,Procr,-0.003425067570285812,0.058550555506033664,2.194685138738125,0.004329004329004329,6,6,0.012662337662337661
temporal_bytimepoint,Fibroblast_4_days,scaled,20343,Sell,-0.006314444021553099,0.0,,1.0,6,6,1.0
temporal_bytimepoint,Fibroblast_4_days,scaled,231712,Trafd1,-0.009145904760869485,-0.011184798893447501,-0.22805215657221214,0.5887445887445888,6,6,0.8719381883938846
temporal_bytimepoint,Fibroblast_10_days,scaled,16149,Cd74,0.02235368123159861,0.0,0.0,1.0,6,6,1.0
temporal_bytimepoint,Fibroblast_10_days,scaled,19039,Lgals3bp,-0.0043739911456854574,-0.08015918911514057,-0.7575638151812244,1.0,6,6,1.0
temporal_bytimepoint,Fibroblast_10_days,scaled,229003,Helz2,-0.008570792005017234,-0.06982796335006775,-0.32008088278526176,0.8181818181818182,6,6,1.0
temporal_bytimepoint,Fibroblast_10_days,scaled,57444,Isg20,-0.004829426229828328,0.0,,1.0,6,6,1.0
temporal_bytimepoint,Fibroblast_10_days,scaled,15945,Cxcl10,-0.002366988906438771,0.0,0.0,1.0,6,6,1.0
temporal_bytimepoint,Fibroblast_10_days,scaled,67138,Herc6,-0.005476338381857375,0.07310033860277,0.39228872204548265,0.48484848484848486,6,6,0.7563636363636363
temporal_bytimepoint,Fibroblast_10_days,scaled,67168,Lpar6,-0.0024642344044495668,-0.002227512157787284,-0.04076522551959381,1.0,6,6,1.0
temporal_bytimepoint,Fibroblast_10_days,scaled,24110,Usp18,0.0028095706115958876,-0.03834278410929404,-0.5976293184956746,0.5887445887445888,6,6,0.8719381883938846
temporal_bytimepoint,Fibroblast_10_days,scaled,100038882,Isg15,-0.009095807097917064,0.03282408888975351,0.08722020299818849,0.9372294372294373,6,6,1.0
temporal_bytimepoint,Fibroblast_10_days,scaled,54123,Irf7,0.0020664127570795532,0.0389301253829147,0.7496033093900606,0.30952380952380953,6,6,0.532563025210084
temporal_bytimepoint,Fibroblast_10_days,scaled,19124,Procr,-0.003425067570285812,0.037714203365057784,1.5583071109409272,0.015151515151515152,6,6,0.040289256198347105
temporal_bytimepoint,Fibroblast_10_days,scaled,20343,Sell,-0.006314444021553099,0.0,,1.0,6,6,1.0
temporal_bytimepoint,Fibroblast_10_days,scaled,231712,Trafd1,-0.009145904760869485,0.1301059902492468,1.4464075857938952,0.06493506493506493,6,6,0.14069264069264067
temporal_bytimepoint,Fibroblast_20_days,scaled,16149,Cd74,0.02235368123159861,0.0,0.0,1.0,6,6,1.0
temporal_bytimepoint,Fibroblast_20_days,scaled,19039,Lgals3bp,-0.0043739911456854574,-0.18685837498656993,-1.8081741128614555,0.0021645021645021645,6,6,0.006844506844506844
temporal_bytimepoint,Fibroblast_20_days,scaled,229003,Helz2,-0.008570792005017234,-0.36418336155818437,-1.7070731713579763,0.06493506493506493,6,6,0.14069264069264067
temporal_bytimepoint,Fibroblast_20_days,scaled,57444,Isg20,-0.004829426229828328,0.0,,1.0,6,6,1.0
temporal_bytimepoint,Fibroblast_20_days,scaled,15945,Cxcl10,-0.002366988906438771,-0.47298217711171325,-4.452621022432665,0.0021645021645021645,6,6,0.006844506844506844
temporal_bytimepoint,Fibroblast_20_days,scaled,67138,Herc6,-0.005476338381857375,-0.29121856499995963,-1.8244999973594047,0.015151515151515152,6,6,0.040289256198347105
temporal_bytimepoint,Fibroblast_20_days,scaled,67168,Lpar6,-0.0024642344044495668,0.05111231676171976,1.3911260633601752,0.06493506493506493,6,6,0.14069264069264067
temporal_bytimepoint,Fibroblast_20_days,scaled,24110,Usp18,0.0028095706115958876,0.1011586142346592,1.436525283710698,0.06493506493506493,6,6,0.14069264069264067
temporal_bytimepoint,Fibroblast_20_days,scaled,100038882,Isg15,-0.009095807097917064,-0.5413207993446807,-1.5799518370235106,0.025974025974025976,6,6,0.06465874550980935
temporal_bytimepoint,Fibroblast_20_days,scaled,54123,Irf7,0.0020664127570795532,0.10418041267572382,2.239166212563401,0.0021645021645021645,6,6,0.006844506844506844
temporal_bytimepoint,Fibroblast_20_days,scaled,19124,Procr,-0.003425067570285812,-0.04657480110722007,-1.9518624744164648,0.025974025974025976,6,6,0.06465874550980935
temporal_bytimepoint,Fibroblast_20_days,scaled,20343,Sell,-0.006314444021553099,0.0,,1.0,6,6,1.0
