"label","pathway","cohens_d","wilcox_p","n_test","n_control","model","p_adj"
"CICQ","HALLMARK_TGF_BETA_SIGNALING",0.139771773588834,0.680938470910619,19,91,"scaled",0.752418199901236
"CICQ","HALLMARK_TNFA_SIGNALING_VIA_NFKB",-1.57492620567275,8.20544181356782e-06,19,91,"scaled",4.4353739532799e-05
"CICQ","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",-0.342776058285998,0.0609242420572386,19,91,"scaled",0.0916154015898324
"CICQ","HALLMARK_UV_RESPONSE_DN",0.168950759747718,0.527002083449158,19,91,"scaled",0.60850518599015
"CICQ","HALLMARK_UV_RESPONSE_UP",0.0259070823626766,0.471789808336748,19,91,"scaled",0.556684139630382
"CICQ","HALLMARK_WNT_BETA_CATENIN_SIGNALING",-0.0345266130823136,0.90558399835036,19,91,"scaled",0.93359175087666
"CICQ","HALLMARK_XENOBIOTIC_METABOLISM",-0.345613722633964,0.125022694836035,19,91,"scaled",0.174856915854594
"SSCQ","HALLMARK_ADIPOGENESIS",0.879615377027592,0.000220359147940385,22,91,"scaled",0.000591568182390297
"SSCQ","HALLMARK_ALLOGRAFT_REJECTION",0.0417937104528623,0.991321814715267,22,91,"scaled",0.991321814715267
"SSCQ","HALLMARK_ANDROGEN_RESPONSE",-1.38833201743026,3.37550427914087e-07,22,91,"scaled",2.28847747738364e-06
"SSCQ","HALLMARK_ANGIOGENESIS",-0.550743106562933,0.00787127777736634,22,91,"scaled",0.0143767630636828
"SSCQ","HALLMARK_APICAL_JUNCTION",0.349279240656144,0.208365568455825,22,91,"scaled",0.272373292099117
"SSCQ","HALLMARK_APICAL_SURFACE",0.811488137748723,1.79440568575107e-05,22,91,"scaled",5.93191962231757e-05
"SSCQ","HALLMARK_APOPTOSIS",0.150315252147055,0.847620674153596,22,91,"scaled",0.88293820224333
"SSCQ","HALLMARK_BILE_ACID_METABOLISM",-0.198525727390444,0.4314291325739,22,91,"scaled",0.515139262774806
"SSCQ","HALLMARK_CHOLESTEROL_HOMEOSTASIS",-0.634334877588152,0.00108832904585474,22,91,"scaled",0.00256077422554056
"SSCQ","HALLMARK_COAGULATION",0.775558673551683,0.0132765525519305,22,91,"scaled",0.0236027600923209
"SSCQ","HALLMARK_COMPLEMENT",0.77536367335244,0.00298439267226835,22,91,"scaled",0.00618526978708467
"SSCQ","HALLMARK_DNA_REPAIR",1.32583558594451,1.37954436540966e-07,22,91,"scaled",1.00330499302521e-06
"SSCQ","HALLMARK_E2F_TARGETS",0.704652350988748,0.000756734443350338,22,91,"scaled",0.00183450774145536
"SSCQ","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-0.658658253857392,0.00188924446769628,22,91,"scaled",0.00412949610425416
"SSCQ","HALLMARK_ESTROGEN_RESPONSE_EARLY",0.382911458060987,0.213657811866898,22,91,"scaled",0.278381513833091
"SSCQ","HALLMARK_ESTROGEN_RESPONSE_LATE",-0.681626300917132,1.73673163347271e-05,22,91,"scaled",5.78910544490903e-05
"SSCQ","HALLMARK_FATTY_ACID_METABOLISM",-0.225277684468433,0.351454775097321,22,91,"scaled",0.432559723196703
"SSCQ","HALLMARK_G2M_CHECKPOINT",0.534956514556589,0.0309890325403064,22,91,"scaled",0.0499823105488813
"SSCQ","HALLMARK_GLYCOLYSIS",-0.0203213331841781,0.962407707787426,22,91,"scaled",0.972128997765077
"SSCQ","HALLMARK_HEDGEHOG_SIGNALING",-1.32473938927486,5.00468438070136e-06,22,91,"scaled",2.81954049616978e-05
"SSCQ","HALLMARK_HEME_METABOLISM",1.6578272383599,6.45473932081586e-08,22,91,"scaled",5.06254064377715e-07
"SSCQ","HALLMARK_HYPOXIA",0.653310031981716,0.0135486510655511,22,91,"scaled",0.023979913390356
"SSCQ","HALLMARK_IL2_STAT5_SIGNALING",0.632136435442134,0.00218686908252774,22,91,"scaled",0.00470445094941541
"SSCQ","HALLMARK_IL6_JAK_STAT3_SIGNALING",-0.558718234509507,0.010154351119538,22,91,"scaled",0.0183789160534625
"SSCQ","HALLMARK_INFLAMMATORY_RESPONSE",0.230633949377615,0.502392388486838,22,91,"scaled",0.584177195914928
"SSCQ","HALLMARK_INTERFERON_ALPHA_RESPONSE",-0.569781050435873,0.0449695032505707,22,91,"scaled",0.0702648488290168
"SSCQ","HALLMARK_INTERFERON_GAMMA_RESPONSE",-0.208559914561621,0.497783494245725,22,91,"scaled",0.580505532648076
"SSCQ","HALLMARK_KRAS_SIGNALING_DN",0.47646686463864,0.100510713692027,22,91,"scaled",0.145667701002938
"SSCQ","HALLMARK_KRAS_SIGNALING_UP",1.46378339846813,4.20776506859788e-06,22,91,"scaled",2.4392840977379e-05
"SSCQ","HALLMARK_MITOTIC_SPINDLE",0.878473632266106,0.000386063202014064,22,91,"scaled",0.00100931556082108
"SSCQ","HALLMARK_MTORC1_SIGNALING",0.499235174951795,0.0209165499939974,22,91,"scaled",0.0350067782326316
"SSCQ","HALLMARK_MYC_TARGETS_V1",-0.128582348799611,0.256457838962313,22,91,"scaled",0.326697884028424
"SSCQ","HALLMARK_MYC_TARGETS_V2",0.318247292463927,0.0182628511930427,22,91,"scaled",0.0308471182960654
"SSCQ","HALLMARK_MYOGENESIS",0.885988026908144,0.00111653462262962,22,91,"scaled",0.0026073607111537
"SSCQ","HALLMARK_NOTCH_SIGNALING",-0.383135614111596,0.0786793157375778,22,91,"scaled",0.116131831346978
"SSCQ","HALLMARK_OXIDATIVE_PHOSPHORYLATION",-0.518090681197855,0.0715599202630601,22,91,"scaled",0.106408803365145
"SSCQ","HALLMARK_P53_PATHWAY",1.00593535310447,8.61940660386029e-05,22,91,"scaled",0.000255389825299564
"SSCQ","HALLMARK_PANCREAS_BETA_CELLS",0.263380200697258,0.105097163050729,22,91,"scaled",0.150138804358185
"SSCQ","HALLMARK_PEROXISOME",-0.147073419487124,0.589052376412296,22,91,"scaled",0.665595905550617
"SSCQ","HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.410415241769643,0.121593906330036,22,91,"scaled",0.170658114147419
"SSCQ","HALLMARK_PROTEIN_SECRETION",0.551019448770242,0.0762447481010344,22,91,"scaled",0.112955182371903
"SSCQ","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",-0.903310529125082,0.000493662625617477,22,91,"scaled",0.00122649099532292
"SSCQ","HALLMARK_SPERMATOGENESIS",0.193719778568717,0.394209265592464,22,91,"scaled",0.474950922400559
"SSCQ","HALLMARK_TGF_BETA_SIGNALING",0.140360696084678,0.830618359964177,22,91,"scaled",0.874335115751765
"SSCQ","HALLMARK_TNFA_SIGNALING_VIA_NFKB",-0.320286645868851,0.298089889103476,22,91,"scaled",0.37378042520812
"SSCQ","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.556282134751981,0.0209165499939974,22,91,"scaled",0.0350067782326316
"SSCQ","HALLMARK_UV_RESPONSE_DN",-0.205846024546841,0.378310649898652,22,91,"scaled",0.46106876190373
"SSCQ","HALLMARK_UV_RESPONSE_UP",0.604794721163087,0.00530243132245611,22,91,"scaled",0.0102462441013645
"SSCQ","HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.612009884610442,0.0110370427811455,22,91,"scaled",0.0198865635696315
"SSCQ","HALLMARK_XENOBIOTIC_METABOLISM",-1.17341766345212,9.71962034242883e-05,22,91,"scaled",0.000283784535545367
"RS","HALLMARK_ADIPOGENESIS",0.141078692525883,0.795696683445894,11,91,"scaled",0.85329403050498
"RS","HALLMARK_ALLOGRAFT_REJECTION",0.172862837111855,0.443692515385304,11,91,"scaled",0.528205375458696
"RS","HALLMARK_ANDROGEN_RESPONSE",-1.72661701286207,1.67324669869535e-05,11,91,"scaled",5.62435865107682e-05
"RS","HALLMARK_ANGIOGENESIS",0.264759810049565,0.20300912212567,11,91,"scaled",0.266241471640223
"RS","HALLMARK_APICAL_JUNCTION",0.755404170484572,0.0181448777593849,11,91,"scaled",0.0308471182960654
"RS","HALLMARK_APICAL_SURFACE",1.09921460301997,0.00470527888722616,11,91,"scaled",0.00922603703377679
"RS","HALLMARK_APOPTOSIS",1.46956035310268,7.76975299210392e-07,11,91,"scaled",4.85609562006495e-06
"RS","HALLMARK_BILE_ACID_METABOLISM",1.17456795435292,0.000419044463584761,11,91,"scaled",0.00108140506731551
"RS","HALLMARK_CHOLESTEROL_HOMEOSTASIS",-1.23384701072222,8.99666152832804e-05,11,91,"scaled",0.000264607692009648
"RS","HALLMARK_COAGULATION",0.983035226551558,0.000341324178574576,11,91,"scaled",0.000898221522564673
"RS","HALLMARK_COMPLEMENT",0.644455297466927,0.0414502382581354,11,91,"scaled",0.0652759657608432
"RS","HALLMARK_DNA_REPAIR",-0.631394123568378,0.0383248919840626,11,91,"scaled",0.0608331618794644
"RS","HALLMARK_E2F_TARGETS",1.14595190380945,9.83634028801639e-05,11,91,"scaled",0.000285111312696127
"RS","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.0254614098615785,0.914088116778618,11,91,"scaled",0.934216263127424
"RS","HALLMARK_ESTROGEN_RESPONSE_EARLY",0.205282595177567,0.697734435462422,11,91,"scaled",0.768853372410382
"RS","HALLMARK_ESTROGEN_RESPONSE_LATE",0.131010145654784,0.965579256276188,11,91,"scaled",0.972442251711481
"RS","HALLMARK_FATTY_ACID_METABOLISM",-0.330474899094182,0.347943174115173,11,91,"scaled",0.429559474216263
"RS","HALLMARK_G2M_CHECKPOINT",0.663788285420915,0.00613942327050099,11,91,"scaled",0.0115838174915113
"RS","HALLMARK_GLYCOLYSIS",-0.00742700581005985,0.738048459684764,11,91,"scaled",0.804412490119634
"RS","HALLMARK_HEDGEHOG_SIGNALING",-0.868933505830794,0.00397058705257081,11,91,"scaled",0.0078625486189521
"RS","HALLMARK_HEME_METABOLISM",1.5471912104639,0.000419044463584761,11,91,"scaled",0.00108140506731551
"RS","HALLMARK_HYPOXIA",0.700371741730883,0.0354021822422226,11,91,"scaled",0.0564178203063308
"RS","HALLMARK_IL2_STAT5_SIGNALING",-0.913351184268861,0.00397058705257081,11,91,"scaled",0.0078625486189521
"RS","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.0419121249630005,0.829169394135687,11,91,"scaled",0.874335115751765
"RS","HALLMARK_INFLAMMATORY_RESPONSE",0.885705635980858,0.0021072897339276,11,91,"scaled",0.00458106463897304
"RS","HALLMARK_INTERFERON_ALPHA_RESPONSE",-1.69958306564227,3.95041328734284e-05,11,91,"scaled",0.000124422465743082
"RS","HALLMARK_INTERFERON_GAMMA_RESPONSE",0.572751565660555,0.112764889309276,11,91,"scaled",0.160203823477765
"RS","HALLMARK_KRAS_SIGNALING_DN",0.465886683827857,0.120298429579756,11,91,"scaled",0.169434407858811
"RS","HALLMARK_KRAS_SIGNALING_UP",0.55668033948794,0.320939992138993,11,91,"scaled",0.398683220048439
"RS","HALLMARK_MITOTIC_SPINDLE",2.45091384320258,3.34507404220474e-07,11,91,"scaled",2.28847747738364e-06
"RS","HALLMARK_MTORC1_SIGNALING",0.601710646351182,0.305413621876563,11,91,"scaled",0.381767027345704
"RS","HALLMARK_MYC_TARGETS_V1",-2.33644929560828,5.25988033126247e-07,11,91,"scaled",3.39347118145966e-06
"RS","HALLMARK_MYC_TARGETS_V2",-1.08786539825679,0.000166460009206138,11,91,"scaled",0.000459200025396244
"RS","HALLMARK_MYOGENESIS",0.5321463192132,0.142317465652875,11,91,"scaled",0.194290055498805
"RS","HALLMARK_NOTCH_SIGNALING",0.227171537650248,0.524442391667546,11,91,"scaled",0.608049149759474
"RS","HALLMARK_OXIDATIVE_PHOSPHORYLATION",-0.600431719076856,0.0436515776172803,11,91,"scaled",0.0684730629290671
"RS","HALLMARK_P53_PATHWAY",0.167811407629834,0.888463627781252,11,91,"scaled",0.918308659205428
"RS","HALLMARK_PANCREAS_BETA_CELLS",1.37795190189493,0.00011235726043668,11,91,"scaled",0.000314286043179523
"RS","HALLMARK_PEROXISOME",0.449367136844357,0.0619876165546041,11,91,"scaled",0.0928653431529649
"RS","HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.94624093072399,0.00290529813251128,11,91,"scaled",0.00605270444273183
"RS","HALLMARK_PROTEIN_SECRETION",1.94520688284084,5.56322985900692e-07,11,91,"scaled",3.53220943429011e-06
"RS","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",-1.44184050947517,2.34698278104088e-05,11,91,"scaled",7.69502551160946e-05
"RS","HALLMARK_SPERMATOGENESIS",-0.616481819192748,0.025536538526501,11,91,"scaled",0.041692307798369
"RS","HALLMARK_TGF_BETA_SIGNALING",0.32790922394108,0.388100141500992,11,91,"scaled",0.470424413940596
"RS","HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.138128493081287,0.721828954083545,11,91,"scaled",0.791196608288231
"RS","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",2.19901878771698,2.55463544096557e-06,11,91,"scaled",1.50272672997975e-05
"RS","HALLMARK_UV_RESPONSE_DN",0.0883975585013176,0.846026897260918,11,91,"scaled",0.88293820224333
"RS","HALLMARK_UV_RESPONSE_UP",-0.0340535298945446,0.846026897260918,11,91,"scaled",0.88293820224333
"RS","HALLMARK_WNT_BETA_CATENIN_SIGNALING",1.38210197311629,0.00011235726043668,11,91,"scaled",0.000314286043179523
"RS","HALLMARK_XENOBIOTIC_METABOLISM",-0.38986288688892,0.17064935992765,11,91,"scaled",0.229059543527047
"SIPS","HALLMARK_ADIPOGENESIS",0.705630127391528,0.000728830561107952,39,91,"scaled",0.00177763551489744
"SIPS","HALLMARK_ALLOGRAFT_REJECTION",0.871701516433335,3.31422795241121e-05,39,91,"scaled",0.000105213585790832
