external_id,mortality_tAge,study,group,condition,immortalised,cell_line
SRR5169360,1.4857474579200125,SRP096629,Stress-induced CS,SIPS,no,HDF161
SRR1567487,0.21046090988738492,SRP046254,Proliferating,Proliferating,no,IMR90 ER:RAS
SRR1567488,0.699399162492982,SRP046254,Oncogene-induced CS,OIS,no,IMR90 ER:RAS
SRR1567491,0.2685284494741971,SRP046254,Proliferating,Proliferating,no,IMR90 ER:RAS
SRR1567495,0.13936779899286267,SRP046254,Proliferating,Proliferating,no,IMR90 ER:RAS
SRR1567496,0.526959163280706,SRP046254,Oncogene-induced CS,OIS,no,IMR90 ER:RAS
SRR1567492,0.5125384048701511,SRP046254,Oncogene-induced CS,OIS,no,IMR90 ER:RAS
SRR2970873,0.2524198915367126,SRP066947,Proliferating,Proliferating,yes,Tig3ET
SRR2970874,0.48798637631368225,SRP066947,Oncogene-induced CS,OIS,yes,Tig3ET
SRR2970876,0.6233283955367761,SRP066947,Proliferating,Proliferating,yes,Tig3ET
SRR2970877,1.3191060240841619,SRP066947,Oncogene-induced CS,OIS,yes,Tig3ET
SRR2970879,0.5653637790047317,SRP066947,Proliferating,Proliferating,yes,Tig3ET
SRR2970880,0.4916035371255245,SRP066947,Oncogene-induced CS,OIS,yes,Tig3ET
SRR2970882,0.6179566913632404,SRP066947,Proliferating,Proliferating,yes,Tig3ET
SRR2970883,1.2708512476601312,SRP066947,Oncogene-induced CS,OIS,yes,Tig3ET
SRR2970885,0.45405290178838387,SRP066947,Proliferating,Proliferating,yes,Tig3ET
SRR2970886,0.6329025550323708,SRP066947,Oncogene-induced CS,OIS,yes,Tig3ET
SRR2970888,0.6496765509372076,SRP066947,Proliferating,Proliferating,yes,Tig3ET
SRR2970889,1.346796125347311,SRP066947,Oncogene-induced CS,OIS,yes,Tig3ET
SRR2970891,0.09362898557117753,SRP066947,Proliferating,Proliferating,yes,Tig3ET
SRR2970892,0.7515459563706675,SRP066947,Serum_starved CQ,SSCQ,yes,Tig3ET
SRR2970893,0.350237925162465,SRP066947,Proliferating,Proliferating,yes,Tig3ET
SRR2970894,0.6995365288277539,SRP066947,Serum_starved CQ,SSCQ,yes,Tig3ET
SRR2970895,0.29469951215231405,SRP066947,Proliferating,Proliferating,yes,Tig3ET
SRR2970896,0.39002962161609644,SRP066947,Serum_starved CQ,SSCQ,yes,Tig3ET
SRR6389404,-0.13528634204102058,SRP127037,Proliferating,Proliferating,yes,IMR90-hTERT
SRR6389405,0.015654268983952307,SRP127037,Proliferating,Proliferating,yes,IMR90-hTERT
SRR6389408,0.10555094752195308,SRP127037,Oncogene-induced CS,OIS,yes,IMR90-hTERT
SRR6389409,0.10779254901582652,SRP127037,Oncogene-induced CS,OIS,yes,IMR90-hTERT
SRR6389412,1.0429271344526623,SRP127037,Oncogene-induced CS,OIS,yes,IMR90-hTERT
SRR6389413,1.033988075579884,SRP127037,Oncogene-induced CS,OIS,yes,IMR90-hTERT
ERR1805205,0.8975693287650794,ERP021140,Serum_starved CQ,SSCQ,no,HCA2/BJ (primary)
ERR1805212,1.887631122880259,ERP021140,Stress-induced CS,SIPS,no,HCA2/BJ (primary)
ERR1805188,0.879178581506694,ERP021140,Proliferating,Proliferating,no,HCA2/BJ (primary)
ERR1805189,0.9926361903637168,ERP021140,Proliferating,Proliferating,no,HCA2/BJ (primary)
ERR1805190,0.9549100896999132,ERP021140,Proliferating,Proliferating,no,HCA2/BJ (primary)
ERR1805191,0.8596000073106659,ERP021140,Serum_starved CQ,SSCQ,no,HCA2/BJ (primary)
ERR1805192,1.2594122344944203,ERP021140,Stress-induced CS,SIPS,no,HCA2/BJ (primary)
ERR1805193,1.3512968942919172,ERP021140,Stress-induced CS,SIPS,no,HCA2/BJ (primary)
ERR1805194,1.2394826307463298,ERP021140,Stress-induced CS,SIPS,no,HCA2/BJ (primary)
ERR1805195,1.3378582611765824,ERP021140,Stress-induced CS,SIPS,no,HCA2/BJ (primary)
ERR1805196,0.84014843885659,ERP021140,Serum_starved CQ,SSCQ,no,HCA2/BJ (primary)
ERR1805197,1.2917955231039318,ERP021140,Stress-induced CS,SIPS,no,HCA2/BJ (primary)
ERR1805198,1.4263456520713744,ERP021140,Stress-induced CS,SIPS,no,HCA2/BJ (primary)
ERR1805199,1.6235850993968661,ERP021140,Stress-induced CS,SIPS,no,HCA2/BJ (primary)
ERR1805200,1.604287703878174,ERP021140,Stress-induced CS,SIPS,no,HCA2/BJ (primary)
ERR1805201,1.5367929677747065,ERP021140,Stress-induced CS,SIPS,no,HCA2/BJ (primary)
ERR1805202,1.516420868871244,ERP021140,Stress-induced CS,SIPS,no,HCA2/BJ (primary)
ERR1805203,1.6214416842739012,ERP021140,Stress-induced CS,SIPS,no,HCA2/BJ (primary)
ERR1805204,1.6310609614422777,ERP021140,Stress-induced CS,SIPS,no,HCA2/BJ (primary)
ERR1805206,0.8007085443577222,ERP021140,Serum_starved CQ,SSCQ,no,HCA2/BJ (primary)
ERR1805207,0.5602862971386896,ERP021140,Serum_starved CQ,SSCQ,no,HCA2/BJ (primary)
ERR1805208,0.9400470905666949,ERP021140,Serum_starved CQ,SSCQ,no,HCA2/BJ (primary)
ERR1805209,1.046829187691286,ERP021140,Proliferating,Proliferating,no,HCA2/BJ (primary)
ERR1805210,1.0602150740340996,ERP021140,Proliferating,Proliferating,no,HCA2/BJ (primary)
ERR1805211,0.9122439072922629,ERP021140,Proliferating,Proliferating,no,HCA2/BJ (primary)
ERR1805213,1.7610402109137229,ERP021140,Stress-induced CS,SIPS,no,HCA2/BJ (primary)
ERR1805214,1.7204982897866758,ERP021140,Stress-induced CS,SIPS,no,HCA2/BJ (primary)
ERR1805215,1.4988086574454387,ERP021140,Stress-induced CS,SIPS,no,HCA2/BJ (primary)
ERR1805216,1.3736163086457969,ERP021140,Stress-induced CS,SIPS,no,HCA2/BJ (primary)
ERR1805217,1.6111740665018983,ERP021140,Stress-induced CS,SIPS,no,HCA2/BJ (primary)
SRR2184428,-0.6413498430209039,SRP062872,Proliferating,Proliferating,no,IMR90
SRR2184429,-0.5943921146104484,SRP062872,Proliferating,Proliferating,no,IMR90
SRR2184430,-0.7733868624623493,SRP062872,Proliferating,Proliferating,no,IMR90
SRR2184431,-0.8609159451570663,SRP062872,Proliferating,Proliferating,no,IMR90
SRR2184432,-0.7819533227886332,SRP062872,Proliferating,Proliferating,no,IMR90
SRR2184433,-0.6307576962814606,SRP062872,Proliferating,Proliferating,no,IMR90
SRR2184434,-0.5780696721326386,SRP062872,Proliferating,Proliferating,no,IMR90
