external_id,study,series,geo,condition,cell_line_curated,cell_line_resolved,line_token_sample,title,immortalised_curated,immortalised_VERIFIED,CHANGED_vs_curated,immortalisation_term_in_sample_record,matched_term,sample_record_agrees,evidence_level,tissue,characteristics
SRR1567495,SRP046254,GSE61130,GSM1498127,Proliferating,IMR-90,IMR90 ER:RAS,IRM90,EV - 4OHT Rep3,no,no,,False,,yes,GEO per-sample record,Lung,cell line: IRM90 | days after 4oht induction: 7 | passage: p15 | cell type: Non-senescent cells
SRR1567496,SRP046254,GSE61130,GSM1498128,Oncogene-induced CS,IMR-90,IMR90 ER:RAS,IRM90,EV + 4OHT Rep3,no,no,,False,,yes,GEO per-sample record,Lung,cell line: IRM90 | days after 4oht induction: 7 | passage: p15 | cell type: senescent cells
SRR1768044,SRP052706,GSE65145,GSM1588051,Proliferating,Primary,foreskin 2DD,proliferative fibroblast,proliferative fibroblast 1,no,no,,False,,yes,GEO per-sample record,Foreskin,cell type: proliferative fibroblast | source: foreskin 2DD
SRR1768045,SRP052706,GSE65145,GSM1588052,Proliferating,Primary,foreskin 2DD,proliferative fibroblast,proliferative fibroblast 2,no,no,,False,,yes,GEO per-sample record,Foreskin,cell type: proliferative fibroblast | source: foreskin 2DD
SRR1768046,SRP052706,GSE65145,GSM1588053,Serum_starved CQ,Primary,foreskin 2DD,queiscent fibroblast,queiscent fibroblast 1,no,no,,False,,yes,GEO per-sample record,Foreskin,cell type: queiscent fibroblast | source: foreskin 2DD
SRR1768047,SRP052706,GSE65145,GSM1588054,Serum_starved CQ,Primary,foreskin 2DD,queiscent fibroblast,queiscent fibroblast 2,no,no,,False,,yes,GEO per-sample record,Foreskin,cell type: queiscent fibroblast | source: foreskin 2DD
SRR2095296,SRP060598,GSE70668,GSM1816172,Proliferating,IMR-90,IMR90,IMR90,DD1_ERRAS_uninduced,no,no,,False,,yes,GEO per-sample record,Lung,cell line: IMR90
SRR2095297,SRP060598,GSE70668,GSM1816173,Proliferating,IMR-90,IMR90,IMR90,DD2_ERRAS_uninduced,no,no,,False,,yes,GEO per-sample record,Lung,cell line: IMR90
SRR2095298,SRP060598,GSE70668,GSM1816174,Proliferating,IMR-90,IMR90,IMR90,DD3_ERRAS_uninduced,no,no,,False,,yes,GEO per-sample record,Lung,cell line: IMR90
SRR2095299,SRP060598,GSE70668,GSM1816175,Oncogene-induced CS,IMR-90,IMR90,IMR90,DD4_ERRAS_4days-induced,no,no,,False,,yes,GEO per-sample record,Lung,cell line: IMR90
SRR2095300,SRP060598,GSE70668,GSM1816176,Oncogene-induced CS,IMR-90,IMR90,IMR90,DD5_ERRAS_4days-induced,no,no,,False,,yes,GEO per-sample record,Lung,cell line: IMR90
SRR2095301,SRP060598,GSE70668,GSM1816177,Oncogene-induced CS,IMR-90,IMR90,IMR90,DD6_ERRAS_4days-induced,no,no,,False,,yes,GEO per-sample record,Lung,cell line: IMR90
SRR2184428,SRP062872,"GSE72407,GSE72409",GSM1861966,Proliferating,IMR-90,IMR90,IMR90 cells,Control rep 1,no,no,,False,,yes,GEO per-sample record,Lung,sample group: Control
SRR2184429,SRP062872,"GSE72407,GSE72409",GSM1861967,Proliferating,IMR-90,IMR90,IMR90 cells,Control rep 2,no,no,,False,,yes,GEO per-sample record,Lung,sample group: Control
SRR2184430,SRP062872,"GSE72407,GSE72409",GSM1861968,Proliferating,IMR-90,IMR90,IMR90 cells,Control rep 3,no,no,,False,,yes,GEO per-sample record,Lung,sample group: Control
SRR2184431,SRP062872,"GSE72407,GSE72409",GSM1861969,Proliferating,IMR-90,IMR90,IMR90 cells,Control rep 4,no,no,,False,,yes,GEO per-sample record,Lung,sample group: Control
SRR2184432,SRP062872,"GSE72407,GSE72409",GSM1861970,Proliferating,IMR-90,IMR90,IMR90 cells,Control rep 5,no,no,,False,,yes,GEO per-sample record,Lung,sample group: Control
SRR2184433,SRP062872,"GSE72407,GSE72409",GSM1861971,Proliferating,IMR-90,IMR90,IMR90 cells,Control rep 6,no,no,,False,,yes,GEO per-sample record,Lung,sample group: Control
SRR2184434,SRP062872,"GSE72407,GSE72409",GSM1861972,Proliferating,IMR-90,IMR90,IMR90 cells,Control rep 7,no,no,,False,,yes,GEO per-sample record,Lung,sample group: Control
SRR2184435,SRP062872,"GSE72407,GSE72409",GSM1861973,Proliferating,IMR-90,IMR90,IMR90 cells,Control rep 8,no,no,,False,,yes,GEO per-sample record,Lung,sample group: Control
SRR2184436,SRP062872,"GSE72407,GSE72409",GSM1861974,Oncogene-induced CS,IMR-90,IMR90,IMR90 cells,RIS rep 1,no,no,,False,,yes,GEO per-sample record,Lung,sample group: RIS
SRR2184437,SRP062872,"GSE72407,GSE72409",GSM1861975,Oncogene-induced CS,IMR-90,IMR90,IMR90 cells,RIS rep 2,no,no,,False,,yes,GEO per-sample record,Lung,sample group: RIS
SRR2184438,SRP062872,"GSE72407,GSE72409",GSM1861976,Oncogene-induced CS,IMR-90,IMR90,IMR90 cells,RIS rep 3,no,no,,False,,yes,GEO per-sample record,Lung,sample group: RIS
SRR2184439,SRP062872,"GSE72407,GSE72409",GSM1861977,Oncogene-induced CS,IMR-90,IMR90,IMR90 cells,RIS rep 4,no,no,,False,,yes,GEO per-sample record,Lung,sample group: RIS
SRR2184440,SRP062872,"GSE72407,GSE72409",GSM1861978,Oncogene-induced CS,IMR-90,IMR90,IMR90 cells,RIS rep 5,no,no,,False,,yes,GEO per-sample record,Lung,sample group: RIS
SRR2184441,SRP062872,"GSE72407,GSE72409",GSM1861979,Oncogene-induced CS,IMR-90,IMR90,IMR90 cells,RIS rep 6,no,no,,False,,yes,GEO per-sample record,Lung,sample group: RIS
SRR2184442,SRP062872,"GSE72407,GSE72409",GSM1861980,Oncogene-induced CS,IMR-90,IMR90,IMR90 cells,RIS rep 7,no,no,,False,,yes,GEO per-sample record,Lung,sample group: RIS
SRR2184443,SRP062872,"GSE72407,GSE72409",GSM1861981,Oncogene-induced CS,IMR-90,IMR90,IMR90 cells,RIS rep 8,no,no,,False,,yes,GEO per-sample record,Lung,sample group: RIS
SRR2184444,SRP062872,"GSE72407,GSE72409",GSM1861982,Stress-induced CS,IMR-90,IMR90,IMR90 cells,DDIS rep 1,no,no,,False,,yes,GEO per-sample record,Lung,sample group: DDIS
SRR2184445,SRP062872,"GSE72407,GSE72409",GSM1861983,Stress-induced CS,IMR-90,IMR90,IMR90 cells,DDIS rep 2,no,no,,False,,yes,GEO per-sample record,Lung,sample group: DDIS
SRR2184446,SRP062872,"GSE72407,GSE72409",GSM1861984,Stress-induced CS,IMR-90,IMR90,IMR90 cells,DDIS rep 3,no,no,,False,,yes,GEO per-sample record,Lung,sample group: DDIS
SRR2184447,SRP062872,"GSE72407,GSE72409",GSM1861985,Stress-induced CS,IMR-90,IMR90,IMR90 cells,DDIS rep 4,no,no,,False,,yes,GEO per-sample record,Lung,sample group: DDIS
SRR2184448,SRP062872,"GSE72407,GSE72409",GSM1861986,Stress-induced CS,IMR-90,IMR90,IMR90 cells,DDIS rep 5,no,no,,False,,yes,GEO per-sample record,Lung,sample group: DDIS
SRR2184449,SRP062872,"GSE72407,GSE72409",GSM1861987,Stress-induced CS,IMR-90,IMR90,IMR90 cells,DDIS rep 6,no,no,,False,,yes,GEO per-sample record,Lung,sample group: DDIS
SRR2184450,SRP062872,"GSE72407,GSE72409",GSM1861988,Stress-induced CS,IMR-90,IMR90,IMR90 cells,DDIS rep 7,no,no,,False,,yes,GEO per-sample record,Lung,sample group: DDIS
SRR2184451,SRP062872,"GSE72407,GSE72409",GSM1861989,Stress-induced CS,IMR-90,IMR90,IMR90 cells,DDIS rep 8,no,no,,False,,yes,GEO per-sample record,Lung,sample group: DDIS
SRR2518251,SRP064207,GSE73458,GSM1894186,Proliferating,WI-38,WI-38,WI-38,Young whole cells,no,no,,False,,yes,GEO per-sample record,Lung,cellular fraction: Whole cells | cell line: WI-38
SRR2518252,SRP064207,GSE73458,GSM1894187,Replicative CS,WI-38,WI-38,WI-38,Senescent whole cells,no,no,,False,,yes,GEO per-sample record,Lung,cellular fraction: Whole cells | cell line: WI-38
SRR2932856,SRP065206,"GSE74324,GSE74328",GSM1917083,Proliferating,IMR-90,IMR90,IMR90,Proliferating IMR90 shRen_1,no,no,,False,,yes,GEO per-sample record,Lung,cell type: fetal lung fibroblasts | cell line: IMR90 | cell condition: proliferating | viral transduction: cotransduced with pWZL-Hygro and shRen | treatment: no treatment
SRR2932857,SRP065206,"GSE74324,GSE74328",GSM1917084,Proliferating,IMR-90,IMR90,IMR90,Proliferating IMR90 shRen_2,no,no,,False,,yes,GEO per-sample record,Lung,cell type: fetal lung fibroblasts | cell line: IMR90 | cell condition: proliferating | viral transduction: cotransduced with pWZL-Hygro and shRen | treatment: no treatment
SRR2932858,SRP065206,"GSE74324,GSE74328",GSM1917085,Proliferating,IMR-90,IMR90,IMR90,Proliferating IMR90 shRen_3,no,no,,False,,yes,GEO per-sample record,Lung,cell type: fetal lung fibroblasts | cell line: IMR90 | cell condition: proliferating | viral transduction: cotransduced with pWZL-Hygro and shRen | treatment: no treatment
SRR2932859,SRP065206,"GSE74324,GSE74328",GSM1917086,Serum_starved CQ,IMR-90,IMR90,IMR90,Quiescent IMR90 shRen_1,no,no,,False,,yes,GEO per-sample record,Lung,cell type: fetal lung fibroblasts | cell line: IMR90 | cell condition: quiescent | viral transduction: cotransduced with pWZL-Hygro and shRen | treatment: no treatment
SRR2932860,SRP065206,"GSE74324,GSE74328",GSM1917087,Serum_starved CQ,IMR-90,IMR90,IMR90,Quiescent IMR90 shRen_2,no,no,,False,,yes,GEO per-sample record,Lung,cell type: fetal lung fibroblasts | cell line: IMR90 | cell condition: quiescent | viral transduction: cotransduced with pWZL-Hygro and shRen | treatment: no treatment
SRR2932861,SRP065206,"GSE74324,GSE74328",GSM1917088,Serum_starved CQ,IMR-90,IMR90,IMR90,Quiescent IMR90 shRen_3,no,no,,False,,yes,GEO per-sample record,Lung,cell type: fetal lung fibroblasts | cell line: IMR90 | cell condition: quiescent | viral transduction: cotransduced with pWZL-Hygro and shRen | treatment: no treatment
SRR2932862,SRP065206,"GSE74324,GSE74328",GSM1917089,Oncogene-induced CS,IMR-90,IMR90,IMR90,Senescent IMR90 shRen_1,no,no,,False,,yes,GEO per-sample record,Lung,cell type: fetal lung fibroblasts | cell line: IMR90 | cell condition: senescent | viral transduction: cotransduced with pWZL HRASV12 and shRen | treatment: no treatment
SRR2932863,SRP065206,"GSE74324,GSE74328",GSM1917090,Oncogene-induced CS,IMR-90,IMR90,IMR90,Senescent IMR90 shRen_2,no,no,,False,,yes,GEO per-sample record,Lung,cell type: fetal lung fibroblasts | cell line: IMR90 | cell condition: senescent | viral transduction: cotransduced with pWZL HRASV12 and shRen | treatment: no treatment
SRR2932864,SRP065206,"GSE74324,GSE74328",GSM1917091,Oncogene-induced CS,IMR-90,IMR90,IMR90,Senescent IMR90 shRen_3,no,no,,False,,yes,GEO per-sample record,Lung,cell type: fetal lung fibroblasts | cell line: IMR90 | cell condition: senescent | viral transduction: cotransduced with pWZL HRASV12 and shRen | treatment: no treatment
SRR2932910,SRP065206,"GSE74324,GSE74328",GSM1917137,Proliferating,IMR-90,IMR90,IMR90,Proliferating IMR90 DMSO_1,no,no,,False,,yes,GEO per-sample record,Lung,cell type: fetal lung fibroblasts | cell line: IMR90 | cell condition: proliferating | viral transduction: cotransduced with pWZL-Hygro and shRen | treatment: DMSO 48h
SRR2932911,SRP065206,"GSE74324,GSE74328",GSM1917138,Proliferating,IMR-90,IMR90,IMR90,Proliferating IMR90 DMSO_2,no,no,,False,,yes,GEO per-sample record,Lung,cell type: fetal lung fibroblasts | cell line: IMR90 | cell condition: proliferating | viral transduction: cotransduced with pWZL-Hygro and shRen | treatment: DMSO 48h
SRR2932912,SRP065206,"GSE74324,GSE74328",GSM1917139,Proliferating,IMR-90,IMR90,IMR90,Proliferating IMR90 DMSO_3,no,no,,False,,yes,GEO per-sample record,Lung,cell type: fetal lung fibroblasts | cell line: IMR90 | cell condition: proliferating | viral transduction: cotransduced with pWZL-Hygro and shRen | treatment: DMSO 48h
SRR2932913,SRP065206,"GSE74324,GSE74328",GSM1917140,Serum_starved CQ,IMR-90,IMR90,IMR90,Quiescent IMR90 DMSO_1,no,no,,False,,yes,GEO per-sample record,Lung,cell type: fetal lung fibroblasts | cell line: IMR90 | cell condition: quiescent | viral transduction: cotransduced with pWZL-Hygro and shRen | treatment: DMSO 48h
SRR2932914,SRP065206,"GSE74324,GSE74328",GSM1917141,Serum_starved CQ,IMR-90,IMR90,IMR90,Quiescent IMR90 DMSO_2,no,no,,False,,yes,GEO per-sample record,Lung,cell type: fetal lung fibroblasts | cell line: IMR90 | cell condition: quiescent | viral transduction: cotransduced with pWZL-Hygro and shRen | treatment: DMSO 48h
SRR2932915,SRP065206,"GSE74324,GSE74328",GSM1917142,Serum_starved CQ,IMR-90,IMR90,IMR90,Quiescent IMR90 DMSO_3,no,no,,False,,yes,GEO per-sample record,Lung,cell type: fetal lung fibroblasts | cell line: IMR90 | cell condition: quiescent | viral transduction: cotransduced with pWZL-Hygro and shRen | treatment: DMSO 48h
SRR3151885,SRP069768,GSE77675,GSM2055960,Proliferating,WI-38,WI-38,WI-38,Young,no,no,,False,,yes,GEO per-sample record,Lung,passage: PDL20 | cell line: WI-38
SRR3151886,SRP069768,GSE77675,GSM2055961,Replicative CS,WI-38,WI-38,WI-38,Senescent,no,no,,False,,yes,GEO per-sample record,Lung,passage: PDL52 | cell line: WI-38
SRR3180966,SRP070636,"GSE78138,GSE78142",GSM2067916,Proliferating,IMR-90,IMR90,IMR90 Lung Fibroblasts,RNA WT Control,no,no,,False,,yes,GEO per-sample record,Lung,genotype/variation: WT | treatment: None
SRR3180967,SRP070636,"GSE78138,GSE78142",GSM2067917,Oncogene-induced CS,IMR-90,IMR90,IMR90 Lung Fibroblasts,RNA WT OIS,no,no,,False,,yes,GEO per-sample record,Lung,genotype/variation: WT | treatment: None
SRR5169351,SRP096629,GSE93535,GSM2454318,Contact_inhibited CQ,Primary,HDF161,HDF161,Q_1,no,no,,False,,yes,GEO per-sample record,Skin,cells type: human dermal fibroblasts | cell line: HDF161 | population doubling: 15
SRR5169352,SRP096629,GSE93535,GSM2454319,Contact_inhibited CQ,Primary,HDF161,HDF161,Q_2,no,no,,False,,yes,GEO per-sample record,Skin,cells type: human dermal fibroblasts | cell line: HDF161 | population doubling: 15
SRR5169354,SRP096629,GSE93535,GSM2454320,Contact_inhibited CQ,Primary,HDF161,HDF161,Q_3,no,no,,False,,yes,GEO per-sample record,Skin,cells type: human dermal fibroblasts | cell line: HDF161 | population doubling: 15
SRR5169358,SRP096629,GSE93535,GSM2454324,Stress-induced CS,Primary,HDF161,HDF161,SIPS_1,no,no,,False,,yes,GEO per-sample record,Skin,cells type: human dermal fibroblasts | cell line: HDF161 | population doubling: 15
SRR5169359,SRP096629,GSE93535,GSM2454325,Stress-induced CS,Primary,HDF161,HDF161,SIPS_2,no,no,,False,,yes,GEO per-sample record,Skin,cells type: human dermal fibroblasts | cell line: HDF161 | population doubling: 15
SRR5169360,SRP096629,GSE93535,GSM2454326,Stress-induced CS,Primary,HDF161,HDF161,SIPS_3,no,no,,False,,yes,GEO per-sample record,Skin,cells type: human dermal fibroblasts | cell line: HDF161 | population doubling: 15
SRR5223435,SRP098713,GSE94395,GSM2474587,Proliferating,IMR-90,IMR90,IMR90,IMR90 1,no,no,,False,,yes,GEO per-sample record,Lung,cell type: Fibroblasts | population doublings: 35 | cell line: IMR90
SRR5223436,SRP098713,GSE94395,GSM2474588,Proliferating,IMR-90,IMR90,IMR90,IMR90 2,no,no,,False,,yes,GEO per-sample record,Lung,cell type: Fibroblasts | population doublings: 35 | cell line: IMR90
SRR5223437,SRP098713,GSE94395,GSM2474589,Proliferating,IMR-90,IMR90,IMR90,IMR90 3,no,no,,False,,yes,GEO per-sample record,Lung,cell type: Fibroblasts | population doublings: 35 | cell line: IMR90
SRR5223438,SRP098713,GSE94395,GSM2474590,Stress-induced CS,IMR-90,IMR90,IMR90,IMR90 senescent 1,no,no,,False,,yes,GEO per-sample record,Lung,cell type: Fibroblasts | population doublings: 35 | cell line: IMR90
SRR5223439,SRP098713,GSE94395,GSM2474591,Stress-induced CS,IMR-90,IMR90,IMR90,IMR90 senescent 2,no,no,,False,,yes,GEO per-sample record,Lung,cell type: Fibroblasts | population doublings: 35 | cell line: IMR90
SRR5223440,SRP098713,GSE94395,GSM2474592,Stress-induced CS,IMR-90,IMR90,IMR90,IMR90 senescent 3,no,no,,False,,yes,GEO per-sample record,Lung,cell type: Fibroblasts | population doublings: 35 | cell line: IMR90
SRR5859249,SRP113324,"GSE101750,GSE101763",GSM2714454,Proliferating,IMR-90,IMR90 ER:RAS,IMR90 ER:RAS,Vector Replicate 1,no,no,,False,,yes,GEO per-sample record,Lung,imr90 passage: 15 | days after 4oht induction: 6 | state: proliferating | transduction: empty pGIPz vector
SRR5859250,SRP113324,"GSE101750,GSE101763",GSM2714455,Oncogene-induced CS,IMR-90,IMR90 ER:RAS,IMR90 ER:RAS,Vector + 4OHT Replicate 1,no,no,,False,,yes,GEO per-sample record,Lung,imr90 passage: 15 | days after 4oht induction: 6 | state: senescent | transduction: empty pGIPz vector
SRR5859253,SRP113324,"GSE101750,GSE101763",GSM2714458,Proliferating,IMR-90,IMR90 ER:RAS,IMR90 ER:RAS,Vector Replicate 2,no,no,,False,,yes,GEO per-sample record,Lung,imr90 passage: 15 | days after 4oht induction: 6 | state: proliferating | transduction: empty pGIPz vector
SRR5859254,SRP113324,"GSE101750,GSE101763",GSM2714459,Oncogene-induced CS,IMR-90,IMR90 ER:RAS,IMR90 ER:RAS,Vector + 4OHT Replicate 2,no,no,,False,,yes,GEO per-sample record,Lung,imr90 passage: 15 | days after 4oht induction: 6 | state: senescent | transduction: empty pGIPz vector
SRR5859257,SRP113324,"GSE101750,GSE101763",GSM2714462,Proliferating,IMR-90,IMR90 ER:RAS,IMR90 ER:RAS,Vector Replicate 3,no,no,,False,,yes,GEO per-sample record,Lung,imr90 passage: 15 | days after 4oht induction: 6 | state: proliferating | transduction: empty pGIPz vector
SRR5859258,SRP113324,"GSE101750,GSE101763",GSM2714463,Oncogene-induced CS,IMR-90,IMR90 ER:RAS,IMR90 ER:RAS,Vector + 4OHT Replicate 3,no,no,,False,,yes,GEO per-sample record,Lung,imr90 passage: 15 | days after 4oht induction: 6 | state: senescent | transduction: empty pGIPz vector
SRR5859294,SRP113329,"GSE101758,GSE101763",GSM2714552,Proliferating,IMR-90,IMR90 ER:RAS,IMR90 ER:RAS,si_Scramble Replicate 1,no,no,,False,,yes,GEO per-sample record,Lung,imr90 passage: 14 | days after 4oht induction: 5 | state: proliferating | transfection: scramble siRNA
SRR5859295,SRP113329,"GSE101758,GSE101763",GSM2714553,Oncogene-induced CS,IMR-90,IMR90 ER:RAS,IMR90 ER:RAS,si_Scramble + 4OHT Replicate 1,no,no,,False,,yes,GEO per-sample record,Lung,imr90 passage: 14 | days after 4oht induction: 5 | state: senescent | transfection: scramble siRNA
SRR5859299,SRP113329,"GSE101758,GSE101763",GSM2714557,Proliferating,IMR-90,IMR90 ER:RAS,IMR90 ER:RAS,si_Scramble Replicate 2,no,no,,False,,yes,GEO per-sample record,Lung,imr90 passage: 14 | days after 4oht induction: 5 | state: proliferating | transfection: scramble siRNA
SRR5859300,SRP113329,"GSE101758,GSE101763",GSM2714558,Oncogene-induced CS,IMR-90,IMR90 ER:RAS,IMR90 ER:RAS,si_Scramble + 4OHT Replicate 2,no,no,,False,,yes,GEO per-sample record,Lung,imr90 passage: 14 | days after 4oht induction: 5 | state: senescent | transfection: scramble siRNA
SRR5859304,SRP113329,"GSE101758,GSE101763",GSM2714562,Proliferating,IMR-90,IMR90 ER:RAS,IMR90 ER:RAS,si_Scramble Replicate 3,no,no,,False,,yes,GEO per-sample record,Lung,imr90 passage: 14 | days after 4oht induction: 5 | state: proliferating | transfection: scramble siRNA
SRR5859305,SRP113329,"GSE101758,GSE101763",GSM2714563,Oncogene-induced CS,IMR-90,IMR90 ER:RAS,IMR90 ER:RAS,si_Scramble + 4OHT Replicate 3,no,no,,False,,yes,GEO per-sample record,Lung,imr90 passage: 14 | days after 4oht induction: 5 | state: senescent | transfection: scramble siRNA
SRR6048192,SRP117883,"GSE95021,GSE103938",GSM2786635,Proliferating,IMR-90,IMR90,IMR90,Prolif_1,no,no,,False,,yes,GEO per-sample record,Lung,cell line: IMR90 | cell type: fibroblasts | passage: 12 | vector: empty vector (MSCV) | days post-infection: 10
SRR6048196,SRP117883,"GSE95021,GSE103938",GSM2786639,Oncogene-induced CS,IMR-90,IMR90,IMR90,RAS_1,no,no,,False,,yes,GEO per-sample record,Lung,cell line: IMR90 | cell type: fibroblasts | passage: 12 | vector: RAS expressing vector | days post-infection: 10
SRR6048199,SRP117883,"GSE95021,GSE103938",GSM2786642,Proliferating,IMR-90,IMR90,IMR90,Prolif_2,no,no,,False,,yes,GEO per-sample record,Lung,cell line: IMR90 | cell type: fibroblasts | passage: 12 | vector: empty vector (MSCV) | days post-infection: 10
SRR6048203,SRP117883,"GSE95021,GSE103938",GSM2786646,Oncogene-induced CS,IMR-90,IMR90,IMR90,RAS_2,no,no,,False,,yes,GEO per-sample record,Lung,cell line: IMR90 | cell type: fibroblasts | passage: 12 | vector: RAS expressing vector | days post-infection: 10
SRR6048206,SRP117883,"GSE95021,GSE103938",GSM2786649,Proliferating,IMR-90,IMR90,IMR90,Prolif_3,no,no,,False,,yes,GEO per-sample record,Lung,cell line: IMR90 | cell type: fibroblasts | passage: 12 | vector: empty vector (MSCV) | days post-infection: 10
SRR6048210,SRP117883,"GSE95021,GSE103938",GSM2786653,Oncogene-induced CS,IMR-90,IMR90,IMR90,RAS_3,no,no,,False,,yes,GEO per-sample record,Lung,cell line: IMR90 | cell type: fibroblasts | passage: 12 | vector: RAS expressing vector | days post-infection: 10
SRR6205675,SRP121031,"GSE105937,GSE105951",GSM2828805,Proliferating,IMR-90,IMR90,IMR90,"RNA-seq from Proliferating Fibroblasts, Replicate #1",no,no,,False,,yes,GEO per-sample record,Lung,cell line: IMR90 | cell type: Lung Fibroblasts | population doubling: PD29 | shRNA: none | library type: single | senescence induction: None
SRR6205676,SRP121031,"GSE105937,GSE105951",GSM2828806,Replicative CS,IMR-90,IMR90,IMR90,"RNA-seq from Senescent Fibroblasts, Replicate #1",no,no,,False,,yes,GEO per-sample record,Lung,cell line: IMR90 | cell type: Lung Fibroblasts | population doubling: PD78 | shRNA: none | library type: single | senescence induction: Replicative Senescence
SRR6205677,SRP121031,"GSE105937,GSE105951",GSM2828807,Proliferating,IMR-90,IMR90,IMR90,"RNA-seq from Proliferating Fibroblasts, Replicate #2",no,no,,False,,yes,GEO per-sample record,Lung,cell line: IMR90 | cell type: Lung Fibroblasts | population doubling: PD34 | shRNA: none | library type: single | senescence induction: None
SRR6205678,SRP121031,"GSE105937,GSE105951",GSM2828808,Replicative CS,IMR-90,IMR90,IMR90,"RNA-seq from Senescent Fibroblasts, Replicate #2",no,no,,False,,yes,GEO per-sample record,Lung,cell line: IMR90 | cell type: Lung Fibroblasts | population doubling: PD79 | shRNA: none | library type: single | senescence induction: Replicative Senescence
SRR6205681,SRP121031,"GSE105937,GSE105951",GSM2828811,Replicative CS,IMR-90,IMR90,IMR90,"RNA-seq from Senescent Fibroblasts (p300 knockdown control vector), Replicate #1",no,no,,False,,yes,GEO per-sample record,Lung,cell line: IMR90 | cell type: Lung Fibroblasts | population doubling: PD78 | shRNA: control vector | library type: single | senescence induction: Replicative Senescence
SRR6205684,SRP121031,"GSE105937,GSE105951",GSM2828814,Replicative CS,IMR-90,IMR90,IMR90,"RNA-seq from Senescent Fibroblasts (p300 knockdown control vector), Replicate #2",no,no,,False,,yes,GEO per-sample record,Lung,cell line: IMR90 | cell type: Lung Fibroblasts | population doubling: PD75 | shRNA: control vector | library type: single | senescence induction: Replicative Senescence
SRR6869103,SRP136071,GSE112068,GSM3056966,Proliferating,IMR-90,IMR90,IMR-90,IMR-90 0_0d,no,no,,False,,yes,GEO per-sample record,Lung,cell line: IMR-90 | cell type: fibroblast | age: 16 weeks gestation | agent: control | dose: 0 ug/ml | time: 0 day
SRR6869105,SRP136071,GSE112068,GSM3056967,Proliferating,IMR-90,IMR90,IMR-90,IMR-90 0_4d,no,no,,False,,yes,GEO per-sample record,Lung,cell line: IMR-90 | cell type: fibroblast | age: 16 weeks gestation | agent: control | dose: 0 ug/ml | time: 4 days
SRR6869106,SRP136071,GSE112068,GSM3056968,Proliferating,IMR-90,IMR90,IMR-90,IMR-90 0_8d,no,no,,False,,yes,GEO per-sample record,Lung,cell line: IMR-90 | cell type: fibroblast | age: 16 weeks gestation | agent: control | dose: 0 ug/ml | time: 8 days
SRR6869117,SRP136071,GSE112068,GSM3056979,Stress-induced CS,IMR-90,IMR90,IMR-90,IMR-90 40_2d,no,no,,False,,yes,GEO per-sample record,Lung,cell line: IMR-90 | cell type: fibroblast | age: 16 weeks gestation | agent: bleomycin | dose: 40 ug/ml | time: 2 days
SRR6869119,SRP136071,GSE112068,GSM3056981,Stress-induced CS,IMR-90,IMR90,IMR-90,IMR-90 40_4d,no,no,,False,,yes,GEO per-sample record,Lung,cell line: IMR-90 | cell type: fibroblast | age: 16 weeks gestation | agent: bleomycin | dose: 40 ug/ml | time: 4 days
SRR6869121,SRP136071,GSE112068,GSM3056983,Stress-induced CS,IMR-90,IMR90,IMR-90,IMR-90 40_6d,no,no,,False,,yes,GEO per-sample record,Lung,cell line: IMR-90 | cell type: fibroblast | age: 16 weeks gestation | agent: bleomycin | dose: 40 ug/ml | time: 6 days
SRR6869122,SRP136071,GSE112068,GSM3056984,Stress-induced CS,IMR-90,IMR90,IMR-90,IMR-90 40_8d,no,no,,False,,yes,GEO per-sample record,Lung,cell line: IMR-90 | cell type: fibroblast | age: 16 weeks gestation | agent: bleomycin | dose: 40 ug/ml | time: 8 days
SRR6869123,SRP136071,GSE112068,GSM3056985,Stress-induced CS,IMR-90,IMR90,IMR-90,IMR-90 40_8h,no,no,,False,,yes,GEO per-sample record,Lung,cell line: IMR-90 | cell type: fibroblast | age: 16 weeks gestation | agent: bleomycin | dose: 40 ug/ml | time: 8 h
SRR6869124,SRP136071,GSE112068,GSM3056986,Stress-induced CS,IMR-90,IMR90,IMR-90,IMR-90 40_12h,no,no,,False,,yes,GEO per-sample record,Lung,cell line: IMR-90 | cell type: fibroblast | age: 16 weeks gestation | agent: bleomycin | dose: 40 ug/ml | time: 12 h
SRR6869125,SRP136071,GSE112068,GSM3056987,Stress-induced CS,IMR-90,IMR90,IMR-90,IMR-90 40_24h,no,no,,False,,yes,GEO per-sample record,Lung,cell line: IMR-90 | cell type: fibroblast | age: 16 weeks gestation | agent: bleomycin | dose: 40 ug/ml | time: 24 h
SRR7516120,SRP153205,GSE117033,GSM3267560,Proliferating,Primary,HDF 12-1,human dermal fibroblasts,P_12_1,no,no,,False,,yes,GEO per-sample record,Foreskin,strain: 12-1 | tissue: Foreskin | cell type: human dermal fibroblasts | cell growth conditions: proliferating cells | treatment: no treatment
SRR7516121,SRP153205,GSE117033,GSM3267561,Proliferating,Primary,HDF 12-1,human dermal fibroblasts,P_12_3,no,no,,False,,yes,GEO per-sample record,Foreskin,strain: 12-3 | tissue: Foreskin | cell type: human dermal fibroblasts | cell growth conditions: proliferating cells | treatment: no treatment
