external_id,study,series,geo,condition,cell_line_curated,cell_line_resolved,line_token_sample,title,immortalised_curated,immortalised_VERIFIED,CHANGED_vs_curated,immortalisation_term_in_sample_record,matched_term,sample_record_agrees,evidence_level,tissue,characteristics
SRR2970889,SRP066947,"GSE75643,GSE76605",GSM1961174,Oncogene-induced CS,TIG-3,Tig3ET,Tig3,BRAF OIS Day 10 Rep 3,no,yes,YES,True,hTERT,yes,GEO per-sample record,Lung,cell line: Tig3 | cell type: diploid embryonic lung fibroblasts | day treament: 10 | transduced with: pBabe-puro-BRAFE600 (OIS) | time point: 10days after transduction
SRR2970891,SRP066947,"GSE75643,GSE76605",GSM1961176,Proliferating,TIG-3,Tig3ET,Tig3,Cycling Control Serum 1,no,yes,YES,True,hTERT,yes,GEO per-sample record,Lung,cell line: Tig3 | cell type: diploid embryonic lung fibroblasts | day treament: 10 | cutured in: 9% FBS DMEM medium for 10 days (cycling)
SRR2970892,SRP066947,"GSE75643,GSE76605",GSM1961177,Serum_starved CQ,TIG-3,Tig3ET,Tig3,Quiescent Serum Starvation 1,no,yes,YES,True,hTERT,yes,GEO per-sample record,Lung,cell line: Tig3 | cell type: diploid embryonic lung fibroblasts | day treament: 10 | cutured in: 0% FBS DMEM medium for 10 days (quiescent)
SRR2970893,SRP066947,"GSE75643,GSE76605",GSM1961178,Proliferating,TIG-3,Tig3ET,Tig3,Cycling Control Serum 2,no,yes,YES,True,hTERT,yes,GEO per-sample record,Lung,cell line: Tig3 | cell type: diploid embryonic lung fibroblasts | day treament: 10 | cutured in: 9% FBS DMEM medium for 10 days (cycling)
SRR2970894,SRP066947,"GSE75643,GSE76605",GSM1961179,Serum_starved CQ,TIG-3,Tig3ET,Tig3,Quiescent Serum Starvation 2,no,yes,YES,True,hTERT,yes,GEO per-sample record,Lung,cell line: Tig3 | cell type: diploid embryonic lung fibroblasts | day treament: 10 | cutured in: 0% FBS DMEM medium for 10 days (quiescent)
SRR2970895,SRP066947,"GSE75643,GSE76605",GSM1961180,Proliferating,TIG-3,Tig3ET,Tig3,Cycling Control Serum 3,no,yes,YES,True,hTERT,yes,GEO per-sample record,Lung,cell line: Tig3 | cell type: diploid embryonic lung fibroblasts | day treament: 10 | cutured in: 9% FBS DMEM medium for 10 days (cycling)
SRR2970896,SRP066947,"GSE75643,GSE76605",GSM1961181,Serum_starved CQ,TIG-3,Tig3ET,Tig3,Quiescent Serum Starvation 3,no,yes,YES,True,hTERT,yes,GEO per-sample record,Lung,cell line: Tig3 | cell type: diploid embryonic lung fibroblasts | day treament: 10 | cutured in: 0% FBS DMEM medium for 10 days (quiescent)
SRR4241039,SRP089801,GSE86867,GSM2309726,Proliferating,Primary,HCA2-hTERT,HCA2-hTert,WT_Div_1,yes,yes,,True,hTert,yes,GEO per-sample record,Skin,cell type: HCA2-hTert | tissue: primary fibroblasts
SRR4241040,SRP089801,GSE86867,GSM2309727,Proliferating,Primary,HCA2-hTERT,HCA2-hTert,WT_Div_2,yes,yes,,True,hTert,yes,GEO per-sample record,Skin,cell type: HCA2-hTert | tissue: primary fibroblasts
SRR4241041,SRP089801,GSE86867,GSM2309728,Proliferating,Primary,HCA2-hTERT,HCA2-hTert,WT_Div_3,yes,yes,,True,hTert,yes,GEO per-sample record,Skin,cell type: HCA2-hTert | tissue: primary fibroblasts
SRR4241042,SRP089801,GSE86867,GSM2309729,Contact_inhibited CQ,Primary,HCA2-hTERT,HCA2-hTert,WT_Qui_1,yes,yes,,True,hTert,yes,GEO per-sample record,Skin,cell type: HCA2-hTert | tissue: primary fibroblasts
SRR4241043,SRP089801,GSE86867,GSM2309730,Contact_inhibited CQ,Primary,HCA2-hTERT,HCA2-hTert,WT_Qui_2,yes,yes,,True,hTert,yes,GEO per-sample record,Skin,cell type: HCA2-hTert | tissue: primary fibroblasts
SRR4241044,SRP089801,GSE86867,GSM2309731,Contact_inhibited CQ,Primary,HCA2-hTERT,HCA2-hTert,WT_Qui_3,yes,yes,,True,hTert,yes,GEO per-sample record,Skin,cell type: HCA2-hTert | tissue: primary fibroblasts
SRR6243319,SRP123346,GSE106414,GSM2837350,Proliferating,BJ,BJ-hTERT,BJ cells,BJ.Ctr,no,yes,YES,True,Immortalized,yes,GEO per-sample record,Foreskin,cell line: BJ cells | condition: BJ Ctr (non targeting ShRNA 500)
