"condition","n","scaled_diff_median","scaled_diff_mean","scaled_diff_sd","scaled_diff_min","scaled_diff_max","yugene_diff_median","yugene_diff_mean","yugene_diff_sd","yugene_diff_min","yugene_diff_max"
"Proliferating",91,2.60739854954245,10.5745039348824,27.3485607402736,-33.8677964231446,70.0907790936658,0.960679264500986,0.152271290491227,15.7399663634025,-47.3821334955772,32.5595189535646
"CICQ",19,50.245551298926,42.8178919472737,22.1631693247089,8.75531659746933,80.5687225471009,23.0133439487762,20.9638169250626,18.7575300074186,-12.8351646806816,49.4408846506794
"SSCQ",22,24.3451843368325,20.8147588447494,30.4475036039155,-28.3342985705139,75.0696694847407,9.20619994336521,10.8788680464621,14.9567066996688,-12.5092167460805,46.9719937789654
"RS",11,33.8160984655273,37.4636254802244,12.4316593937677,20.0918344842381,54.2536995946302,24.3633425637937,26.4171348956106,10.7626033500967,12.0179673120317,45.8348946009463
"SIPS",39,56.9211866646518,42.4004840593914,29.6521058204609,-24.4221354288052,91.6984228434936,30.8759894058476,28.9454175333183,14.0189946496536,-11.5299875220735,48.8121096964476
"OIS",48,30.4482485516889,35.9231550461975,24.4248333942851,-22.9495833611274,78.555860415015,24.4064209825052,24.8340888401087,21.5273289612536,-39.6505617877663,57.6531028578974
