external_id,study,sra.study_title,sra.library_layout,sra.platform_model,recount_project.organism,study.1,sra.study_title.1,sra.library_layout.1,sra.platform_model.1,recount_project.organism.1,cell_line,cell_line_assubmitted,sra,study_title,abstract,sample_title,platform,full_attributes,attributes,geo,label,cell_state,cell_substate,Induction_details,time_after_treatment,genetic_manipulations,immortalised,cell_type,tissue,cancer_cell_line,cq_test,immortalisation_evidence
SRR1768044,SRP052706,Rapamycin induces chromosome reorganization and increases cytokine production in normal human fibroblasts,paired,Illumina Genome Analyzer IIx,Homo sapiens,SRP052706,Rapamycin induces chromosome reorganization and increases cytokine production in normal human fibroblasts,paired,Illumina Genome Analyzer IIx,Homo sapiens,foreskin 2DD,Primary,SRP052706,Rapamycin induces chromosome reorganization and increases cytokine production in normal human fibroblasts,"We report the effects of Rapamycin treatment on the transcriptome of normal human dermal fibroblasts isolated from foreskin (designated 2DD). We sequenced mRNA from 2 replicates of proliferative (PRO) quiescent (QUI, serum starved) or treated with 500nM Rapamycin for 5 days (RAP). Comparative analyses with PRO transcripts a baseline indicate that genes that changed expression from Rapamycin treated fibroblasts are significantly different from those of quiescence cells. Rapamycin treated cells showed a significant enrichment for cytokines from the Il-6 cascade. Overall design: Examination of mRNAs from proliferative, quiescent (serum starvation) and Rapamycin (5oonM, 5days) treated 2DD normal human dermal/foreskin fibroblasts.",GSM1588051: proliferative fibroblast 1; Homo sapiens; RNA-Seq,Illumina Genome Analyzer IIx,cell type;;proliferative fibroblast|source;;foreskin 2DD|source_name;;normal foreskin fibroblast,GEO Accession;;GSM1588051,GSM1588051,proliferative fibroblast 1,Proliferating,Proliferating,,,,no,Fibroblast,Foreskin,no,Proliferating,no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRR1768045,SRP052706,Rapamycin induces chromosome reorganization and increases cytokine production in normal human fibroblasts,paired,Illumina Genome Analyzer IIx,Homo sapiens,SRP052706,Rapamycin induces chromosome reorganization and increases cytokine production in normal human fibroblasts,paired,Illumina Genome Analyzer IIx,Homo sapiens,foreskin 2DD,Primary,SRP052706,Rapamycin induces chromosome reorganization and increases cytokine production in normal human fibroblasts,"We report the effects of Rapamycin treatment on the transcriptome of normal human dermal fibroblasts isolated from foreskin (designated 2DD). We sequenced mRNA from 2 replicates of proliferative (PRO) quiescent (QUI, serum starved) or treated with 500nM Rapamycin for 5 days (RAP). Comparative analyses with PRO transcripts a baseline indicate that genes that changed expression from Rapamycin treated fibroblasts are significantly different from those of quiescence cells. Rapamycin treated cells showed a significant enrichment for cytokines from the Il-6 cascade. Overall design: Examination of mRNAs from proliferative, quiescent (serum starvation) and Rapamycin (5oonM, 5days) treated 2DD normal human dermal/foreskin fibroblasts.",GSM1588052: proliferative fibroblast 2; Homo sapiens; RNA-Seq,Illumina Genome Analyzer IIx,cell type;;proliferative fibroblast|source;;foreskin 2DD|source_name;;normal foreskin fibroblast,GEO Accession;;GSM1588052,GSM1588052,proliferative fibroblast 2,Proliferating,Proliferating,,,,no,Fibroblast,Foreskin,no,Proliferating,no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRR1768046,SRP052706,Rapamycin induces chromosome reorganization and increases cytokine production in normal human fibroblasts,paired,Illumina Genome Analyzer IIx,Homo sapiens,SRP052706,Rapamycin induces chromosome reorganization and increases cytokine production in normal human fibroblasts,paired,Illumina Genome Analyzer IIx,Homo sapiens,foreskin 2DD,Primary,SRP052706,Rapamycin induces chromosome reorganization and increases cytokine production in normal human fibroblasts,"We report the effects of Rapamycin treatment on the transcriptome of normal human dermal fibroblasts isolated from foreskin (designated 2DD). We sequenced mRNA from 2 replicates of proliferative (PRO) quiescent (QUI, serum starved) or treated with 500nM Rapamycin for 5 days (RAP). Comparative analyses with PRO transcripts a baseline indicate that genes that changed expression from Rapamycin treated fibroblasts are significantly different from those of quiescence cells. Rapamycin treated cells showed a significant enrichment for cytokines from the Il-6 cascade. Overall design: Examination of mRNAs from proliferative, quiescent (serum starvation) and Rapamycin (5oonM, 5days) treated 2DD normal human dermal/foreskin fibroblasts.",GSM1588053: queiscent fibroblast 1; Homo sapiens; RNA-Seq,Illumina Genome Analyzer IIx,cell type;;queiscent fibroblast|source;;foreskin 2DD|source_name;;normal foreskin fibroblast,GEO Accession;;GSM1588053,GSM1588053,queiscent fibroblast 1,CQ,Serum_starved CQ,serum-starved;0.5 % FBS;DMSO,7 days,,no,Fibroblast,Foreskin,no,CQ,no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRR1768047,SRP052706,Rapamycin induces chromosome reorganization and increases cytokine production in normal human fibroblasts,paired,Illumina Genome Analyzer IIx,Homo sapiens,SRP052706,Rapamycin induces chromosome reorganization and increases cytokine production in normal human fibroblasts,paired,Illumina Genome Analyzer IIx,Homo sapiens,foreskin 2DD,Primary,SRP052706,Rapamycin induces chromosome reorganization and increases cytokine production in normal human fibroblasts,"We report the effects of Rapamycin treatment on the transcriptome of normal human dermal fibroblasts isolated from foreskin (designated 2DD). We sequenced mRNA from 2 replicates of proliferative (PRO) quiescent (QUI, serum starved) or treated with 500nM Rapamycin for 5 days (RAP). Comparative analyses with PRO transcripts a baseline indicate that genes that changed expression from Rapamycin treated fibroblasts are significantly different from those of quiescence cells. Rapamycin treated cells showed a significant enrichment for cytokines from the Il-6 cascade. Overall design: Examination of mRNAs from proliferative, quiescent (serum starvation) and Rapamycin (5oonM, 5days) treated 2DD normal human dermal/foreskin fibroblasts.",GSM1588054: queiscent fibroblast 2; Homo sapiens; RNA-Seq,Illumina Genome Analyzer IIx,cell type;;queiscent fibroblast|source;;foreskin 2DD|source_name;;normal foreskin fibroblast,GEO Accession;;GSM1588054,GSM1588054,queiscent fibroblast 2,CQ,Serum_starved CQ,serum-starved;0.5 % FBS;DMSO,7 days,,no,Fibroblast,Foreskin,no,CQ,no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRR8284460,SRP172671,Overexpression of Claspin and Timeless protects cancer cells from replication stress in a checkpoint-independent manner,paired,NextSeq 500,Homo sapiens,SRP172671,Overexpression of Claspin and Timeless protects cancer cells from replication stress in a checkpoint-independent manner,paired,NextSeq 500,Homo sapiens,BJ-hTERT,BJ,SRP172671,Overexpression of Claspin and Timeless protects cancer cells from replication stress in a checkpoint-independent manner,RNA-seq analysis of BJ cells overexpressing RasV12 and escaping senescence Overall design: Immortalized BJ-hTERT cells expressing an oncogenic version of Ras under the control of a doxycyclin-inducible promoter were grown for 60 days in the presence of Dox to induce oncogene-induced senescence (OIS). Three individual clones escaping senescence were isolated and were analyzed by RNA-seq.,GSM3502427: A_BJ; Homo sapiens; RNA-Seq,NextSeq 500,cell type;;Immortalized BJ-hTERT cells|source_name;;BJ RNA-seq,GEO Accession;;GSM3502427,GSM3502427,A_BJ,Proliferating,Proliferating,,,,yes,Fibroblast,Foreskin,no,Proliferating,Sample_characteristics: 'cell type: Immortalized BJ-hTERT cells'
SRR8284461,SRP172671,Overexpression of Claspin and Timeless protects cancer cells from replication stress in a checkpoint-independent manner,paired,NextSeq 500,Homo sapiens,SRP172671,Overexpression of Claspin and Timeless protects cancer cells from replication stress in a checkpoint-independent manner,paired,NextSeq 500,Homo sapiens,BJ-hTERT,BJ,SRP172671,Overexpression of Claspin and Timeless protects cancer cells from replication stress in a checkpoint-independent manner,RNA-seq analysis of BJ cells overexpressing RasV12 and escaping senescence Overall design: Immortalized BJ-hTERT cells expressing an oncogenic version of Ras under the control of a doxycyclin-inducible promoter were grown for 60 days in the presence of Dox to induce oncogene-induced senescence (OIS). Three individual clones escaping senescence were isolated and were analyzed by RNA-seq.,GSM3502428: B_BJ; Homo sapiens; RNA-Seq,NextSeq 500,cell type;;Immortalized BJ-hTERT cells|source_name;;BJ RNA-seq,GEO Accession;;GSM3502428,GSM3502428,B_BJ,Proliferating,Proliferating,,,,yes,Fibroblast,Foreskin,no,Proliferating,Sample_characteristics: 'cell type: Immortalized BJ-hTERT cells'
SRR8284462,SRP172671,Overexpression of Claspin and Timeless protects cancer cells from replication stress in a checkpoint-independent manner,paired,NextSeq 500,Homo sapiens,SRP172671,Overexpression of Claspin and Timeless protects cancer cells from replication stress in a checkpoint-independent manner,paired,NextSeq 500,Homo sapiens,BJ-hTERT,BJ,SRP172671,Overexpression of Claspin and Timeless protects cancer cells from replication stress in a checkpoint-independent manner,RNA-seq analysis of BJ cells overexpressing RasV12 and escaping senescence Overall design: Immortalized BJ-hTERT cells expressing an oncogenic version of Ras under the control of a doxycyclin-inducible promoter were grown for 60 days in the presence of Dox to induce oncogene-induced senescence (OIS). Three individual clones escaping senescence were isolated and were analyzed by RNA-seq.,GSM3502429: A_BJ_ras; Homo sapiens; RNA-Seq,NextSeq 500,cell type;;Immortalized BJ-hTERT cells|source_name;;BJ Ras RNA-seq,GEO Accession;;GSM3502429,GSM3502429,A_BJ_ras,CS,Oncogene-induced CS,,,,yes,Fibroblast,Foreskin,no,Oncogene-induced CS,Sample_characteristics: 'cell type: Immortalized BJ-hTERT cells'
SRR8284463,SRP172671,Overexpression of Claspin and Timeless protects cancer cells from replication stress in a checkpoint-independent manner,paired,NextSeq 500,Homo sapiens,SRP172671,Overexpression of Claspin and Timeless protects cancer cells from replication stress in a checkpoint-independent manner,paired,NextSeq 500,Homo sapiens,BJ-hTERT,BJ,SRP172671,Overexpression of Claspin and Timeless protects cancer cells from replication stress in a checkpoint-independent manner,RNA-seq analysis of BJ cells overexpressing RasV12 and escaping senescence Overall design: Immortalized BJ-hTERT cells expressing an oncogenic version of Ras under the control of a doxycyclin-inducible promoter were grown for 60 days in the presence of Dox to induce oncogene-induced senescence (OIS). Three individual clones escaping senescence were isolated and were analyzed by RNA-seq.,GSM3502430: B_BJ_ras; Homo sapiens; RNA-Seq,NextSeq 500,cell type;;Immortalized BJ-hTERT cells|source_name;;BJ Ras RNA-seq,GEO Accession;;GSM3502430,GSM3502430,B_BJ_ras,CS,Oncogene-induced CS,,,,yes,Fibroblast,Foreskin,no,Oncogene-induced CS,Sample_characteristics: 'cell type: Immortalized BJ-hTERT cells'
SRR6869103,SRP136071,Study of dynamic transcriptome profiling in DNA damage-induced cellular senescence and transient cell-cycle arrest,paired,Illumina HiSeq 2500,Homo sapiens,SRP136071,Study of dynamic transcriptome profiling in DNA damage-induced cellular senescence and transient cell-cycle arrest,paired,Illumina HiSeq 2500,Homo sapiens,IMR90,IMR-90,SRP136071,Study of dynamic transcriptome profiling in DNA damage-induced cellular senescence and transient cell-cycle arrest,"For studing dynamic transcriptome profiling in DNA damage-induced cellular senescence and transient cell-cycle arrest, samples were treated with the DNA-damaging agent bleomycin at 0 ug/ml, 2 ug/ml and 40 ug/ml for 2 h. High-resolution time course analysis of gene expression in DNA damage-induced cellular senescence and transient cell-cycle arrest was used to explore the transcriptomic differences between different cell fates after DNA damage response. Overall design: Examination of IMR90 cells with different levels of DNA damage.",GSM3056966: IMR-90 0_0d; Homo sapiens; RNA-Seq,Illumina HiSeq 2500,age;;16 weeks gestation|agent;;control|cell line;;IMR-90|cell type;;fibroblast|dose;;0 ug/ml|source_name;;lung|time;;0 day,GEO Accession;;GSM3056966,GSM3056966,IMR-90 0_0d,Proliferating,Proliferating,,,,no,Fibroblast,Lung,no,Proliferating,no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRR6869105,SRP136071,Study of dynamic transcriptome profiling in DNA damage-induced cellular senescence and transient cell-cycle arrest,paired,Illumina HiSeq 2500,Homo sapiens,SRP136071,Study of dynamic transcriptome profiling in DNA damage-induced cellular senescence and transient cell-cycle arrest,paired,Illumina HiSeq 2500,Homo sapiens,IMR90,IMR-90,SRP136071,Study of dynamic transcriptome profiling in DNA damage-induced cellular senescence and transient cell-cycle arrest,"For studing dynamic transcriptome profiling in DNA damage-induced cellular senescence and transient cell-cycle arrest, samples were treated with the DNA-damaging agent bleomycin at 0 ug/ml, 2 ug/ml and 40 ug/ml for 2 h. High-resolution time course analysis of gene expression in DNA damage-induced cellular senescence and transient cell-cycle arrest was used to explore the transcriptomic differences between different cell fates after DNA damage response. Overall design: Examination of IMR90 cells with different levels of DNA damage.",GSM3056967: IMR-90 0_4d; Homo sapiens; RNA-Seq,Illumina HiSeq 2500,age;;16 weeks gestation|agent;;control|cell line;;IMR-90|cell type;;fibroblast|dose;;0 ug/ml|source_name;;lung|time;;4 days,GEO Accession;;GSM3056967,GSM3056967,IMR-90 0_4d,Proliferating,Proliferating,,,,no,Fibroblast,Lung,no,Proliferating,no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRR6869106,SRP136071,Study of dynamic transcriptome profiling in DNA damage-induced cellular senescence and transient cell-cycle arrest,paired,Illumina HiSeq 2500,Homo sapiens,SRP136071,Study of dynamic transcriptome profiling in DNA damage-induced cellular senescence and transient cell-cycle arrest,paired,Illumina HiSeq 2500,Homo sapiens,IMR90,IMR-90,SRP136071,Study of dynamic transcriptome profiling in DNA damage-induced cellular senescence and transient cell-cycle arrest,"For studing dynamic transcriptome profiling in DNA damage-induced cellular senescence and transient cell-cycle arrest, samples were treated with the DNA-damaging agent bleomycin at 0 ug/ml, 2 ug/ml and 40 ug/ml for 2 h. High-resolution time course analysis of gene expression in DNA damage-induced cellular senescence and transient cell-cycle arrest was used to explore the transcriptomic differences between different cell fates after DNA damage response. Overall design: Examination of IMR90 cells with different levels of DNA damage.",GSM3056968: IMR-90 0_8d; Homo sapiens; RNA-Seq,Illumina HiSeq 2500,age;;16 weeks gestation|agent;;control|cell line;;IMR-90|cell type;;fibroblast|dose;;0 ug/ml|source_name;;lung|time;;8 days,GEO Accession;;GSM3056968,GSM3056968,IMR-90 0_8d,Proliferating,Proliferating,,,,no,Fibroblast,Lung,no,Proliferating,no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRR6869117,SRP136071,Study of dynamic transcriptome profiling in DNA damage-induced cellular senescence and transient cell-cycle arrest,paired,Illumina HiSeq 2500,Homo sapiens,SRP136071,Study of dynamic transcriptome profiling in DNA damage-induced cellular senescence and transient cell-cycle arrest,paired,Illumina HiSeq 2500,Homo sapiens,IMR90,IMR-90,SRP136071,Study of dynamic transcriptome profiling in DNA damage-induced cellular senescence and transient cell-cycle arrest,"For studing dynamic transcriptome profiling in DNA damage-induced cellular senescence and transient cell-cycle arrest, samples were treated with the DNA-damaging agent bleomycin at 0 ug/ml, 2 ug/ml and 40 ug/ml for 2 h. High-resolution time course analysis of gene expression in DNA damage-induced cellular senescence and transient cell-cycle arrest was used to explore the transcriptomic differences between different cell fates after DNA damage response. Overall design: Examination of IMR90 cells with different levels of DNA damage.",GSM3056979: IMR-90 40_2d; Homo sapiens; RNA-Seq,Illumina HiSeq 2500,age;;16 weeks gestation|agent;;bleomycin|cell line;;IMR-90|cell type;;fibroblast|dose;;40 ug/ml|source_name;;lung|time;;2 days,GEO Accession;;GSM3056979,GSM3056979,IMR-90 40_2d,CS,Stress-induced CS,40 μg/ml bleomycin 2 hours,2 days,,no,Fibroblast,Lung,no,Stress-induced CS,no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRR6869119,SRP136071,Study of dynamic transcriptome profiling in DNA damage-induced cellular senescence and transient cell-cycle arrest,paired,Illumina HiSeq 2500,Homo sapiens,SRP136071,Study of dynamic transcriptome profiling in DNA damage-induced cellular senescence and transient cell-cycle arrest,paired,Illumina HiSeq 2500,Homo sapiens,IMR90,IMR-90,SRP136071,Study of dynamic transcriptome profiling in DNA damage-induced cellular senescence and transient cell-cycle arrest,"For studing dynamic transcriptome profiling in DNA damage-induced cellular senescence and transient cell-cycle arrest, samples were treated with the DNA-damaging agent bleomycin at 0 ug/ml, 2 ug/ml and 40 ug/ml for 2 h. High-resolution time course analysis of gene expression in DNA damage-induced cellular senescence and transient cell-cycle arrest was used to explore the transcriptomic differences between different cell fates after DNA damage response. Overall design: Examination of IMR90 cells with different levels of DNA damage.",GSM3056981: IMR-90 40_4d; Homo sapiens; RNA-Seq,Illumina HiSeq 2500,age;;16 weeks gestation|agent;;bleomycin|cell line;;IMR-90|cell type;;fibroblast|dose;;40 ug/ml|source_name;;lung|time;;4 days,GEO Accession;;GSM3056981,GSM3056981,IMR-90 40_4d,CS,Stress-induced CS,40 μg/ml bleomycin 2 hours,4 days,,no,Fibroblast,Lung,no,Stress-induced CS,no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRR6869121,SRP136071,Study of dynamic transcriptome profiling in DNA damage-induced cellular senescence and transient cell-cycle arrest,paired,Illumina HiSeq 2500,Homo sapiens,SRP136071,Study of dynamic transcriptome profiling in DNA damage-induced cellular senescence and transient cell-cycle arrest,paired,Illumina HiSeq 2500,Homo sapiens,IMR90,IMR-90,SRP136071,Study of dynamic transcriptome profiling in DNA damage-induced cellular senescence and transient cell-cycle arrest,"For studing dynamic transcriptome profiling in DNA damage-induced cellular senescence and transient cell-cycle arrest, samples were treated with the DNA-damaging agent bleomycin at 0 ug/ml, 2 ug/ml and 40 ug/ml for 2 h. High-resolution time course analysis of gene expression in DNA damage-induced cellular senescence and transient cell-cycle arrest was used to explore the transcriptomic differences between different cell fates after DNA damage response. Overall design: Examination of IMR90 cells with different levels of DNA damage.",GSM3056983: IMR-90 40_6d; Homo sapiens; RNA-Seq,Illumina HiSeq 2500,age;;16 weeks gestation|agent;;bleomycin|cell line;;IMR-90|cell type;;fibroblast|dose;;40 ug/ml|source_name;;lung|time;;6 days,GEO Accession;;GSM3056983,GSM3056983,IMR-90 40_6d,CS,Stress-induced CS,40 μg/ml bleomycin 2 hours,6 days,,no,Fibroblast,Lung,no,Stress-induced CS,no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRR6869122,SRP136071,Study of dynamic transcriptome profiling in DNA damage-induced cellular senescence and transient cell-cycle arrest,paired,Illumina HiSeq 2500,Homo sapiens,SRP136071,Study of dynamic transcriptome profiling in DNA damage-induced cellular senescence and transient cell-cycle arrest,paired,Illumina HiSeq 2500,Homo sapiens,IMR90,IMR-90,SRP136071,Study of dynamic transcriptome profiling in DNA damage-induced cellular senescence and transient cell-cycle arrest,"For studing dynamic transcriptome profiling in DNA damage-induced cellular senescence and transient cell-cycle arrest, samples were treated with the DNA-damaging agent bleomycin at 0 ug/ml, 2 ug/ml and 40 ug/ml for 2 h. High-resolution time course analysis of gene expression in DNA damage-induced cellular senescence and transient cell-cycle arrest was used to explore the transcriptomic differences between different cell fates after DNA damage response. Overall design: Examination of IMR90 cells with different levels of DNA damage.",GSM3056984: IMR-90 40_8d; Homo sapiens; RNA-Seq,Illumina HiSeq 2500,age;;16 weeks gestation|agent;;bleomycin|cell line;;IMR-90|cell type;;fibroblast|dose;;40 ug/ml|source_name;;lung|time;;8 days,GEO Accession;;GSM3056984,GSM3056984,IMR-90 40_8d,CS,Stress-induced CS,40 μg/ml bleomycin 2 hours,8 days,,no,Fibroblast,Lung,no,Stress-induced CS,no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRR6869123,SRP136071,Study of dynamic transcriptome profiling in DNA damage-induced cellular senescence and transient cell-cycle arrest,paired,Illumina HiSeq 2500,Homo sapiens,SRP136071,Study of dynamic transcriptome profiling in DNA damage-induced cellular senescence and transient cell-cycle arrest,paired,Illumina HiSeq 2500,Homo sapiens,IMR90,IMR-90,SRP136071,Study of dynamic transcriptome profiling in DNA damage-induced cellular senescence and transient cell-cycle arrest,"For studing dynamic transcriptome profiling in DNA damage-induced cellular senescence and transient cell-cycle arrest, samples were treated with the DNA-damaging agent bleomycin at 0 ug/ml, 2 ug/ml and 40 ug/ml for 2 h. High-resolution time course analysis of gene expression in DNA damage-induced cellular senescence and transient cell-cycle arrest was used to explore the transcriptomic differences between different cell fates after DNA damage response. Overall design: Examination of IMR90 cells with different levels of DNA damage.",GSM3056985: IMR-90 40_8h; Homo sapiens; RNA-Seq,Illumina HiSeq 2500,age;;16 weeks gestation|agent;;bleomycin|cell line;;IMR-90|cell type;;fibroblast|dose;;40 ug/ml|source_name;;lung|time;;8 h,GEO Accession;;GSM3056985,GSM3056985,IMR-90 40_8h,CS,Stress-induced CS,40 μg/ml bleomycin 2 hours,1/3 days,,no,Fibroblast,Lung,no,Stress-induced CS,no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRR6869124,SRP136071,Study of dynamic transcriptome profiling in DNA damage-induced cellular senescence and transient cell-cycle arrest,paired,Illumina HiSeq 2500,Homo sapiens,SRP136071,Study of dynamic transcriptome profiling in DNA damage-induced cellular senescence and transient cell-cycle arrest,paired,Illumina HiSeq 2500,Homo sapiens,IMR90,IMR-90,SRP136071,Study of dynamic transcriptome profiling in DNA damage-induced cellular senescence and transient cell-cycle arrest,"For studing dynamic transcriptome profiling in DNA damage-induced cellular senescence and transient cell-cycle arrest, samples were treated with the DNA-damaging agent bleomycin at 0 ug/ml, 2 ug/ml and 40 ug/ml for 2 h. High-resolution time course analysis of gene expression in DNA damage-induced cellular senescence and transient cell-cycle arrest was used to explore the transcriptomic differences between different cell fates after DNA damage response. Overall design: Examination of IMR90 cells with different levels of DNA damage.",GSM3056986: IMR-90 40_12h; Homo sapiens; RNA-Seq,Illumina HiSeq 2500,age;;16 weeks gestation|agent;;bleomycin|cell line;;IMR-90|cell type;;fibroblast|dose;;40 ug/ml|source_name;;lung|time;;12 h,GEO Accession;;GSM3056986,GSM3056986,IMR-90 40_12h,CS,Stress-induced CS,40 μg/ml bleomycin 2 hours,1/2 days,,no,Fibroblast,Lung,no,Stress-induced CS,no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRR6869125,SRP136071,Study of dynamic transcriptome profiling in DNA damage-induced cellular senescence and transient cell-cycle arrest,paired,Illumina HiSeq 2500,Homo sapiens,SRP136071,Study of dynamic transcriptome profiling in DNA damage-induced cellular senescence and transient cell-cycle arrest,paired,Illumina HiSeq 2500,Homo sapiens,IMR90,IMR-90,SRP136071,Study of dynamic transcriptome profiling in DNA damage-induced cellular senescence and transient cell-cycle arrest,"For studing dynamic transcriptome profiling in DNA damage-induced cellular senescence and transient cell-cycle arrest, samples were treated with the DNA-damaging agent bleomycin at 0 ug/ml, 2 ug/ml and 40 ug/ml for 2 h. High-resolution time course analysis of gene expression in DNA damage-induced cellular senescence and transient cell-cycle arrest was used to explore the transcriptomic differences between different cell fates after DNA damage response. Overall design: Examination of IMR90 cells with different levels of DNA damage.",GSM3056987: IMR-90 40_24h; Homo sapiens; RNA-Seq,Illumina HiSeq 2500,age;;16 weeks gestation|agent;;bleomycin|cell line;;IMR-90|cell type;;fibroblast|dose;;40 ug/ml|source_name;;lung|time;;24 h,GEO Accession;;GSM3056987,GSM3056987,IMR-90 40_24h,CS,Stress-induced CS,40 μg/ml bleomycin 2 hours,1 days,,no,Fibroblast,Lung,no,Stress-induced CS,no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRR6910824,SRP136727,Functional CRISPR Screen Identifies AP1-associated Enhancer regulating FOXF1 to modulate Oncogene-Induced Senescence,single,Illumina HiSeq 2500,Homo sapiens,SRP136727,Functional CRISPR Screen Identifies AP1-associated Enhancer regulating FOXF1 to modulate Oncogene-Induced Senescence,single,Illumina HiSeq 2500,Homo sapiens,BJ-hTERT,BJ,SRP136727,Functional CRISPR Screen Identifies AP1-associated Enhancer regulating FOXF1 to modulate Oncogene-Induced Senescence,"We carried out CRISPR-Cas9 functional screen focused on AP-1 bound enhancers that are activated upon oncogenic stress. The screen discovered Enh.AP1.OIS1 - an enhancer bound by AP1 that is required for activation of oncogene-induced senescence (OIS) response. We applied RNA-seq analysis to RASG12V-activated BJ cells transduced with either sgRNAs targeting AP-1 bound enhancer (sgRNA-69 or sgRNA71), or sgRNA targeting the target gene FOXF1 or non-targeting control sgRNA (sgNT) Overall design: RNA-seq was applied to oncogenic RASG12V-induced BJ cells genetically manipulated using CRISPR-Cas9",GSM3070415: BJ_sgNT_Ras; Homo sapiens; RNA-Seq,Illumina HiSeq 2500,cell line;;BJ cells|condition;;RASG12V-induced BJ cells transduced with a control non targeting sgRNA|source_name;;Immortalized primary fibroblasts,GEO Accession;;GSM3070415,GSM3070415,BJ_sgNT_Ras,CS,Oncogene-induced CS,100 nM 4-OHT for 14 days,14 days,non-targeting sgRN,yes,Fibroblast,Foreskin,no,Oncogene-induced CS,Sample_growth_protocol: 'Immortalized human BJ primary fibroblast cells (by hTERT expression)'
SRR3151885,SRP069768,Senescence-associated lncRNAs: senescence-associated long noncoding RNAs.,single,Illumina Genome Analyzer II,Homo sapiens,SRP069768,Senescence-associated lncRNAs: senescence-associated long noncoding RNAs.,single,Illumina Genome Analyzer II,Homo sapiens,WI-38,WI-38,SRP069768,Senescence-associated lncRNAs: senescence-associated long noncoding RNAs.,"Noncoding RNAs include small transcripts, such as microRNAs and piwi-interacting RNAs, and a wide range of long noncoding RNAs (lncRNAs). Although many lncRNAs have been identified, only a small number of lncRNAs have been characterized functionally. Here, we sought to identify lncRNAs differentially expressed during replicative senescence. We compared lncRNAs expressed in proliferating, early-passage, ''young'' human diploid WI-38 fibroblasts [population doubling (PDL) 20] with those expressed in senescent, late-passage, ''old'' fibroblasts (PDL 52) by RNA sequencing (RNA-Seq). Numerous transcripts in all lncRNA groups (antisense lncRNAs, pseudogene-encoded lncRNAs, previously described lncRNAs and novel lncRNAs) were validated using reverse transcription (RT) and real-time, quantitative (q)PCR. Among the novel senescence-associated lncRNAs (SAL-RNAs) showing lower abundance in senescent cells, SAL-RNA1 (XLOC_023166) was found to delay senescence, because reducing SAL-RNA1 levels enhanced the appearance of phenotypic traits of senescence, including an enlarged morphology, positive ß-galactosidase activity, and heightened p53 levels. Our results reveal that the expression of known and novel lncRNAs changes with senescence and suggests that SAL-RNAs play direct regulatory roles in this important cellular process. Overall design: RNA was extracted from both young and senescent WI-38 cells and used for total RNA-Seq.",GSM2055960: Young; Homo sapiens; RNA-Seq,Illumina Genome Analyzer II,cell line;;WI-38|passage;;PDL20|source_name;;Lung diploid fibroblasts,GEO Accession;;GSM2055960,GSM2055960,Young,Proliferating,Proliferating,,,,no,Fibroblast,Lung,no,Proliferating,no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
