external_id,study,sra.study_title,sra.library_layout,sra.platform_model,recount_project.organism,cell_line,cell_line_assubmitted,sra,study_title,abstract,sample_title,platform,full_attributes,attributes,geo,label,cell_state,cell_substate,Induction_details,time_after_treatment,genetic_manipulations,immortalised,cell_type,tissue,cancer_cell_line,immortalisation_evidence
SRR1768046,SRP052706,Rapamycin induces chromosome reorganization and increases cytokine production in normal human fibroblasts,paired,Illumina Genome Analyzer IIx,Homo sapiens,foreskin 2DD,Primary,SRP052706,Rapamycin induces chromosome reorganization and increases cytokine production in normal human fibroblasts,"We report the effects of Rapamycin treatment on the transcriptome of normal human dermal fibroblasts isolated from foreskin (designated 2DD). We sequenced mRNA from 2 replicates of proliferative (PRO) quiescent (QUI, serum starved) or treated with 500nM Rapamycin for 5 days (RAP). Comparative analyses with PRO transcripts a baseline indicate that genes that changed expression from Rapamycin treated fibroblasts are significantly different from those of quiescence cells. Rapamycin treated cells showed a significant enrichment for cytokines from the Il-6 cascade. Overall design: Examination of mRNAs from proliferative, quiescent (serum starvation) and Rapamycin (5oonM, 5days) treated 2DD normal human dermal/foreskin fibroblasts.",GSM1588053: queiscent fibroblast 1; Homo sapiens; RNA-Seq,Illumina Genome Analyzer IIx,cell type;;queiscent fibroblast|source;;foreskin 2DD|source_name;;normal foreskin fibroblast,GEO Accession;;GSM1588053,GSM1588053,queiscent fibroblast 1,CQ,Serum_starved CQ,serum-starved;0.5 % FBS;DMSO,7 days,,no,Fibroblast,Foreskin,no,no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRR1768047,SRP052706,Rapamycin induces chromosome reorganization and increases cytokine production in normal human fibroblasts,paired,Illumina Genome Analyzer IIx,Homo sapiens,foreskin 2DD,Primary,SRP052706,Rapamycin induces chromosome reorganization and increases cytokine production in normal human fibroblasts,"We report the effects of Rapamycin treatment on the transcriptome of normal human dermal fibroblasts isolated from foreskin (designated 2DD). We sequenced mRNA from 2 replicates of proliferative (PRO) quiescent (QUI, serum starved) or treated with 500nM Rapamycin for 5 days (RAP). Comparative analyses with PRO transcripts a baseline indicate that genes that changed expression from Rapamycin treated fibroblasts are significantly different from those of quiescence cells. Rapamycin treated cells showed a significant enrichment for cytokines from the Il-6 cascade. Overall design: Examination of mRNAs from proliferative, quiescent (serum starvation) and Rapamycin (5oonM, 5days) treated 2DD normal human dermal/foreskin fibroblasts.",GSM1588054: queiscent fibroblast 2; Homo sapiens; RNA-Seq,Illumina Genome Analyzer IIx,cell type;;queiscent fibroblast|source;;foreskin 2DD|source_name;;normal foreskin fibroblast,GEO Accession;;GSM1588054,GSM1588054,queiscent fibroblast 2,CQ,Serum_starved CQ,serum-starved;0.5 % FBS;DMSO,7 days,,no,Fibroblast,Foreskin,no,no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRR7537847,SRP154382,Global mapping of polyadenylation site use in proliferating and quiescent (contact-inhibited and serum-starved) cells,single,Illumina HiSeq 2000,Homo sapiens,HDF 10-2,Primary,SRP154382,Global mapping of polyadenylation site use in proliferating and quiescent (contact-inhibited and serum-starved) cells,"Purpose: To determine genes that undergo alternative polyadenylation in proliferating versus quiescent fibroblasts. Methods: Three different biological replicates (fibroblast strains, 10-1, 12-1, and 12-2) were used for generating proliferating and quiescent (7-day contact inhibited and 7-day serum-starved) cells. RNA extracted from these cells were used for library preparation. cDNA fragments were enriched for the junction between the poly(A) site and the end of the 3'' UTR using a modified high throughput sequencing protocol (GnomeGen). cDNA libraries were created according to Gnome-Gen RNA-seq library preparation kit for RNA profiling except Amgen Ampure XP beads were used instead of the Gnome-gen size selector product to remove ligation reaction products before proceeding to the reverse transcription step.  The libraries were sequenced on an Illumina HiSeq 2000 instrument. The sequencing reaction wasa run for 147 cycles. Reads from pol(A) enriched cDNA libraries were aligned to the genome using the STAR alignment algorithm after the computational removal of untemplated adenosines. Results: Polyadenylation site selection was significantly altered in approximately 10% of genes in quiescent compared with proliferating fibroblasts.  Contact inhibited and serum starved fibroblasts had similar polyadenylation site selection profiles. Conclusions: Quiescence is associated with changes in polyadenylation site selection. Overall design: Three samples of proliferating fibroblasts, three samples of contact inhibited fibroblasts and three samples of 7-day serum starved fibroblasts were analyzed with polyadenylation site-enriched RNA-Seq.",GSM3291218: P_10-2; Homo sapiens; RNA-Seq,Illumina HiSeq 2000,cell growth conditions;;proliferating cells|cell type;;human dermal fibroblasts (foreskin)|source_name;;proliferating fibroblasts|strain;;10-2,GEO Accession;;GSM3291218,GSM3291218,P_10-2,Proliferating,Proliferating,,,,no,Fibroblast,Foreskin,no,no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRR7537848,SRP154382,Global mapping of polyadenylation site use in proliferating and quiescent (contact-inhibited and serum-starved) cells,single,Illumina HiSeq 2000,Homo sapiens,HDF 10-2,Primary,SRP154382,Global mapping of polyadenylation site use in proliferating and quiescent (contact-inhibited and serum-starved) cells,"Purpose: To determine genes that undergo alternative polyadenylation in proliferating versus quiescent fibroblasts. Methods: Three different biological replicates (fibroblast strains, 10-1, 12-1, and 12-2) were used for generating proliferating and quiescent (7-day contact inhibited and 7-day serum-starved) cells. RNA extracted from these cells were used for library preparation. cDNA fragments were enriched for the junction between the poly(A) site and the end of the 3'' UTR using a modified high throughput sequencing protocol (GnomeGen). cDNA libraries were created according to Gnome-Gen RNA-seq library preparation kit for RNA profiling except Amgen Ampure XP beads were used instead of the Gnome-gen size selector product to remove ligation reaction products before proceeding to the reverse transcription step.  The libraries were sequenced on an Illumina HiSeq 2000 instrument. The sequencing reaction wasa run for 147 cycles. Reads from pol(A) enriched cDNA libraries were aligned to the genome using the STAR alignment algorithm after the computational removal of untemplated adenosines. Results: Polyadenylation site selection was significantly altered in approximately 10% of genes in quiescent compared with proliferating fibroblasts.  Contact inhibited and serum starved fibroblasts had similar polyadenylation site selection profiles. Conclusions: Quiescence is associated with changes in polyadenylation site selection. Overall design: Three samples of proliferating fibroblasts, three samples of contact inhibited fibroblasts and three samples of 7-day serum starved fibroblasts were analyzed with polyadenylation site-enriched RNA-Seq.",GSM3291219: P_12-1; Homo sapiens; RNA-Seq,Illumina HiSeq 2000,cell growth conditions;;proliferating cells|cell type;;human dermal fibroblasts (foreskin)|source_name;;proliferating fibroblasts|strain;;12-1,GEO Accession;;GSM3291219,GSM3291219,P_12-1,Proliferating,Proliferating,,,,no,Fibroblast,Foreskin,no,no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRR7537849,SRP154382,Global mapping of polyadenylation site use in proliferating and quiescent (contact-inhibited and serum-starved) cells,single,Illumina HiSeq 2000,Homo sapiens,HDF 10-2,Primary,SRP154382,Global mapping of polyadenylation site use in proliferating and quiescent (contact-inhibited and serum-starved) cells,"Purpose: To determine genes that undergo alternative polyadenylation in proliferating versus quiescent fibroblasts. Methods: Three different biological replicates (fibroblast strains, 10-1, 12-1, and 12-2) were used for generating proliferating and quiescent (7-day contact inhibited and 7-day serum-starved) cells. RNA extracted from these cells were used for library preparation. cDNA fragments were enriched for the junction between the poly(A) site and the end of the 3'' UTR using a modified high throughput sequencing protocol (GnomeGen). cDNA libraries were created according to Gnome-Gen RNA-seq library preparation kit for RNA profiling except Amgen Ampure XP beads were used instead of the Gnome-gen size selector product to remove ligation reaction products before proceeding to the reverse transcription step.  The libraries were sequenced on an Illumina HiSeq 2000 instrument. The sequencing reaction wasa run for 147 cycles. Reads from pol(A) enriched cDNA libraries were aligned to the genome using the STAR alignment algorithm after the computational removal of untemplated adenosines. Results: Polyadenylation site selection was significantly altered in approximately 10% of genes in quiescent compared with proliferating fibroblasts.  Contact inhibited and serum starved fibroblasts had similar polyadenylation site selection profiles. Conclusions: Quiescence is associated with changes in polyadenylation site selection. Overall design: Three samples of proliferating fibroblasts, three samples of contact inhibited fibroblasts and three samples of 7-day serum starved fibroblasts were analyzed with polyadenylation site-enriched RNA-Seq.",GSM3291220: P_12-2; Homo sapiens; RNA-Seq,Illumina HiSeq 2000,cell growth conditions;;proliferating cells|cell type;;human dermal fibroblasts (foreskin)|source_name;;proliferating fibroblasts|strain;;12-2,GEO Accession;;GSM3291220,GSM3291220,P_12-2,Proliferating,Proliferating,,,,no,Fibroblast,Foreskin,no,no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRR7537850,SRP154382,Global mapping of polyadenylation site use in proliferating and quiescent (contact-inhibited and serum-starved) cells,single,Illumina HiSeq 2000,Homo sapiens,HDF 10-2,Primary,SRP154382,Global mapping of polyadenylation site use in proliferating and quiescent (contact-inhibited and serum-starved) cells,"Purpose: To determine genes that undergo alternative polyadenylation in proliferating versus quiescent fibroblasts. Methods: Three different biological replicates (fibroblast strains, 10-1, 12-1, and 12-2) were used for generating proliferating and quiescent (7-day contact inhibited and 7-day serum-starved) cells. RNA extracted from these cells were used for library preparation. cDNA fragments were enriched for the junction between the poly(A) site and the end of the 3'' UTR using a modified high throughput sequencing protocol (GnomeGen). cDNA libraries were created according to Gnome-Gen RNA-seq library preparation kit for RNA profiling except Amgen Ampure XP beads were used instead of the Gnome-gen size selector product to remove ligation reaction products before proceeding to the reverse transcription step.  The libraries were sequenced on an Illumina HiSeq 2000 instrument. The sequencing reaction wasa run for 147 cycles. Reads from pol(A) enriched cDNA libraries were aligned to the genome using the STAR alignment algorithm after the computational removal of untemplated adenosines. Results: Polyadenylation site selection was significantly altered in approximately 10% of genes in quiescent compared with proliferating fibroblasts.  Contact inhibited and serum starved fibroblasts had similar polyadenylation site selection profiles. Conclusions: Quiescence is associated with changes in polyadenylation site selection. Overall design: Three samples of proliferating fibroblasts, three samples of contact inhibited fibroblasts and three samples of 7-day serum starved fibroblasts were analyzed with polyadenylation site-enriched RNA-Seq.",GSM3291221: 7dCI_10-2; Homo sapiens; RNA-Seq,Illumina HiSeq 2000,cell growth conditions;;7 day contact inhibited cells (quiescent)|cell type;;human dermal fibroblasts (foreskin)|source_name;;7-day contact inhibited_fibroblasts|strain;;10-2,GEO Accession;;GSM3291221,GSM3291221,7dCI_10-2,CQ,Contact_inhibited CQ,7 days,,,no,Fibroblast,Foreskin,no,no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRR7537851,SRP154382,Global mapping of polyadenylation site use in proliferating and quiescent (contact-inhibited and serum-starved) cells,single,Illumina HiSeq 2000,Homo sapiens,HDF 10-2,Primary,SRP154382,Global mapping of polyadenylation site use in proliferating and quiescent (contact-inhibited and serum-starved) cells,"Purpose: To determine genes that undergo alternative polyadenylation in proliferating versus quiescent fibroblasts. Methods: Three different biological replicates (fibroblast strains, 10-1, 12-1, and 12-2) were used for generating proliferating and quiescent (7-day contact inhibited and 7-day serum-starved) cells. RNA extracted from these cells were used for library preparation. cDNA fragments were enriched for the junction between the poly(A) site and the end of the 3'' UTR using a modified high throughput sequencing protocol (GnomeGen). cDNA libraries were created according to Gnome-Gen RNA-seq library preparation kit for RNA profiling except Amgen Ampure XP beads were used instead of the Gnome-gen size selector product to remove ligation reaction products before proceeding to the reverse transcription step.  The libraries were sequenced on an Illumina HiSeq 2000 instrument. The sequencing reaction wasa run for 147 cycles. Reads from pol(A) enriched cDNA libraries were aligned to the genome using the STAR alignment algorithm after the computational removal of untemplated adenosines. Results: Polyadenylation site selection was significantly altered in approximately 10% of genes in quiescent compared with proliferating fibroblasts.  Contact inhibited and serum starved fibroblasts had similar polyadenylation site selection profiles. Conclusions: Quiescence is associated with changes in polyadenylation site selection. Overall design: Three samples of proliferating fibroblasts, three samples of contact inhibited fibroblasts and three samples of 7-day serum starved fibroblasts were analyzed with polyadenylation site-enriched RNA-Seq.",GSM3291222: 7dCI_12-1; Homo sapiens; RNA-Seq,Illumina HiSeq 2000,cell growth conditions;;7 day contact inhibited cells (quiescent)|cell type;;human dermal fibroblasts (foreskin)|source_name;;7-day contact inhibited_fibroblasts|strain;;12-1,GEO Accession;;GSM3291222,GSM3291222,7dCI_12-1,CQ,Contact_inhibited CQ,7 days,,,no,Fibroblast,Foreskin,no,no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRR7537852,SRP154382,Global mapping of polyadenylation site use in proliferating and quiescent (contact-inhibited and serum-starved) cells,single,Illumina HiSeq 2000,Homo sapiens,HDF 10-2,Primary,SRP154382,Global mapping of polyadenylation site use in proliferating and quiescent (contact-inhibited and serum-starved) cells,"Purpose: To determine genes that undergo alternative polyadenylation in proliferating versus quiescent fibroblasts. Methods: Three different biological replicates (fibroblast strains, 10-1, 12-1, and 12-2) were used for generating proliferating and quiescent (7-day contact inhibited and 7-day serum-starved) cells. RNA extracted from these cells were used for library preparation. cDNA fragments were enriched for the junction between the poly(A) site and the end of the 3'' UTR using a modified high throughput sequencing protocol (GnomeGen). cDNA libraries were created according to Gnome-Gen RNA-seq library preparation kit for RNA profiling except Amgen Ampure XP beads were used instead of the Gnome-gen size selector product to remove ligation reaction products before proceeding to the reverse transcription step.  The libraries were sequenced on an Illumina HiSeq 2000 instrument. The sequencing reaction wasa run for 147 cycles. Reads from pol(A) enriched cDNA libraries were aligned to the genome using the STAR alignment algorithm after the computational removal of untemplated adenosines. Results: Polyadenylation site selection was significantly altered in approximately 10% of genes in quiescent compared with proliferating fibroblasts.  Contact inhibited and serum starved fibroblasts had similar polyadenylation site selection profiles. Conclusions: Quiescence is associated with changes in polyadenylation site selection. Overall design: Three samples of proliferating fibroblasts, three samples of contact inhibited fibroblasts and three samples of 7-day serum starved fibroblasts were analyzed with polyadenylation site-enriched RNA-Seq.",GSM3291223: 7dCI_12-2; Homo sapiens; RNA-Seq,Illumina HiSeq 2000,cell growth conditions;;7 day contact inhibited cells (quiescent)|cell type;;human dermal fibroblasts (foreskin)|source_name;;7-day contact inhibited_fibroblasts|strain;;12-2,GEO Accession;;GSM3291223,GSM3291223,7dCI_12-2,CQ,Contact_inhibited CQ,7 days,,,no,Fibroblast,Foreskin,no,no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRR7537853,SRP154382,Global mapping of polyadenylation site use in proliferating and quiescent (contact-inhibited and serum-starved) cells,single,Illumina HiSeq 2000,Homo sapiens,HDF 10-2,Primary,SRP154382,Global mapping of polyadenylation site use in proliferating and quiescent (contact-inhibited and serum-starved) cells,"Purpose: To determine genes that undergo alternative polyadenylation in proliferating versus quiescent fibroblasts. Methods: Three different biological replicates (fibroblast strains, 10-1, 12-1, and 12-2) were used for generating proliferating and quiescent (7-day contact inhibited and 7-day serum-starved) cells. RNA extracted from these cells were used for library preparation. cDNA fragments were enriched for the junction between the poly(A) site and the end of the 3'' UTR using a modified high throughput sequencing protocol (GnomeGen). cDNA libraries were created according to Gnome-Gen RNA-seq library preparation kit for RNA profiling except Amgen Ampure XP beads were used instead of the Gnome-gen size selector product to remove ligation reaction products before proceeding to the reverse transcription step.  The libraries were sequenced on an Illumina HiSeq 2000 instrument. The sequencing reaction wasa run for 147 cycles. Reads from pol(A) enriched cDNA libraries were aligned to the genome using the STAR alignment algorithm after the computational removal of untemplated adenosines. Results: Polyadenylation site selection was significantly altered in approximately 10% of genes in quiescent compared with proliferating fibroblasts.  Contact inhibited and serum starved fibroblasts had similar polyadenylation site selection profiles. Conclusions: Quiescence is associated with changes in polyadenylation site selection. Overall design: Three samples of proliferating fibroblasts, three samples of contact inhibited fibroblasts and three samples of 7-day serum starved fibroblasts were analyzed with polyadenylation site-enriched RNA-Seq.",GSM3291224: 7dSS_10-2; Homo sapiens; RNA-Seq,Illumina HiSeq 2000,cell growth conditions;;7 day serum starved cells (quiescent)|cell type;;human dermal fibroblasts (foreskin)|source_name;;7-day serum-starved_fibroblasts|strain;;10-2,GEO Accession;;GSM3291224,GSM3291224,7dSS_10-2,CQ,Serum_starved CQ,7 days,,,no,Fibroblast,Foreskin,no,no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRR7537854,SRP154382,Global mapping of polyadenylation site use in proliferating and quiescent (contact-inhibited and serum-starved) cells,single,Illumina HiSeq 2000,Homo sapiens,HDF 10-2,Primary,SRP154382,Global mapping of polyadenylation site use in proliferating and quiescent (contact-inhibited and serum-starved) cells,"Purpose: To determine genes that undergo alternative polyadenylation in proliferating versus quiescent fibroblasts. Methods: Three different biological replicates (fibroblast strains, 10-1, 12-1, and 12-2) were used for generating proliferating and quiescent (7-day contact inhibited and 7-day serum-starved) cells. RNA extracted from these cells were used for library preparation. cDNA fragments were enriched for the junction between the poly(A) site and the end of the 3'' UTR using a modified high throughput sequencing protocol (GnomeGen). cDNA libraries were created according to Gnome-Gen RNA-seq library preparation kit for RNA profiling except Amgen Ampure XP beads were used instead of the Gnome-gen size selector product to remove ligation reaction products before proceeding to the reverse transcription step.  The libraries were sequenced on an Illumina HiSeq 2000 instrument. The sequencing reaction wasa run for 147 cycles. Reads from pol(A) enriched cDNA libraries were aligned to the genome using the STAR alignment algorithm after the computational removal of untemplated adenosines. Results: Polyadenylation site selection was significantly altered in approximately 10% of genes in quiescent compared with proliferating fibroblasts.  Contact inhibited and serum starved fibroblasts had similar polyadenylation site selection profiles. Conclusions: Quiescence is associated with changes in polyadenylation site selection. Overall design: Three samples of proliferating fibroblasts, three samples of contact inhibited fibroblasts and three samples of 7-day serum starved fibroblasts were analyzed with polyadenylation site-enriched RNA-Seq.",GSM3291225: 7dSS_12-1; Homo sapiens; RNA-Seq,Illumina HiSeq 2000,cell growth conditions;;7 day serum starved cells (quiescent)|cell type;;human dermal fibroblasts (foreskin)|source_name;;7-day serum-starved_fibroblasts|strain;;12-1,GEO Accession;;GSM3291225,GSM3291225,7dSS_12-1,CQ,Serum_starved CQ,7 days,,,no,Fibroblast,Foreskin,no,no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRR7537855,SRP154382,Global mapping of polyadenylation site use in proliferating and quiescent (contact-inhibited and serum-starved) cells,single,Illumina HiSeq 2000,Homo sapiens,HDF 10-2,Primary,SRP154382,Global mapping of polyadenylation site use in proliferating and quiescent (contact-inhibited and serum-starved) cells,"Purpose: To determine genes that undergo alternative polyadenylation in proliferating versus quiescent fibroblasts. Methods: Three different biological replicates (fibroblast strains, 10-1, 12-1, and 12-2) were used for generating proliferating and quiescent (7-day contact inhibited and 7-day serum-starved) cells. RNA extracted from these cells were used for library preparation. cDNA fragments were enriched for the junction between the poly(A) site and the end of the 3'' UTR using a modified high throughput sequencing protocol (GnomeGen). cDNA libraries were created according to Gnome-Gen RNA-seq library preparation kit for RNA profiling except Amgen Ampure XP beads were used instead of the Gnome-gen size selector product to remove ligation reaction products before proceeding to the reverse transcription step.  The libraries were sequenced on an Illumina HiSeq 2000 instrument. The sequencing reaction wasa run for 147 cycles. Reads from pol(A) enriched cDNA libraries were aligned to the genome using the STAR alignment algorithm after the computational removal of untemplated adenosines. Results: Polyadenylation site selection was significantly altered in approximately 10% of genes in quiescent compared with proliferating fibroblasts.  Contact inhibited and serum starved fibroblasts had similar polyadenylation site selection profiles. Conclusions: Quiescence is associated with changes in polyadenylation site selection. Overall design: Three samples of proliferating fibroblasts, three samples of contact inhibited fibroblasts and three samples of 7-day serum starved fibroblasts were analyzed with polyadenylation site-enriched RNA-Seq.",GSM3291226: 7dSS_12-2; Homo sapiens; RNA-Seq,Illumina HiSeq 2000,cell growth conditions;;7 day serum starved cells (quiescent)|cell type;;human dermal fibroblasts (foreskin)|source_name;;7-day serum-starved_fibroblasts|strain;;12-2,GEO Accession;;GSM3291226,GSM3291226,7dSS_12-2,CQ,Serum_starved CQ,7 days,,,no,Fibroblast,Foreskin,no,no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRR5169351,SRP096629,RNAseq of quiescent (Q) and stress induced premature senescent (SIPS) fibroblasts treated with plant extract (1201) from Solidago vigaurea subspecies alpestris,single,Illumina HiSeq 2500,Homo sapiens,HDF161,Primary,SRP096629,RNAseq of quiescent (Q) and stress induced premature senescent (SIPS) fibroblasts treated with plant extract (1201) from Solidago vigaurea subspecies alpestris,"Quiescent (Q) and stress induced premature senescent (SIPS) fibroblasts were treated for the duration of 4 days with growth medium supplemented with a plant extract (1201) from Solidago vigaurea subspecies alpestris. Rna was isolated with Trizol and sent to GATC for next generation sequencing with Ilumina technology. The plant extract proofed to block the negative effects of senescence in human skin fibroblasts in various experiments by delaying the acquisition of a senescent phenotype/favouring a papillary-like phenotype and attenuating the senescence associated secretory phenotype. The RNAseq was performed to understand the underlying molecular mechanism of the observed effects. SIPS was induced by chronic oxidative stress treatment (9 days with 1 h 100 µM H2O2 per day). Overall design: 12 samples in total. Quiescent cells (Q), quiescent cells treated with 1201 for 4 days (Q1201), stress induced premature senescent cells (SIPS) and stress induced premature senescent cells treated with 1201 for 4 days (SIPS1201), all conditions in triplicates. Quiescent cells are considered the appropiate control for senescent cells.",GSM2454318: Q_1; Homo sapiens; RNA-Seq,Illumina HiSeq 2500,cell line;;HDF161|cells type;;human dermal fibroblasts|population doubling;;15|source_name;;dermis from human abdominoplasty,GEO Accession;;GSM2454318,GSM2454318,Q_1,CQ,Contact_inhibited CQ,contact-inhibited,,,no,Fibroblast,Skin,no,no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRR5169352,SRP096629,RNAseq of quiescent (Q) and stress induced premature senescent (SIPS) fibroblasts treated with plant extract (1201) from Solidago vigaurea subspecies alpestris,single,Illumina HiSeq 2500,Homo sapiens,HDF161,Primary,SRP096629,RNAseq of quiescent (Q) and stress induced premature senescent (SIPS) fibroblasts treated with plant extract (1201) from Solidago vigaurea subspecies alpestris,"Quiescent (Q) and stress induced premature senescent (SIPS) fibroblasts were treated for the duration of 4 days with growth medium supplemented with a plant extract (1201) from Solidago vigaurea subspecies alpestris. Rna was isolated with Trizol and sent to GATC for next generation sequencing with Ilumina technology. The plant extract proofed to block the negative effects of senescence in human skin fibroblasts in various experiments by delaying the acquisition of a senescent phenotype/favouring a papillary-like phenotype and attenuating the senescence associated secretory phenotype. The RNAseq was performed to understand the underlying molecular mechanism of the observed effects. SIPS was induced by chronic oxidative stress treatment (9 days with 1 h 100 µM H2O2 per day). Overall design: 12 samples in total. Quiescent cells (Q), quiescent cells treated with 1201 for 4 days (Q1201), stress induced premature senescent cells (SIPS) and stress induced premature senescent cells treated with 1201 for 4 days (SIPS1201), all conditions in triplicates. Quiescent cells are considered the appropiate control for senescent cells.",GSM2454319: Q_2; Homo sapiens; RNA-Seq,Illumina HiSeq 2500,cell line;;HDF161|cells type;;human dermal fibroblasts|population doubling;;15|source_name;;dermis from human abdominoplasty,GEO Accession;;GSM2454319,GSM2454319,Q_2,CQ,Contact_inhibited CQ,contact-inhibited,,,no,Fibroblast,Skin,no,no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRR5169354,SRP096629,RNAseq of quiescent (Q) and stress induced premature senescent (SIPS) fibroblasts treated with plant extract (1201) from Solidago vigaurea subspecies alpestris,single,Illumina HiSeq 2500,Homo sapiens,HDF161,Primary,SRP096629,RNAseq of quiescent (Q) and stress induced premature senescent (SIPS) fibroblasts treated with plant extract (1201) from Solidago vigaurea subspecies alpestris,"Quiescent (Q) and stress induced premature senescent (SIPS) fibroblasts were treated for the duration of 4 days with growth medium supplemented with a plant extract (1201) from Solidago vigaurea subspecies alpestris. Rna was isolated with Trizol and sent to GATC for next generation sequencing with Ilumina technology. The plant extract proofed to block the negative effects of senescence in human skin fibroblasts in various experiments by delaying the acquisition of a senescent phenotype/favouring a papillary-like phenotype and attenuating the senescence associated secretory phenotype. The RNAseq was performed to understand the underlying molecular mechanism of the observed effects. SIPS was induced by chronic oxidative stress treatment (9 days with 1 h 100 µM H2O2 per day). Overall design: 12 samples in total. Quiescent cells (Q), quiescent cells treated with 1201 for 4 days (Q1201), stress induced premature senescent cells (SIPS) and stress induced premature senescent cells treated with 1201 for 4 days (SIPS1201), all conditions in triplicates. Quiescent cells are considered the appropiate control for senescent cells.",GSM2454320: Q_3; Homo sapiens; RNA-Seq,Illumina HiSeq 2500,cell line;;HDF161|cells type;;human dermal fibroblasts|population doubling;;15|source_name;;dermis from human abdominoplasty,GEO Accession;;GSM2454320,GSM2454320,Q_3,CQ,Contact_inhibited CQ,contact-inhibited,,,no,Fibroblast,Skin,no,no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRR2970873,SRP066947,Massive reshaping of genome - nuclear lamina interactions during oncogene induced senescence,single,Illumina HiSeq 2000,Homo sapiens,Tig3ET,TIG-3,SRP066947,Massive reshaping of genome - nuclear lamina interactions during oncogene induced senescence,"Background. Cellular senescence is a mechanism that virtually irreversibly suppresses the proliferative capacity of cells in response to various stress signals. This includes the expression of activated oncogenes, which cause Oncogene-Induced Senescence (OIS). A body of evidence points to the involvement of chromatin reorganization, including the formation of senescence-associated heterochromatic foci (SAHF). The nuclear lamina (NL) is an important contributor to genome organization and has been involved in cellular senescence and organismal aging. It interacts with multiple regions of the genome called lamina-associated domains (LADs). Some LADs are cell type-specific, while others are conserved between cell types and are referred to as constitutive LADs. Here, we used DamID to investigate the changes in genome-NL interactions in a model of OIS triggered by the expression of the BRAFV600E oncogene.Results. We found that OIS cells lose most of their constitutive LADs (cLADS), suggesting the loss of a specific mechanism that targets cLADs to the NL. In addition, multiple genes relocated to the NL. Unexpectedly, they were not repressed, implying the abrogation of the repressive activity of the NL during OIS. Finally, OIS cells displayed an increased association of telomeres with the NL.Conclusions. Our study reveals that senescent cells acquire a new type of LAD organization and suggest the existence of as yet unknown mechanisms that tether cLADs to the NL and repress gene expression at the NL.",GSM1961158: Cycling Day 4 Rep 1; Homo sapiens; RNA-Seq,Illumina HiSeq 2000,cell line;;Tig3|cell type;;diploid embryonic lung fibroblasts|day treament;;4|source_name;;Cycling Day 4|time point;;4days after transduction|transduced with;;empty vector (cycling),GEO Accession;;GSM1961158,GSM1961158,Cycling Day 4 Rep 1,Proliferating,Proliferating,,,Empty vector,yes,Fibroblast,Lung,no,"Sample_treatment_protocol: 'Human diploid fibroblast Tig3 cells expressing the ecotropic receptor, hTERT'; Genome Res 27:1634 calls it 'hTERT-immortalized Tig3 fibroblasts (Tig3ET)'"
SRR2970876,SRP066947,Massive reshaping of genome - nuclear lamina interactions during oncogene induced senescence,single,Illumina HiSeq 2000,Homo sapiens,Tig3ET,TIG-3,SRP066947,Massive reshaping of genome - nuclear lamina interactions during oncogene induced senescence,"Background. Cellular senescence is a mechanism that virtually irreversibly suppresses the proliferative capacity of cells in response to various stress signals. This includes the expression of activated oncogenes, which cause Oncogene-Induced Senescence (OIS). A body of evidence points to the involvement of chromatin reorganization, including the formation of senescence-associated heterochromatic foci (SAHF). The nuclear lamina (NL) is an important contributor to genome organization and has been involved in cellular senescence and organismal aging. It interacts with multiple regions of the genome called lamina-associated domains (LADs). Some LADs are cell type-specific, while others are conserved between cell types and are referred to as constitutive LADs. Here, we used DamID to investigate the changes in genome-NL interactions in a model of OIS triggered by the expression of the BRAFV600E oncogene.Results. We found that OIS cells lose most of their constitutive LADs (cLADS), suggesting the loss of a specific mechanism that targets cLADs to the NL. In addition, multiple genes relocated to the NL. Unexpectedly, they were not repressed, implying the abrogation of the repressive activity of the NL during OIS. Finally, OIS cells displayed an increased association of telomeres with the NL.Conclusions. Our study reveals that senescent cells acquire a new type of LAD organization and suggest the existence of as yet unknown mechanisms that tether cLADs to the NL and repress gene expression at the NL.",GSM1961161: Cycling Day 10 Rep 1; Homo sapiens; RNA-Seq,Illumina HiSeq 2000,cell line;;Tig3|cell type;;diploid embryonic lung fibroblasts|day treament;;10|source_name;;Cycling Day 10|time point;;10days after transduction|transduced with;;empty vector (cycling),GEO Accession;;GSM1961161,GSM1961161,Cycling Day 10 Rep 1,Proliferating,Proliferating,,,Empty vector,yes,Fibroblast,Lung,no,"Sample_treatment_protocol: 'Human diploid fibroblast Tig3 cells expressing the ecotropic receptor, hTERT'; Genome Res 27:1634 calls it 'hTERT-immortalized Tig3 fibroblasts (Tig3ET)'"
