external_id,study,sra.study_title,sra.library_layout,sra.platform_model,recount_project.organism,cell_line,cell_line_assubmitted,sra,study_title,abstract,sample_title,platform,full_attributes,attributes,geo,label,cell_state,cell_substate,Induction_details,time_after_treatment,genetic_manipulations,immortalised,cell_type,tissue,cancer_cell_line,immortalisation_evidence
SRR2932860,SRP065206,BRD4 connects enhancer remodeling to senescence immune surveillance (RNA-seq),paired,Illumina HiSeq 2500,Homo sapiens,IMR90,IMR-90,SRP065206,BRD4 connects enhancer remodeling to senescence immune surveillance (RNA-seq),"Cellular senescence is a homeostatic program associated with tumor suppression, wound healing, and certain age related pathologies. Senescent cells display a repressive chromatin configuration thought to stably silence proliferation-promoting genes, while at the same time activate an unusual form of immune surveillance involving a secretory program referred to as the senescence-associated secretory phenotype (SASP). Here we demonstrate that senescence also involves a global remodeling of the enhancer landscape with recruitment of the chromatin reader BRD4 to newly activated super-enhancers adjacent to key SASP genes. Transcriptional profiling and functional studies indicate that BRD4 is required for the SASP and downstream paracrine signaling. Consequently, BRD4 inhibition disrupts immune cell-mediated targeting and elimination of premalignant senescent cells in vitro and in vivo. Our results identify a critical role for BRD4-bound super-enhancers in senescence immune surveillance and in the proper execution of a tumor-suppressive program. Overall design: Analysis of RNA isolated from human fibroblasts (IMR90) in proliferating, quiescent or senescent (HrasV12) conditions upon knockdown of Brd4, p65, p53, p53/RB, p16/21 or Vehicle and JQ1 treatment",GSM1917087: Quiescent IMR90 shRen_2; Homo sapiens; RNA-Seq,Illumina HiSeq 2500,cell condition;;quiescent|cell line;;IMR90|cell type;;fetal lung fibroblasts|source_name;;IMR90 human fibrobasts|treatment;;no treatment|viral transduction;;cotransduced with pWZL-Hygro and shRen,GEO Accession;;GSM1917087,GSM1917087,Quiescent IMR90 shRen_2,CQ,Serum_starved CQ,serum-starved;0.1 % FBS,4 days,control shRNA,no,Fibroblast,Lung,no,no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRR2932861,SRP065206,BRD4 connects enhancer remodeling to senescence immune surveillance (RNA-seq),paired,Illumina HiSeq 2500,Homo sapiens,IMR90,IMR-90,SRP065206,BRD4 connects enhancer remodeling to senescence immune surveillance (RNA-seq),"Cellular senescence is a homeostatic program associated with tumor suppression, wound healing, and certain age related pathologies. Senescent cells display a repressive chromatin configuration thought to stably silence proliferation-promoting genes, while at the same time activate an unusual form of immune surveillance involving a secretory program referred to as the senescence-associated secretory phenotype (SASP). Here we demonstrate that senescence also involves a global remodeling of the enhancer landscape with recruitment of the chromatin reader BRD4 to newly activated super-enhancers adjacent to key SASP genes. Transcriptional profiling and functional studies indicate that BRD4 is required for the SASP and downstream paracrine signaling. Consequently, BRD4 inhibition disrupts immune cell-mediated targeting and elimination of premalignant senescent cells in vitro and in vivo. Our results identify a critical role for BRD4-bound super-enhancers in senescence immune surveillance and in the proper execution of a tumor-suppressive program. Overall design: Analysis of RNA isolated from human fibroblasts (IMR90) in proliferating, quiescent or senescent (HrasV12) conditions upon knockdown of Brd4, p65, p53, p53/RB, p16/21 or Vehicle and JQ1 treatment",GSM1917088: Quiescent IMR90 shRen_3; Homo sapiens; RNA-Seq,Illumina HiSeq 2500,cell condition;;quiescent|cell line;;IMR90|cell type;;fetal lung fibroblasts|source_name;;IMR90 human fibrobasts|treatment;;no treatment|viral transduction;;cotransduced with pWZL-Hygro and shRen,GEO Accession;;GSM1917088,GSM1917088,Quiescent IMR90 shRen_3,CQ,Serum_starved CQ,serum-starved;0.1 % FBS,4 days,control shRNA,no,Fibroblast,Lung,no,no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRR2932910,SRP065206,BRD4 connects enhancer remodeling to senescence immune surveillance (RNA-seq),paired,Illumina HiSeq 2500,Homo sapiens,IMR90,IMR-90,SRP065206,BRD4 connects enhancer remodeling to senescence immune surveillance (RNA-seq),"Cellular senescence is a homeostatic program associated with tumor suppression, wound healing, and certain age related pathologies. Senescent cells display a repressive chromatin configuration thought to stably silence proliferation-promoting genes, while at the same time activate an unusual form of immune surveillance involving a secretory program referred to as the senescence-associated secretory phenotype (SASP). Here we demonstrate that senescence also involves a global remodeling of the enhancer landscape with recruitment of the chromatin reader BRD4 to newly activated super-enhancers adjacent to key SASP genes. Transcriptional profiling and functional studies indicate that BRD4 is required for the SASP and downstream paracrine signaling. Consequently, BRD4 inhibition disrupts immune cell-mediated targeting and elimination of premalignant senescent cells in vitro and in vivo. Our results identify a critical role for BRD4-bound super-enhancers in senescence immune surveillance and in the proper execution of a tumor-suppressive program. Overall design: Analysis of RNA isolated from human fibroblasts (IMR90) in proliferating, quiescent or senescent (HrasV12) conditions upon knockdown of Brd4, p65, p53, p53/RB, p16/21 or Vehicle and JQ1 treatment",GSM1917137: Proliferating IMR90 DMSO_1; Homo sapiens; RNA-Seq,Illumina HiSeq 2500,cell condition;;proliferating|cell line;;IMR90|cell type;;fetal lung fibroblasts|source_name;;IMR90 human fibrobasts|treatment;;DMSO 48h|viral transduction;;cotransduced with pWZL-Hygro and shRen,GEO Accession;;GSM1917137,GSM1917137,Proliferating IMR90 DMSO_1,Proliferating,Proliferating,DMSO,,DMSO,no,Fibroblast,Lung,no,no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRR2932911,SRP065206,BRD4 connects enhancer remodeling to senescence immune surveillance (RNA-seq),paired,Illumina HiSeq 2500,Homo sapiens,IMR90,IMR-90,SRP065206,BRD4 connects enhancer remodeling to senescence immune surveillance (RNA-seq),"Cellular senescence is a homeostatic program associated with tumor suppression, wound healing, and certain age related pathologies. Senescent cells display a repressive chromatin configuration thought to stably silence proliferation-promoting genes, while at the same time activate an unusual form of immune surveillance involving a secretory program referred to as the senescence-associated secretory phenotype (SASP). Here we demonstrate that senescence also involves a global remodeling of the enhancer landscape with recruitment of the chromatin reader BRD4 to newly activated super-enhancers adjacent to key SASP genes. Transcriptional profiling and functional studies indicate that BRD4 is required for the SASP and downstream paracrine signaling. Consequently, BRD4 inhibition disrupts immune cell-mediated targeting and elimination of premalignant senescent cells in vitro and in vivo. Our results identify a critical role for BRD4-bound super-enhancers in senescence immune surveillance and in the proper execution of a tumor-suppressive program. Overall design: Analysis of RNA isolated from human fibroblasts (IMR90) in proliferating, quiescent or senescent (HrasV12) conditions upon knockdown of Brd4, p65, p53, p53/RB, p16/21 or Vehicle and JQ1 treatment",GSM1917138: Proliferating IMR90 DMSO_2; Homo sapiens; RNA-Seq,Illumina HiSeq 2500,cell condition;;proliferating|cell line;;IMR90|cell type;;fetal lung fibroblasts|source_name;;IMR90 human fibrobasts|treatment;;DMSO 48h|viral transduction;;cotransduced with pWZL-Hygro and shRen,GEO Accession;;GSM1917138,GSM1917138,Proliferating IMR90 DMSO_2,Proliferating,Proliferating,DMSO,,DMSO,no,Fibroblast,Lung,no,no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRR2932912,SRP065206,BRD4 connects enhancer remodeling to senescence immune surveillance (RNA-seq),paired,Illumina HiSeq 2500,Homo sapiens,IMR90,IMR-90,SRP065206,BRD4 connects enhancer remodeling to senescence immune surveillance (RNA-seq),"Cellular senescence is a homeostatic program associated with tumor suppression, wound healing, and certain age related pathologies. Senescent cells display a repressive chromatin configuration thought to stably silence proliferation-promoting genes, while at the same time activate an unusual form of immune surveillance involving a secretory program referred to as the senescence-associated secretory phenotype (SASP). Here we demonstrate that senescence also involves a global remodeling of the enhancer landscape with recruitment of the chromatin reader BRD4 to newly activated super-enhancers adjacent to key SASP genes. Transcriptional profiling and functional studies indicate that BRD4 is required for the SASP and downstream paracrine signaling. Consequently, BRD4 inhibition disrupts immune cell-mediated targeting and elimination of premalignant senescent cells in vitro and in vivo. Our results identify a critical role for BRD4-bound super-enhancers in senescence immune surveillance and in the proper execution of a tumor-suppressive program. Overall design: Analysis of RNA isolated from human fibroblasts (IMR90) in proliferating, quiescent or senescent (HrasV12) conditions upon knockdown of Brd4, p65, p53, p53/RB, p16/21 or Vehicle and JQ1 treatment",GSM1917139: Proliferating IMR90 DMSO_3; Homo sapiens; RNA-Seq,Illumina HiSeq 2500,cell condition;;proliferating|cell line;;IMR90|cell type;;fetal lung fibroblasts|source_name;;IMR90 human fibrobasts|treatment;;DMSO 48h|viral transduction;;cotransduced with pWZL-Hygro and shRen,GEO Accession;;GSM1917139,GSM1917139,Proliferating IMR90 DMSO_3,Proliferating,Proliferating,DMSO,,DMSO,no,Fibroblast,Lung,no,no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRR2932913,SRP065206,BRD4 connects enhancer remodeling to senescence immune surveillance (RNA-seq),paired,Illumina HiSeq 2500,Homo sapiens,IMR90,IMR-90,SRP065206,BRD4 connects enhancer remodeling to senescence immune surveillance (RNA-seq),"Cellular senescence is a homeostatic program associated with tumor suppression, wound healing, and certain age related pathologies. Senescent cells display a repressive chromatin configuration thought to stably silence proliferation-promoting genes, while at the same time activate an unusual form of immune surveillance involving a secretory program referred to as the senescence-associated secretory phenotype (SASP). Here we demonstrate that senescence also involves a global remodeling of the enhancer landscape with recruitment of the chromatin reader BRD4 to newly activated super-enhancers adjacent to key SASP genes. Transcriptional profiling and functional studies indicate that BRD4 is required for the SASP and downstream paracrine signaling. Consequently, BRD4 inhibition disrupts immune cell-mediated targeting and elimination of premalignant senescent cells in vitro and in vivo. Our results identify a critical role for BRD4-bound super-enhancers in senescence immune surveillance and in the proper execution of a tumor-suppressive program. Overall design: Analysis of RNA isolated from human fibroblasts (IMR90) in proliferating, quiescent or senescent (HrasV12) conditions upon knockdown of Brd4, p65, p53, p53/RB, p16/21 or Vehicle and JQ1 treatment",GSM1917140: Quiescent IMR90 DMSO_1; Homo sapiens; RNA-Seq,Illumina HiSeq 2500,cell condition;;quiescent|cell line;;IMR90|cell type;;fetal lung fibroblasts|source_name;;IMR90 human fibrobasts|treatment;;DMSO 48h|viral transduction;;cotransduced with pWZL-Hygro and shRen,GEO Accession;;GSM1917140,GSM1917140,Quiescent IMR90 DMSO_1,CQ,Serum_starved CQ,serum-starved;0.1 % FBS;DMSO,4 days,DMSO,no,Fibroblast,Lung,no,no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRR2932914,SRP065206,BRD4 connects enhancer remodeling to senescence immune surveillance (RNA-seq),paired,Illumina HiSeq 2500,Homo sapiens,IMR90,IMR-90,SRP065206,BRD4 connects enhancer remodeling to senescence immune surveillance (RNA-seq),"Cellular senescence is a homeostatic program associated with tumor suppression, wound healing, and certain age related pathologies. Senescent cells display a repressive chromatin configuration thought to stably silence proliferation-promoting genes, while at the same time activate an unusual form of immune surveillance involving a secretory program referred to as the senescence-associated secretory phenotype (SASP). Here we demonstrate that senescence also involves a global remodeling of the enhancer landscape with recruitment of the chromatin reader BRD4 to newly activated super-enhancers adjacent to key SASP genes. Transcriptional profiling and functional studies indicate that BRD4 is required for the SASP and downstream paracrine signaling. Consequently, BRD4 inhibition disrupts immune cell-mediated targeting and elimination of premalignant senescent cells in vitro and in vivo. Our results identify a critical role for BRD4-bound super-enhancers in senescence immune surveillance and in the proper execution of a tumor-suppressive program. Overall design: Analysis of RNA isolated from human fibroblasts (IMR90) in proliferating, quiescent or senescent (HrasV12) conditions upon knockdown of Brd4, p65, p53, p53/RB, p16/21 or Vehicle and JQ1 treatment",GSM1917141: Quiescent IMR90 DMSO_2; Homo sapiens; RNA-Seq,Illumina HiSeq 2500,cell condition;;quiescent|cell line;;IMR90|cell type;;fetal lung fibroblasts|source_name;;IMR90 human fibrobasts|treatment;;DMSO 48h|viral transduction;;cotransduced with pWZL-Hygro and shRen,GEO Accession;;GSM1917141,GSM1917141,Quiescent IMR90 DMSO_2,CQ,Serum_starved CQ,serum-starved;0.1 % FBS;DMSO,4 days,DMSO,no,Fibroblast,Lung,no,no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRR2932915,SRP065206,BRD4 connects enhancer remodeling to senescence immune surveillance (RNA-seq),paired,Illumina HiSeq 2500,Homo sapiens,IMR90,IMR-90,SRP065206,BRD4 connects enhancer remodeling to senescence immune surveillance (RNA-seq),"Cellular senescence is a homeostatic program associated with tumor suppression, wound healing, and certain age related pathologies. Senescent cells display a repressive chromatin configuration thought to stably silence proliferation-promoting genes, while at the same time activate an unusual form of immune surveillance involving a secretory program referred to as the senescence-associated secretory phenotype (SASP). Here we demonstrate that senescence also involves a global remodeling of the enhancer landscape with recruitment of the chromatin reader BRD4 to newly activated super-enhancers adjacent to key SASP genes. Transcriptional profiling and functional studies indicate that BRD4 is required for the SASP and downstream paracrine signaling. Consequently, BRD4 inhibition disrupts immune cell-mediated targeting and elimination of premalignant senescent cells in vitro and in vivo. Our results identify a critical role for BRD4-bound super-enhancers in senescence immune surveillance and in the proper execution of a tumor-suppressive program. Overall design: Analysis of RNA isolated from human fibroblasts (IMR90) in proliferating, quiescent or senescent (HrasV12) conditions upon knockdown of Brd4, p65, p53, p53/RB, p16/21 or Vehicle and JQ1 treatment",GSM1917142: Quiescent IMR90 DMSO_3; Homo sapiens; RNA-Seq,Illumina HiSeq 2500,cell condition;;quiescent|cell line;;IMR90|cell type;;fetal lung fibroblasts|source_name;;IMR90 human fibrobasts|treatment;;DMSO 48h|viral transduction;;cotransduced with pWZL-Hygro and shRen,GEO Accession;;GSM1917142,GSM1917142,Quiescent IMR90 DMSO_3,CQ,Serum_starved CQ,serum-starved;0.1 % FBS;DMSO,4 days,DMSO,no,Fibroblast,Lung,no,no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRR1768044,SRP052706,Rapamycin induces chromosome reorganization and increases cytokine production in normal human fibroblasts,paired,Illumina Genome Analyzer IIx,Homo sapiens,foreskin 2DD,Primary,SRP052706,Rapamycin induces chromosome reorganization and increases cytokine production in normal human fibroblasts,"We report the effects of Rapamycin treatment on the transcriptome of normal human dermal fibroblasts isolated from foreskin (designated 2DD). We sequenced mRNA from 2 replicates of proliferative (PRO) quiescent (QUI, serum starved) or treated with 500nM Rapamycin for 5 days (RAP). Comparative analyses with PRO transcripts a baseline indicate that genes that changed expression from Rapamycin treated fibroblasts are significantly different from those of quiescence cells. Rapamycin treated cells showed a significant enrichment for cytokines from the Il-6 cascade. Overall design: Examination of mRNAs from proliferative, quiescent (serum starvation) and Rapamycin (5oonM, 5days) treated 2DD normal human dermal/foreskin fibroblasts.",GSM1588051: proliferative fibroblast 1; Homo sapiens; RNA-Seq,Illumina Genome Analyzer IIx,cell type;;proliferative fibroblast|source;;foreskin 2DD|source_name;;normal foreskin fibroblast,GEO Accession;;GSM1588051,GSM1588051,proliferative fibroblast 1,Proliferating,Proliferating,,,,no,Fibroblast,Foreskin,no,no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRR1768045,SRP052706,Rapamycin induces chromosome reorganization and increases cytokine production in normal human fibroblasts,paired,Illumina Genome Analyzer IIx,Homo sapiens,foreskin 2DD,Primary,SRP052706,Rapamycin induces chromosome reorganization and increases cytokine production in normal human fibroblasts,"We report the effects of Rapamycin treatment on the transcriptome of normal human dermal fibroblasts isolated from foreskin (designated 2DD). We sequenced mRNA from 2 replicates of proliferative (PRO) quiescent (QUI, serum starved) or treated with 500nM Rapamycin for 5 days (RAP). Comparative analyses with PRO transcripts a baseline indicate that genes that changed expression from Rapamycin treated fibroblasts are significantly different from those of quiescence cells. Rapamycin treated cells showed a significant enrichment for cytokines from the Il-6 cascade. Overall design: Examination of mRNAs from proliferative, quiescent (serum starvation) and Rapamycin (5oonM, 5days) treated 2DD normal human dermal/foreskin fibroblasts.",GSM1588052: proliferative fibroblast 2; Homo sapiens; RNA-Seq,Illumina Genome Analyzer IIx,cell type;;proliferative fibroblast|source;;foreskin 2DD|source_name;;normal foreskin fibroblast,GEO Accession;;GSM1588052,GSM1588052,proliferative fibroblast 2,Proliferating,Proliferating,,,,no,Fibroblast,Foreskin,no,no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
